,algorithm,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Black,1411.9,0.06323208700428667,0.8996438824854802,0.34834522388481143,0.976384238121401,0.023615761878598897,0.6516547761151885
1,Unmitigated-LR,Other,13241.1,0.20241458283531757,0.8279742334910141,0.5603520360082702,0.9180219000338383,0.08197809996616187,0.4396479639917298
2,Massaging,Black,1411.9,0.20628814679260193,0.8651339835847043,0.7923454391894881,0.8752340847203157,0.12476591527968417,0.20765456081051198
3,Massaging,Other,13241.1,0.2040304863213187,0.8283073919415562,0.5642211082004209,0.9171648825394259,0.0828351174605741,0.43577889179957907
4,Pref. Sampling,Black,1411.9,0.20345534631920761,0.8673928297247734,0.7902479553542909,0.8781401497201123,0.12185985027988784,0.20975204464570907
5,Pref. Sampling,Other,13241.1,0.12692228295110597,0.8176423676303302,0.38991205385716887,0.9615640365441804,0.038435963455819615,0.6100879461428311
6,Reweighing,Black,1411.9,0.1279669839385306,0.8962603625692,0.5992064474894189,0.9375739895458093,0.06242601045419077,0.40079355251058113
7,Reweighing,Other,13241.1,0.19443961462436332,0.8277632089913357,0.5440936443045286,0.923210040436075,0.07678995956392494,0.45590635569547144
8,Corr. Remover,Black,1411.9,0.14826556594613755,0.8718583560499029,0.582506059568899,0.912146062317289,0.08785393768271099,0.417493940431101
9,Corr. Remover,Other,13241.1,0.17794203060608235,0.8220919508215294,0.5000689427356052,0.9304445244070074,0.06955547559299251,0.4999310572643948
10,DI Remover,Black,1411.9,0.09845324935738346,0.8982895633747636,0.4865793964262551,0.9555419958614024,0.04445800413859772,0.513420603573745
11,DI Remover,Other,13241.1,0.2019341472091325,0.8272115480447907,0.5578969532858999,0.9178344724318628,0.08216552756813723,0.44210304671410006
12,Grid Search DP,Black,1411.9,0.11411114729619647,0.8595812137388352,0.3920486672438396,0.9246260728218202,0.07537392717817977,0.6079513327561604
13,Grid Search DP,Other,13241.1,0.15817839011261298,0.8155803101004333,0.4479539824634832,0.9393011550875293,0.060698844912470705,0.5520460175365167
14,Grid Search EO,Black,1411.9,0.08968994898288847,0.8948931740451977,0.4366499916895349,0.9585926982545301,0.04140730174546999,0.563350008310465
15,Grid Search EO,Other,13241.1,0.19873035750542006,0.8258907476007158,0.5488914206661868,0.9190911742723464,0.08090882572765365,0.45110857933381343
16,Exp. Grad. DP,Black,1411.9,0.13142044646130874,0.8375462787342265,0.3734924701822258,0.9021710189977853,0.09782898100221486,0.6265075298177742
17,Exp. Grad. DP,Other,13241.1,0.14380136480864947,0.8013813848089967,0.39114512654270367,0.9394192097007379,0.060580790299262076,0.6088548734572964
18,Exp. Grad. EO,Black,1411.9,0.11352815432771549,0.8768220547799158,0.4609872851641178,0.9347189320464462,0.06528106795355368,0.5390127148358822
19,Exp. Grad. EO,Other,13241.1,0.1835806329151932,0.8163887952266196,0.49993936566764524,0.9228648307512415,0.07713516924875843,0.5000606343323548
20,DI Score LR,,1411.9,0.10209189235929798,0.8966801175020439,0.4912762535525063,0.9524602337266753,0.047539766273324714,0.5087237464474937
21,DI Score LR,,13241.1,0.19824596085305668,0.827929647959938,0.5519708716820209,0.9207761932871561,0.07922380671284394,0.4480291283179792
22,DI Score SVM,,1411.9,0.27970863035276017,0.8069878460974298,0.8563320010522926,0.8002917412434016,0.19970825875659845,0.1436679989477074
23,DI Score SVM,,13241.1,0.3012665171387185,0.7968976290982275,0.6949433646774491,0.83119853140022,0.1688014685997801,0.30505663532255084
24,Equal. Oppor. DP,,1411.9,0.204869792581027,0.7813672636004034,0.44350660349745263,0.8283543220322453,0.17164567796775457,0.5564933965025474
25,Equal. Oppor. DP,,13241.1,0.20210492228429872,0.8278458744026578,0.5594817921763989,0.9181430712552169,0.0818569287447832,0.4405182078236011
26,Equal. Oppor. EO,,1411.9,0.0950985382009922,0.8744390949898253,0.3755298600439919,0.9438712104509627,0.056128789549037314,0.6244701399560081
27,Equal. Oppor. EO,,13241.1,0.13967168397686472,0.8040199125473455,0.38817324166495376,0.9439417038769976,0.05605829612300228,0.6118267583350463
