,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8348802293045793,0.5499144324015972,0.9245088364582399,0.07549116354176012,0.45008556759840274,0.13918249583103087,0.3127152842191149,0.21200681212345876,0.2889294772709202
1,Massaging,0.8318569576196001,0.5754420992584143,0.9125056068897462,0.08749439311025388,0.42455790074158595,0.007291681138375408,0.9654021394544701,0.22812433098906695,0.660474543059679
2,Pref. Sampling,0.8224390909711323,0.4095835710211066,0.9522920965282138,0.047707903471786134,0.5904164289788933,0.07653306336810163,0.6245223054018384,0.40033590149712206,0.31619223180970824
3,Reweighing,0.8343615641848086,0.5468054763262977,0.9248048802368352,0.07519511976316498,0.4531945236737022,0.06647263068583271,0.6582180383510663,0.05519800042703872,0.8073643079247492
4,Corr. Remover,0.8269023408175802,0.5040787221905305,0.9284381447923208,0.0715618552076792,0.49592127780946943,0.049523395782974544,0.7415592692660619,0.0827763916751985,0.8100984930342365
5,DI Remover,0.8340612843786255,0.5543924700513406,0.9220238629227595,0.07797613707724052,0.4456075299486594,0.10348089785174903,0.48815745021945417,0.0760274297298742,0.5424766655169344
6,Grid Search DP,0.8198184672080803,0.44517969195664575,0.9376513860231454,0.06234861397685476,0.5548203080433542,0.05645070354824572,0.6607258747064995,0.08187963082270433,0.7493919808324178
7,Grid Search EO,0.8325394117245615,0.5433827723901883,0.9234861397685477,0.0765138602314524,0.45661722760981177,0.1090404085225316,0.45151469562793334,0.11224142897665171,0.5115212882322558
8,Exp. Grad. DP,0.804865897768375,0.3902452937820879,0.9352740647707904,0.06472593522920965,0.6097547062179122,0.012415900777886592,0.9142068439543923,0.04047878172757733,0.6213356962693565
9,Exp. Grad. EO,0.822213881116495,0.49800342270393616,0.9241858796088633,0.07581412039113664,0.5019965772960638,0.0700524785874777,0.6187563825476697,0.04724621107616905,0.8040862481764373
10,DI Score LR,0.8345526513341979,0.5491728465487735,0.9243114739391766,0.07568852606082353,0.45082715345122654,0.09615406849375874,0.5222116148004414,0.14329538527735824,0.5373514792435712
11,DI Score SVM,0.7978707431925204,0.7028237307472903,0.8277653180227864,0.1722346819772136,0.2971762692527096,0.02155788678595824,0.9286567143146973,0.16138863637484344,0.8025454813793627
12,Equal. Oppor. DP,0.8233740530949294,0.5537934968625213,0.9081636314703507,0.09183636852964923,0.44620650313747856,0.007184277345748444,0.965549151707466,0.12216718820742616,0.4777517199670182
13,Equal. Oppor. EO,0.8108032484815396,0.38753565316600114,0.9439311025387997,0.05606889746120032,0.6124643468339989,0.0445731457758725,0.6824860161525158,0.026619352704310477,0.876296239902904
