,algorithm,run_id,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Black,1386,0.26046176046176045,0.8116883116883117,0.8012048192771084,0.8131147540983606,0.18688524590163935,0.19879518072289157
9,Corr. Remover,0,Other,13267,0.1612271048466119,0.8169141478857315,0.4565868263473054,0.9381484839327088,0.06185151606729122,0.5434131736526946
36,Corr. Remover,1,Black,1399,0.14152966404574696,0.8656182987848463,0.5274725274725275,0.9161873459326212,0.0838126540673788,0.4725274725274725
37,Corr. Remover,1,Other,13254,0.17873849403953523,0.8236758714350385,0.5048134777376655,0.9304128902316213,0.06958710976837865,0.49518652226233456
64,Corr. Remover,2,Black,1398,0.14091559370529327,0.8791130185979972,0.5813953488372093,0.9208809135399674,0.07911908646003263,0.4186046511627907
65,Corr. Remover,2,Other,13255,0.18438325160316862,0.820746887966805,0.5101979604079184,0.9251083560124987,0.07489164398750126,0.4898020395920816
92,Corr. Remover,3,Black,1409,0.1312987934705465,0.8843151171043293,0.5617977528089888,0.9309504467912266,0.06904955320877336,0.43820224719101125
93,Corr. Remover,3,Other,13244,0.1734370280881909,0.8250528541226215,0.4969951923076923,0.9351553045582897,0.06484469544171037,0.5030048076923077
120,Corr. Remover,4,Black,1438,0.1356050069541029,0.8852573018080667,0.5815217391304348,0.9298245614035088,0.07017543859649122,0.41847826086956524
121,Corr. Remover,4,Other,13215,0.18153613318199016,0.8204313280363223,0.5039133052378085,0.9267158596987769,0.07328414030122309,0.49608669476219147
148,Corr. Remover,5,Black,1385,0.148014440433213,0.8743682310469314,0.591715976331361,0.9136513157894737,0.08634868421052631,0.40828402366863903
149,Corr. Remover,5,Other,13268,0.18141392824841723,0.8248417244498041,0.5124363200479473,0.9298157285268351,0.07018427147316483,0.48756367995205274
176,Corr. Remover,6,Black,1416,0.134180790960452,0.8877118644067796,0.5895953757225434,0.9292035398230089,0.07079646017699115,0.41040462427745666
177,Corr. Remover,6,Other,13237,0.1737553826395709,0.8214852307924756,0.49054905490549056,0.9328554119547657,0.06714458804523425,0.5094509450945095
204,Corr. Remover,7,Black,1410,0.14042553191489363,0.874468085106383,0.5652173913043478,0.9143314651721377,0.08566853482786228,0.43478260869565216
205,Corr. Remover,7,Other,13243,0.1823604923355735,0.8228498074454429,0.5103139013452915,0.9284703980602141,0.07152960193978582,0.4896860986547085
232,Corr. Remover,8,Black,1436,0.1371866295264624,0.8690807799442897,0.5251396648044693,0.9180588703261734,0.08194112967382657,0.4748603351955307
233,Corr. Remover,8,Other,13217,0.18461072860709693,0.8233335855337822,0.5157799819657349,0.9267947421638019,0.07320525783619818,0.4842200180342651
260,Corr. Remover,9,Black,1442,0.1130374479889043,0.8869625520110958,0.5,0.9352574102964119,0.06474258970358815,0.5
261,Corr. Remover,9,Other,13211,0.17795776247066838,0.8215880705472712,0.49910340705319783,0.9309680689305626,0.0690319310694374,0.5008965929468021
10,DI Remover,0,Black,1386,0.09451659451659451,0.8982683982683982,0.46987951807228917,0.9565573770491803,0.04344262295081967,0.5301204819277109
11,DI Remover,0,Other,13267,0.20833647395794075,0.8251300218587473,0.5664670658682635,0.9121587589402639,0.08784124105973608,0.43353293413173655
38,DI Remover,1,Black,1399,0.09864188706218728,0.8884917798427449,0.45054945054945056,0.9539852095316351,0.04601479046836483,0.5494505494505495
39,DI Remover,1,Other,13254,0.20921985815602837,0.8286555002263467,0.575511432009627,0.9133937562940584,0.0866062437059416,0.42448856799037304
66,DI Remover,2,Black,1398,0.11015736766809728,0.8969957081545065,0.5290697674418605,0.9486133768352365,0.05138662316476346,0.47093023255813954
67,DI Remover,2,Other,13255,0.22127499056959637,0.8259524707657487,0.593881223755249,0.9039411349662333,0.09605886503376676,0.40611877624475107
94,DI Remover,3,Black,1409,0.10007097232079488,0.8956706884315118,0.48314606741573035,0.9553208773354996,0.04467912266450041,0.5168539325842697
95,DI Remover,3,Other,13244,0.19223799456357596,0.8301117487163999,0.5444711538461539,0.9259782170229931,0.07402178297700686,0.45552884615384615
122,DI Remover,4,Black,1438,0.10500695410292073,0.9019471488178025,0.5271739130434783,0.9569377990430622,0.0430622009569378,0.47282608695652173
123,DI Remover,4,Other,13215,0.2011350737797957,0.8261066969353008,0.5541842263696568,0.9174163549984837,0.08258364500151623,0.4458157736303432
150,DI Remover,5,Black,1385,0.09314079422382672,0.9032490974729241,0.48520710059171596,0.9613486842105263,0.038651315789473686,0.514792899408284
151,DI Remover,5,Other,13268,0.2017636418450407,0.8287609285498945,0.5606832484267306,0.9188399959722082,0.08116000402779176,0.4393167515732694
178,DI Remover,6,Black,1416,0.10028248587570622,0.9074858757062146,0.5317919075144508,0.9597747385358005,0.04022526146419952,0.4682080924855491
179,DI Remover,6,Other,13237,0.18523834705749037,0.8284354460980585,0.5271527152715272,0.9298263327948304,0.07017366720516963,0.47284728472847287
206,DI Remover,7,Black,1410,0.09645390070921986,0.9,0.484472049689441,0.9535628502802241,0.04643714971977582,0.515527950310559
207,DI Remover,7,Other,13243,0.20025673940949937,0.8273049913161671,0.554559043348281,0.9194786825621337,0.08052131743786624,0.445440956651719
234,DI Remover,8,Black,1436,0.09818941504178273,0.8857938718662952,0.43575418994413406,0.9498806682577565,0.050119331742243436,0.5642458100558659
235,DI Remover,8,Other,13217,0.20118029810093063,0.8250737686313082,0.5521490832581906,0.9168857431749242,0.08311425682507584,0.44785091674180943
262,DI Remover,9,Black,1442,0.08807212205270458,0.90499306518724,0.46875,0.9594383775351014,0.0405616224648986,0.53125
263,DI Remover,9,Other,13211,0.19869805465142684,0.8265839073499357,0.5499103407053197,0.9204257475924987,0.07957425240750127,0.4500896592946802
20,DI Score LR,0,Black,1386,0.13564213564213565,0.9004329004329005,0.6506024096385542,0.9344262295081968,0.06557377049180328,0.3493975903614458
21,DI Score LR,0,Other,13267,0.19424135071983115,0.8256576467927942,0.5395209580838324,0.9219300896544776,0.07806991034552231,0.4604790419161677
48,DI Score LR,1,Black,1399,0.15868477483917084,0.8842030021443888,0.6648351648351648,0.9170090386195563,0.08299096138044372,0.33516483516483514
49,DI Score LR,1,Other,13254,0.1881696091745888,0.8282782556209446,0.532791817087846,0.927190332326284,0.07280966767371601,0.46720818291215405
76,DI Score LR,2,Black,1398,0.06437768240343347,0.899856938483548,0.3546511627906977,0.9763458401305057,0.02365415986949429,0.6453488372093024
77,DI Score LR,2,Other,13255,0.206789890607318,0.8262542436816296,0.5656868626274745,0.9138191714544904,0.08618082854550953,0.43431313737252547
104,DI Score LR,3,Black,1409,0.16252661462029808,0.8857345635202271,0.6910112359550562,0.9138911454102355,0.08610885458976442,0.3089887640449438
105,DI Score LR,3,Other,13244,0.18687707641196014,0.8301872546058593,0.5339543269230769,0.9296087131908027,0.07039128680919726,0.4660456730769231
132,DI Score LR,4,Black,1438,0.10083449235048679,0.8991655076495132,0.5,0.9577352472089314,0.04226475279106858,0.5
133,DI Score LR,4,Other,13215,0.20143776012107453,0.8271660991297768,0.5568934376881397,0.9179217628626302,0.08207823713736986,0.44310656231186035
160,DI Score LR,5,Black,1385,0.05776173285198556,0.9054151624548736,0.34911242603550297,0.9827302631578947,0.017269736842105265,0.650887573964497
161,DI Score LR,5,Other,13268,0.20719023213747362,0.8289116671691288,0.5717710518429727,0.9153156781794382,0.08468432182056188,0.4282289481570273
188,DI Score LR,6,Black,1416,0.07980225988700565,0.903954802259887,0.43352601156069365,0.9694288012872083,0.030571198712791632,0.5664739884393064
189,DI Score LR,6,Other,13237,0.19521039510463095,0.8293419959205258,0.5487548754875488,0.9237681744749596,0.07623182552504039,0.45124512451245125
216,DI Score LR,7,Black,1410,0.06099290780141844,0.9028368794326241,0.3416149068322981,0.9751801441152922,0.024819855884707767,0.6583850931677019
217,DI Score LR,7,Other,13243,0.20705278260212942,0.8289662463188099,0.5713004484304933,0.9160436451808446,0.08395635481915538,0.42869955156950673
244,DI Score LR,8,Black,1436,0.13788300835654596,0.8767409470752089,0.5586592178770949,0.9220365950676214,0.07796340493237867,0.441340782122905
245,DI Score LR,8,Other,13217,0.1958084285390028,0.8272679125368844,0.5458370904718967,0.9219413549039434,0.07805864509605662,0.4541629095281034
272,DI Score LR,9,Black,1442,0.06241331484049931,0.9084604715672677,0.36875,0.9758190327613104,0.02418096723868955,0.63125
273,DI Score LR,9,Other,13211,0.19968208311255772,0.8272651578230262,0.5531978481769276,0.9202230106436898,0.07977698935631018,0.4468021518230723
22,DI Score SVM,0,Black,1386,0.2691197691197691,0.8232323232323232,0.8855421686746988,0.8147540983606557,0.18524590163934426,0.1144578313253012
23,DI Score SVM,0,Other,13267,0.30074621240672345,0.7952815255898092,0.6907185628742515,0.8304623753399819,0.16953762466001812,0.3092814371257485
50,DI Score SVM,1,Black,1399,0.2944960686204432,0.7884203002144389,0.8186813186813187,0.7838948233360723,0.2161051766639277,0.1813186813186813
51,DI Score SVM,1,Other,13254,0.2969669533725668,0.7979477893466124,0.6892298435619735,0.8343403826787512,0.16565961732124873,0.31077015643802647
78,DI Score SVM,2,Black,1398,0.2854077253218884,0.7975679542203148,0.8372093023255814,0.7920065252854812,0.20799347471451876,0.16279069767441862
79,DI Score SVM,2,Other,13255,0.3102980007544323,0.7929083364768013,0.7051589682063587,0.8223969357927629,0.17760306420723718,0.2948410317936413
106,DI Score SVM,3,Black,1409,0.2753726046841732,0.8055358410220014,0.8202247191011236,0.8034118602761983,0.1965881397238018,0.1797752808988764
107,DI Score SVM,3,Other,13244,0.29553005134400484,0.7976442162488674,0.6853966346153846,0.8353166599435257,0.1646833400564744,0.31460336538461536
134,DI Score SVM,4,Black,1438,0.2795549374130737,0.8136300417246175,0.8641304347826086,0.80622009569378,0.1937799043062201,0.1358695652173913
135,DI Score SVM,4,Other,13215,0.30003783579265986,0.7966704502459326,0.6923540036122817,0.8316991812392601,0.1683008187607399,0.3076459963877182
162,DI Score SVM,5,Black,1385,0.28014440433212995,0.8115523465703971,0.8757396449704142,0.8026315789473685,0.19736842105263158,0.1242603550295858
163,DI Score SVM,5,Other,13268,0.3036629484473922,0.7965028640337655,0.6991309559484566,0.8292216292417682,0.1707783707582318,0.3008690440515433
190,DI Score SVM,6,Black,1416,0.2768361581920904,0.8086158192090396,0.8497109826589595,0.8028962188254224,0.19710378117457764,0.15028901734104047
191,DI Score SVM,6,Other,13237,0.2925889552013296,0.7995013975976429,0.6828682868286828,0.8387520193861067,0.16124798061389337,0.3171317131713171
218,DI Score SVM,7,Black,1410,0.28297872340425534,0.8056737588652483,0.8881987577639752,0.7950360288230585,0.20496397117694154,0.11180124223602485
219,DI Score SVM,7,Other,13243,0.30370761911953487,0.8019330967303481,0.7091180866965621,0.8332996564962619,0.16670034350373814,0.290881913303438
246,DI Score SVM,8,Black,1436,0.2799442896935933,0.7945682451253482,0.7988826815642458,0.7939538583929993,0.2060461416070008,0.2011173184357542
247,DI Score SVM,8,Other,13217,0.30475902247106,0.7933721722024665,0.6949203486624587,0.8264914054600606,0.17350859453993933,0.30507965133754134
274,DI Score SVM,9,Black,1442,0.27323162274618584,0.8210818307905686,0.925,0.8081123244929798,0.1918876755070203,0.075
275,DI Score SVM,9,Other,13211,0.30436757247748086,0.7972144425100295,0.7005379557680813,0.8300050684237202,0.1699949315762798,0.2994620442319187
24,Equal. Oppor. DP,0,Black,1386,0.2049062049062049,0.7763347763347763,0.42168674698795183,0.8245901639344262,0.17540983606557378,0.5783132530120482
25,Equal. Oppor. DP,0,Other,13267,0.19996985000376874,0.8271651466043567,0.5538922155688623,0.9191094993452201,0.08089050065477989,0.44610778443113774
52,Equal. Oppor. DP,1,Black,1399,0.21443888491779842,0.7784131522516083,0.4725274725274725,0.8241577649958916,0.17584223500410848,0.5274725274725275
53,Equal. Oppor. DP,1,Other,13254,0.19752527538856193,0.8287309491474272,0.5523465703971119,0.9212487411883182,0.07875125881168177,0.44765342960288806
80,Equal. Oppor. DP,2,Black,1398,0.21530758226037197,0.7718168812589413,0.4476744186046512,0.8172920065252854,0.18270799347471453,0.5523255813953488
81,Equal. Oppor. DP,2,Other,13255,0.20580912863070538,0.8258770275367786,0.5629874025194961,0.9142223566172765,0.08577764338272352,0.4370125974805039
108,Equal. Oppor. DP,3,Black,1409,0.20511000709723207,0.7735982966643009,0.4157303370786517,0.8253452477660439,0.17465475223395613,0.5842696629213483
109,Equal. Oppor. DP,3,Other,13244,0.19948655995167622,0.8295077016007248,0.5576923076923077,0.9207341670028237,0.07926583299717628,0.4423076923076923
136,Equal. Oppor. DP,4,Black,1438,0.19471488178025034,0.7941585535465925,0.45652173913043476,0.8437001594896332,0.15629984051036683,0.5434782608695652
137,Equal. Oppor. DP,4,Other,13215,0.20446462353386302,0.826863412788498,0.5623118603251054,0.9156979682603862,0.08430203173961387,0.4376881396748946
164,Equal. Oppor. DP,5,Black,1385,0.2036101083032491,0.7740072202166065,0.40828402366863903,0.8248355263157895,0.17516447368421054,0.591715976331361
165,Equal. Oppor. DP,5,Other,13268,0.20726560144709075,0.8289870364787458,0.5720707222055739,0.9153156781794382,0.08468432182056188,0.42792927779442613
192,Equal. Oppor. DP,6,Black,1416,0.20268361581920905,0.8008474576271186,0.5144508670520231,0.8407079646017699,0.1592920353982301,0.48554913294797686
193,Equal. Oppor. DP,6,Other,13237,0.1966457656568709,0.8295686333761426,0.5520552055205521,0.9229604200323102,0.07703957996768983,0.44794479447944796
220,Equal. Oppor. DP,7,Black,1410,0.20070921985815604,0.7843971631205674,0.43478260869565216,0.8294635708566853,0.17053642914331466,0.5652173913043478
221,Equal. Oppor. DP,7,Other,13243,0.20690175942007097,0.8291172695008684,0.5713004484304933,0.9162457062032734,0.08375429379672661,0.42869955156950673
248,Equal. Oppor. DP,8,Black,1436,0.2012534818941504,0.7771587743732591,0.4134078212290503,0.8289578361177407,0.17104216388225935,0.5865921787709497
249,Equal. Oppor. DP,8,Other,13217,0.20375274267988197,0.8253764091700083,0.5578599338743613,0.9153690596562184,0.0846309403437816,0.4421400661256387
276,Equal. Oppor. DP,9,Black,1442,0.2059639389736477,0.7829403606102635,0.45,0.8244929797191888,0.17550702028081122,0.55
277,Equal. Oppor. DP,9,Other,13211,0.1992279161304973,0.8272651578230262,0.5523012552301255,0.9205271160669032,0.0794728839330968,0.4476987447698745
