,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8164198457653723,0.47290359383913294,0.924463981340271,0.07553601865972907,0.5270964061608671,0.09923465561514855,0.6190048956160779,0.344617992929803,0.33095986667585653
18,Corr. Remover,1,0.8276803384972361,0.5059897318881916,0.9288597829012291,0.07114021709877097,0.4940102681118083,0.03720882999378827,0.7918253133230605,0.02265904973486199,0.8302697312560472
32,Corr. Remover,2,0.8263154302873131,0.5136908157444381,0.9246434018121468,0.07535659818785323,0.4863091842555619,0.04346765789787535,0.7642537620964248,0.07119738842929091,0.8775404919016196
46,Corr. Remover,3,0.8307513819695626,0.5002852253280091,0.9346909482371939,0.06530905176280613,0.4997147746719909,0.042138234617644404,0.7570401483343132,0.06480256050129651,0.8846514423076922
60,Corr. Remover,4,0.8267931481607862,0.5079863091842556,0.9270655781824706,0.07293442181752938,0.4920136908157444,0.04593112622788725,0.7469863138384618,0.07760843389262628,0.8665425062033343
74,Corr. Remover,5,0.8295229645806319,0.5162578436965203,0.9280523907777878,0.07194760922221226,0.4837421563034798,0.03339948781520424,0.815893475557902,0.07927965628341371,0.8128007058225566
88,Corr. Remover,6,0.8278850747287245,0.49543639475185397,0.9324481923387459,0.06755180766125415,0.504563605248146,0.03957459167911892,0.7722396217145665,0.09904632081705284,0.8320096715553907
102,Corr. Remover,7,0.8278168293182283,0.5128351397604107,0.9268861577105948,0.07311384228940522,0.48716486023958927,0.04193496042067987,0.7700436104136382,0.05490348995905625,0.8349576899326401
116,Corr. Remover,8,0.8278168293182283,0.5162578436965203,0.9258096348793398,0.07419036512066027,0.4837421563034798,0.047424099080634524,0.7431129846111695,0.00935968283873434,0.8933884378650594
130,Corr. Remover,9,0.8280215655497167,0.49914432401597264,0.9314613797434287,0.06853862025657127,0.5008556759840274,0.06492031448176408,0.6351925671550042,0.004289341365849256,0.937864386822169
5,DI Remover,0,0.8320480447689893,0.5618938961779806,0.9170180317574235,0.08298196824257648,0.4381061038220194,0.11381987944134624,0.45367281456282904,0.09658754779597428,0.4945583922394345
19,DI Remover,1,0.8343683887258582,0.5690245293782088,0.9178254238808649,0.08217457611913519,0.4309754706217912,0.11057797109384108,0.4714747822294375,0.1249619814601764,0.5313103131986776
