,algorithm,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Black,947.0,0.6758183738120379,0.4012671594508975,0.8686868686868687,0.34669811320754723,0.6533018867924528,0.1313131313131313
1,Unmitigated-LR,Other,8822.0,0.8238494672409884,0.404556789843573,0.9499776686020545,0.21904906577548228,0.7809509342245178,0.05002233139794553
2,Massaging,Black,947.0,0.770855332629356,0.310454065469905,0.8888888888888891,0.24292452830188677,0.7570754716981131,0.11111111111111113
3,Massaging,Other,8822.0,0.8460666515529358,0.38347313534345956,0.9522108083966057,0.19003493847789762,0.8099650615221023,0.047789191603394364
4,Pref. Sampling,Black,947.0,0.7507919746568109,0.33474128827877514,0.909090909090909,0.26768867924528295,0.732311320754717,0.09090909090909093
5,Pref. Sampling,Other,8822.0,0.8218091135796872,0.40591702561777376,0.9486377847253238,0.2213276621601094,0.7786723378398906,0.0513622152746762
6,Reweighing,Black,947.0,0.7317845828933474,0.35163674762407604,0.898989898989899,0.28773584905660377,0.7122641509433961,0.10101010101010102
7,Reweighing,Other,8822.0,0.8258898209022896,0.40319655406937205,0.9513175524787851,0.21677046939085526,0.7832295306091447,0.04868244752121482
8,Corr. Remover,Black,947.0,0.026399155227032733,0.8859556494192187,0.0808080808080808,0.9799528301886793,0.020047169811320757,0.9191919191919192
9,Corr. Remover,Other,8822.0,0.7378145545227841,0.4822035819542053,0.933452434122376,0.3287255050888653,0.6712744949111348,0.06654756587762392
10,DI Remover,Black,947.0,0.5406546990496305,0.525871172122492,0.8181818181818181,0.4917452830188679,0.5082547169811321,0.18181818181818185
11,DI Remover,Other,8822.0,0.7371344366356835,0.4853774654273407,0.9383653416703888,0.331307914324776,0.6686920856752242,0.061634658329611444
12,Grid Search DP,Black,947.0,0.7814149947201691,0.30411826821541704,0.909090909090909,0.23349056603773585,0.7665094339622642,0.09090909090909093
13,Grid Search DP,Other,8822.0,0.8325776467921104,0.39560190433008385,0.9495310406431443,0.20720036457542151,0.7927996354245784,0.05046895935685573
14,Grid Search EO,Black,947.0,0.7866948257655756,0.2988384371700105,0.909090909090909,0.22759433962264147,0.7724056603773584,0.09090909090909093
15,Grid Search EO,Other,8822.0,0.8411924733620493,0.3899342552709136,0.9553372041089772,0.19763025975998788,0.8023697402400123,0.04466279589102278
16,Exp. Grad. DP,Black,947.0,0.8201689545934532,0.26874340021119325,0.9252525252525252,0.1920990566037736,0.8079009433962264,0.07474747474747476
17,Exp. Grad. DP,Other,8822.0,0.8481070052142371,0.3788256631149399,0.9470745868691381,0.1855536989214644,0.8144463010785357,0.052925413130862
18,Exp. Grad. EO,Black,947.0,0.835480464625132,0.25237592397043296,0.9202020202020202,0.17441037735849058,0.8255896226415095,0.07979797979797978
19,Exp. Grad. EO,Other,8822.0,0.8636136930401269,0.3611652686465654,0.9428316212594907,0.16332978885006835,0.8366702111499317,0.057168378740509174
20,DI Score,,947.0,0.24709609292502638,0.8130939809926081,0.787878787878788,0.8160377358490567,0.18396226415094336,0.2121212121212121
21,DI Score,,8822.0,0.30956699161187945,0.7964180457946045,0.7087985707905313,0.8262190490657755,0.17378095093422452,0.2912014292094685
22,Equal. Oppor. DP,,947.0,0.0,0.8954593453009505,0.0,1.0,0.0,1.0
23,Equal. Oppor. DP,,8822.0,0.0,0.7462026751303558,0.0,1.0,0.0,1.0
24,Equal. Oppor. EO,,947.0,0.0,0.8954593453009505,0.0,1.0,0.0,1.0
25,Equal. Oppor. EO,,8822.0,0.0,0.7462026751303558,0.0,1.0,0.0,1.0
