,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-NB,0.4042378953833555,0.9465355004277158,0.2336159332525905,0.7663840667474097,0.05346449957228401,0.14803109342895038,0.8203177894564941,0.12764904743206484,0.8365466486587663
1,Massaging,0.37639471798546426,0.9495295124037639,0.19607051540842416,0.8039294845915759,0.05047048759623608,0.0752113189235799,0.911104735323711,0.06332191950771682,0.9335001042318114
2,Pref. Sampling,0.39901729962125093,0.946963216424294,0.22661822096622258,0.7733817790337775,0.05303678357570572,0.07101713892287609,0.9135843862651567,0.046361017085173706,0.9404614562091889
3,Reweighing,0.39819838263895996,0.9491017964071856,0.22486879289463063,0.7751312071053694,0.05089820359281437,0.09410523800894222,0.886055941570836,0.07096537966574856,0.9093938917107016
4,Corr. Remover,0.521343023850957,0.8973481608212148,0.4030413134167675,0.5969586865832323,0.10265183917878529,0.7114153992957511,0.03578020393499504,0.8526443533142951,0.0298643400923115
5,DI Remover,0.4893028969188248,0.9332763045337895,0.34961647153815095,0.650383528461849,0.06672369546621044,0.1964797375860532,0.7334546755368043,0.160437368694092,0.7600728763940918
6,Grid Search DP,0.3867335448868871,0.9478186484174509,0.21020051137128243,0.7897994886287175,0.052181351582549204,0.051162652071941706,0.938549092365055,0.04044013155223525,0.9574104164884971
7,Grid Search EO,0.3811034906336371,0.9533789563729684,0.20104965684295523,0.7989503431570447,0.04662104362703166,0.05449764759647391,0.9352138192836421,0.046246295018068206,0.9515916528539249
8,Exp. Grad. DP,0.3681543658511619,0.9461505560307956,0.18630063248553358,0.8136993675144664,0.05384944396920445,0.027938050620784128,0.967062539107688,0.02281660564572623,0.9757884665772041
9,Exp. Grad. EO,0.3506193059678575,0.9418733960650126,0.16459426725878076,0.8354057327412192,0.05812660393498716,0.028133228414994948,0.9674278315570864,0.025831510078429265,0.9721869105713642
10,DI Score,0.7980345992425019,0.712147134302823,0.8250571928408019,0.17494280715919794,0.28785286569717705,0.062470898686852974,0.7981990962228426,0.07908021708825641,0.8996289552341359
11,Equal. Oppor. DP,0.7606715119254784,0.0,1.0,0.0,1.0,0.0,,0.0,
12,Equal. Oppor. EO,0.7606715119254784,0.0,1.0,0.0,1.0,0.0,,0.0,
