,algorithm,run_id,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
9,Corr. Remover,0,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
34,Corr. Remover,1,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
35,Corr. Remover,1,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
60,Corr. Remover,2,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
61,Corr. Remover,2,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
86,Corr. Remover,3,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
87,Corr. Remover,3,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
112,Corr. Remover,4,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
113,Corr. Remover,4,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
138,Corr. Remover,5,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
139,Corr. Remover,5,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
164,Corr. Remover,6,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
165,Corr. Remover,6,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
190,Corr. Remover,7,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
191,Corr. Remover,7,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
216,Corr. Remover,8,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
217,Corr. Remover,8,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
242,Corr. Remover,9,Black,947,0.026399155227032733,0.8859556494192186,0.08080808080808081,0.9799528301886793,0.020047169811320754,0.9191919191919192
243,Corr. Remover,9,Other,8822,0.737814554522784,0.4822035819542054,0.9334524341223761,0.3287255050888653,0.6712744949111348,0.06654756587762393
10,DI Remover,0,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
11,DI Remover,0,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
36,DI Remover,1,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
37,DI Remover,1,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
62,DI Remover,2,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
63,DI Remover,2,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
88,DI Remover,3,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
89,DI Remover,3,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
114,DI Remover,4,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
115,DI Remover,4,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
140,DI Remover,5,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
141,DI Remover,5,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
166,DI Remover,6,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
167,DI Remover,6,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
192,DI Remover,7,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
193,DI Remover,7,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
218,DI Remover,8,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
219,DI Remover,8,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
244,DI Remover,9,Black,947,0.5406546990496304,0.5258711721224921,0.8181818181818182,0.49174528301886794,0.5082547169811321,0.18181818181818182
245,DI Remover,9,Other,8822,0.7371344366356836,0.4853774654273407,0.9383653416703885,0.33130791432477597,0.6686920856752241,0.06163465832961143
20,DI Score,0,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
21,DI Score,0,Other,8822,0.3095669916118794,0.7964180457946044,0.7087985707905314,0.8262190490657755,0.17378095093422452,0.2912014292094685
46,DI Score,1,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
47,DI Score,1,Other,8822,0.3095669916118794,0.7964180457946044,0.7087985707905314,0.8262190490657755,0.17378095093422452,0.2912014292094685
72,DI Score,2,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
73,DI Score,2,Other,8822,0.3095669916118794,0.7964180457946044,0.7087985707905314,0.8262190490657755,0.17378095093422452,0.2912014292094685
98,DI Score,3,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
99,DI Score,3,Other,8822,0.3095669916118794,0.7964180457946044,0.7087985707905314,0.8262190490657755,0.17378095093422452,0.2912014292094685
124,DI Score,4,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
125,DI Score,4,Other,8822,0.3095669916118794,0.7964180457946044,0.7087985707905314,0.8262190490657755,0.17378095093422452,0.2912014292094685
150,DI Score,5,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
151,DI Score,5,Other,8822,0.3095669916118794,0.7964180457946044,0.7087985707905314,0.8262190490657755,0.17378095093422452,0.2912014292094685
176,DI Score,6,Black,947,0.2470960929250264,0.8130939809926082,0.7878787878787878,0.8160377358490566,0.18396226415094338,0.21212121212121213
