,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
17,Corr. Remover,1,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
30,Corr. Remover,2,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
43,Corr. Remover,3,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
56,Corr. Remover,4,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
69,Corr. Remover,5,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
82,Corr. Remover,6,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
95,Corr. Remover,7,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
108,Corr. Remover,8,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
121,Corr. Remover,9,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.7114153992957513,0.03578020393499505,0.8526443533142953,0.0298643400923115
5,DI Remover,0,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
18,DI Remover,1,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
31,DI Remover,2,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
44,DI Remover,3,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
57,DI Remover,4,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
70,DI Remover,5,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
83,DI Remover,6,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
96,DI Remover,7,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
109,DI Remover,8,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
122,DI Remover,9,0.48930289691882484,0.9332763045337895,0.349616471538151,0.650383528461849,0.06672369546621043,0.1964797375860532,0.7334546755368043,0.16043736869409198,0.7600728763940919
10,DI Score,0,0.7980345992425018,0.712147134302823,0.825057192840802,0.17494280715919797,0.28785286569717705,0.06247089868685299,0.7981990962228426,0.07908021708825641,0.8996289552341361
23,DI Score,1,0.7980345992425018,0.712147134302823,0.825057192840802,0.17494280715919797,0.28785286569717705,0.06247089868685299,0.7981990962228426,0.07908021708825641,0.8996289552341361
