,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Female,4861.4,0.04870427978318313,0.9108347103463135,0.31642635662033197,0.9843580460711857,0.015641953928814213,0.683573643379668
1,Unmitigated-LR,Male,9791.6,0.2597094247475423,0.7958334889349898,0.591552308080937,0.8848409072620338,0.11515909273796625,0.40844769191906305
2,Massaging,Female,4861.4,0.20661842079551335,0.8555644225329608,0.7824492510065447,0.8645834205879211,0.13541657941207885,0.2175507489934554
3,Massaging,Male,9791.6,0.22370931985488243,0.7936563424901965,0.5286341794103421,0.9091171395283041,0.09088286047169594,0.4713658205896579
4,Pref. Sampling,Female,4861.4,0.20009896733650145,0.8614238064331368,0.7793825516782963,0.8715345639015906,0.12846543609840935,0.2206174483217036
5,Pref. Sampling,Male,9791.6,0.15443189539998894,0.7816724819989327,0.39472924680472427,0.9502412112379186,0.04975878876208137,0.6052707531952757
6,Reweighing,Female,4861.4,0.11146955502789266,0.9058780309633672,0.5790224839289181,0.9463103941797207,0.05368960582027917,0.4209775160710819
7,Reweighing,Male,9791.6,0.21022073759426368,0.7927917444835604,0.5049789186015509,0.918178213234107,0.08182178676589291,0.49502108139844914
8,Corr. Remover,Female,4861.4,0.12541857278396842,0.8992897998086754,0.6124231751188839,0.9347667640599949,0.06523323594000495,0.3875768248811161
9,Corr. Remover,Male,9791.6,0.20059759825776635,0.791343486197925,0.48671200214518723,0.924045523336148,0.07595447666385194,0.5132879978548128
10,DI Remover,Female,4861.4,0.06088277766641652,0.9126019142190376,0.37952670434856256,0.978509058039416,0.02149094196058407,0.6204732956514374
11,DI Remover,Male,9791.6,0.2402565943563216,0.7948423388803663,0.5578846696477664,0.8980956392907222,0.10190436070927773,0.44211533035223355
12,Grid Search DP,Female,4861.4,0.16927654418127475,0.8091603422551792,0.40228647956861413,0.8594749839605063,0.1405250160394936,0.597713520431386
13,Grid Search DP,Male,9791.6,0.1528158527071128,0.7628954121033499,0.3610386767558199,0.9379205684447973,0.06207943155520277,0.6389613232441802
14,Grid Search EO,Female,4861.4,0.12352119532944197,0.866995961773989,0.45701159624900606,0.9176989124350682,0.08230108756493185,0.542988403750994
15,Grid Search EO,Male,9791.6,0.2004508758127712,0.7751298728917202,0.4598569621736848,0.9125110463230159,0.08748895367698406,0.5401430378263152
16,Exp. Grad. DP,Female,4861.4,0.13437256852960056,0.8411732681228573,0.38922841276186426,0.8970874633704782,0.10291253662952198,0.6107715872381356
17,Exp. Grad. DP,Male,9791.6,0.15343280786290653,0.7675370992664956,0.3697663279059389,0.9408101482597733,0.05918985174022675,0.6302336720940611
18,Exp. Grad. EO,Female,4861.4,0.11428829708812356,0.8793629417003288,0.4713299811249441,0.929833043196885,0.07016695680311476,0.5286700188750559
19,Exp. Grad. EO,Male,9791.6,0.2141973130572298,0.7853255202365523,0.4992437688686547,0.9099673773363403,0.09003262266365969,0.5007562311313454
20,DI Score LR,,4861.4,0.0788249652333036,0.9059649181327067,0.432602095497037,0.9647307287365775,0.035269271263422566,0.567397904502963
21,DI Score LR,,9791.6,0.2384714119684236,0.7943801102713948,0.5542845991008429,0.8990626407784928,0.1009373592215073,0.44571540089915695
22,DI Score SVM,,4861.4,0.247014590362016,0.8027519314801388,0.7260062736128967,0.8122224369736664,0.18777756302633355,0.2739937263871033
23,DI Score SVM,,9791.6,0.29088119650591815,0.775633251024806,0.6096266943201526,0.847963943641511,0.15203605635848902,0.3903733056798474
24,Equal. Oppor. DP,,4861.4,0.04901414554207807,0.9106076432117721,0.3168030057904271,0.9840566605028327,0.015943339497167384,0.6831969942095728
25,Equal. Oppor. DP,,9791.6,0.049498284834492215,0.715262822149318,0.11236287122852393,0.9778913953318247,0.02210860466817519,0.8876371287714762
26,Equal. Oppor. EO,,4861.4,0.10179546320351443,0.8671640309191222,0.3591971300941074,0.9300005570088663,0.06999944299113367,0.6408028699058926
27,Equal. Oppor. EO,,9791.6,0.1582654815423653,0.7571916605879826,0.3606660315530911,0.929917819634511,0.07008218036548894,0.6393339684469088
