,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8339862144270798,0.5495151169423844,0.9234592266977663,0.07654077330223377,0.4504848830576155,0.21100514496435913,0.18755648111956158,0.2751259514606049,0.13577029384043798
1,Massaging,0.814195045383198,0.5673702224757559,0.8918273975060554,0.10817260249394459,0.4326297775242442,0.017090899059369065,0.9239543866267736,0.2538150715962026,0.6619073090568579
2,Pref. Sampling,0.8081280283900908,0.4534227039361096,0.9196913967883736,0.08030860321162644,0.5465772960638904,0.045667071936512524,0.7726785632301809,0.3846533048735721,0.38801153712016045
3,Reweighing,0.8303077868013377,0.5162293211637193,0.9290930295146677,0.07090697048533239,0.48377067883628067,0.09875118256637105,0.5306540136881442,0.07502098559059948,0.6575284335577016
4,Corr. Remover,0.8271548488364158,0.505875641756988,0.9282048981788824,0.0717951018211178,0.49412435824301204,0.07517902547379796,0.6256098650268141,0.12571117297369674,0.7823427878299212
5,DI Remover,0.8339111444755339,0.5306332002281803,0.9292993630573247,0.07070063694267516,0.4693667997718197,0.1793738166899051,0.25380770059481994,0.17835796529920384,0.21193433167223596
6,Grid Search DP,0.7782706612980277,0.36728465487735307,0.9075356598187853,0.09246434018121467,0.6327153451226468,0.04105374339345852,0.7755057217736846,0.09388756348631933,0.4054690648024389
7,Grid Search EO,0.8056643690711802,0.4593553907586993,0.9145868843635059,0.08541311563649412,0.5406446092413006,0.07692968048332924,0.6180212145020241,0.05579391410787636,0.623993125766859
8,Exp. Grad. DP,0.7919675151846038,0.3726754135767256,0.9238449807122994,0.07615501928770074,0.6273245864232744,0.019060239333305983,0.8765318164536662,0.044873980268872814,0.575752381177264
9,Exp. Grad. EO,0.8165222138811163,0.4949229891614375,0.9176729164797702,0.08232708352022965,0.5050770108385625,0.09990901596910626,0.5337951129133239,0.0328970319600201,0.7803997456665709
10,DI Score LR,0.8313928888282263,0.5354535082715344,0.9244729523638646,0.07552704763613528,0.46454649172846557,0.15964644673512002,0.35289988516141535,0.21375228849287412,0.38803150368292594
11,DI Score SVM,0.7846243090152186,0.6273816314888762,0.834080918632816,0.16591908136718397,0.3726183685111238,0.043866606143902157,0.8492393310248376,0.11637957929274415,0.808277077994858
12,Equal. Oppor. DP,0.780072340135126,0.14352538505419282,0.980281690140845,0.019718309859154928,0.8564746149458072,0.0027177509966897348,0.9472362773331297,0.20444013456190308,0.35522028322890986
13,Equal. Oppor. EO,0.7936736504470074,0.36041072447233313,0.929945276756078,0.07005472324392213,0.6395892755276669,0.0564700183388509,0.6441887523388287,0.017520936861215412,0.9339019454333058
