,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Female,4828,0.1383595691797846,0.8883595691797845,0.6153846153846154,0.9241040056219255,0.0758959943780745,0.38461538461538464
9,Corr. Remover,0,Male,9825,0.19928753180661576,0.7865648854961832,0.47641669494401084,0.9194533294562373,0.08054667054376272,0.5235833050559892
36,Corr. Remover,1,Female,4908,0.1295843520782396,0.8971067644661777,0.623352165725047,0.9303175691112634,0.06968243088873657,0.3766478342749529
37,Corr. Remover,1,Male,9745,0.20061570035915854,0.7906618778860954,0.4857142857142857,0.9246676514032496,0.07533234859675036,0.5142857142857142
64,Corr. Remover,2,Female,4828,0.11888980944490472,0.8989229494614748,0.5811320754716981,0.9381107491856677,0.06188925081433225,0.4188679245283019
65,Corr. Remover,2,Male,9825,0.20987277353689568,0.790941475826972,0.5013440860215054,0.9167761717038984,0.08322382829610162,0.4986559139784946
92,Corr. Remover,3,Female,4803,0.12533833021028523,0.9031855090568395,0.6335282651072125,0.9354312354312354,0.06456876456876456,0.3664717348927875
93,Corr. Remover,3,Male,9850,0.19563451776649746,0.7904568527918782,0.4771132642833278,0.9272276505760537,0.07277234942394634,0.5228867357166722
120,Corr. Remover,4,Female,4891,0.12144755673686362,0.8994070742179513,0.59375,0.9376581550494594,0.062341844950540605,0.40625
121,Corr. Remover,4,Male,9762,0.2001639008399918,0.7943044458102848,0.49088453747467925,0.9264705882352942,0.07352941176470588,0.5091154625253207
148,Corr. Remover,5,Female,4865,0.1223021582733813,0.9031860226104831,0.6165413533834586,0.9383798753750289,0.06162012462497115,0.38345864661654133
149,Corr. Remover,5,Male,9788,0.20341234164282795,0.7976093175316714,0.5016812373907196,0.9267684179630173,0.07323158203698268,0.49831876260928043
176,Corr. Remover,6,Female,4916,0.12062652563059398,0.9017493897477624,0.6041666666666666,0.9375569735642661,0.06244302643573382,0.3958333333333333
177,Corr. Remover,6,Male,9737,0.196980589503954,0.7882304611276574,0.4758226997985225,0.9258766089658234,0.07412339103417666,0.5241773002014775
204,Corr. Remover,7,Female,4897,0.13048805391055748,0.8962630181743925,0.6143106457242583,0.9336262719703978,0.06637372802960222,0.3856893542757417
205,Corr. Remover,7,Male,9756,0.19751947519475194,0.7925379253792538,0.4834640300034095,0.9253993844349993,0.07460061556500074,0.5165359699965906
232,Corr. Remover,8,Female,4834,0.11915597848572611,0.9052544476623914,0.6109022556390977,0.9416550441655044,0.05834495583449558,0.3890977443609023
233,Corr. Remover,8,Male,9819,0.19839087483450454,0.7910174152153987,0.48251513113651645,0.9250547845142439,0.07494521548575603,0.5174848688634835
260,Corr. Remover,9,Female,4844,0.12799339388934763,0.8994632535094963,0.631163708086785,0.9308277611252017,0.06917223887479824,0.368836291913215
261,Corr. Remover,9,Male,9809,0.2040982770924661,0.7911102049138546,0.492164054684895,0.9227606461086637,0.07723935389133627,0.507835945315105
10,DI Remover,0,Female,4828,0.06462303231151616,0.90990057995029,0.38998211091234347,0.9779807917545092,0.022019208245490748,0.6100178890876565
11,DI Remover,0,Male,9825,0.24111959287531806,0.7948091603053435,0.5598914149983033,0.8954637976155859,0.10453620238441408,0.44010858500169664
38,DI Remover,1,Female,4908,0.06499592502037489,0.9136104319478403,0.4011299435028249,0.9757824994288326,0.024217500571167467,0.5988700564971752
39,DI Remover,1,Male,9745,0.22657773217034377,0.7915854284248333,0.5297478991596639,0.9066469719350074,0.09335302806499261,0.47025210084033614
66,DI Remover,2,Female,4828,0.05923777961888981,0.9113504556752279,0.3660377358490566,0.9785946952070731,0.021405304792926943,0.6339622641509434
67,DI Remover,2,Male,9825,0.25241730279898217,0.7933842239185751,0.5756048387096774,0.8880128485910352,0.11198715140896481,0.42439516129032256
94,DI Remover,3,Female,4803,0.056214865708931916,0.9165105142619197,0.3723196881091618,0.9815850815850816,0.018414918414918414,0.6276803118908382
95,DI Remover,3,Male,9850,0.23147208121827412,0.7954314720812182,0.5442699632475777,0.9050605220942103,0.0949394779057897,0.4557300367524223
122,DI Remover,4,Female,4891,0.05847474953997137,0.9096299325291352,0.35661764705882354,0.9788359788359788,0.021164021164021163,0.6433823529411765
123,DI Remover,4,Male,9762,0.2581438229870928,0.7943044458102848,0.5864280891289669,0.8848529411764706,0.11514705882352941,0.41357191087103307
150,DI Remover,5,Female,4865,0.06495375128468654,0.9124357656731757,0.3966165413533835,0.975767366720517,0.024232633279483037,0.6033834586466166
151,DI Remover,5,Male,9788,0.24325704944830404,0.8012872905598692,0.5733019502353732,0.9007924860581157,0.09920751394188436,0.4266980497646268
178,DI Remover,6,Female,4916,0.057160292921074045,0.9143612693246542,0.36742424242424243,0.9801731996353692,0.01982680036463081,0.6325757575757576
179,DI Remover,6,Male,9737,0.23333675670124268,0.7919276984697545,0.5413028878441908,0.902352418996893,0.09764758100310697,0.4586971121558093
206,DI Remover,7,Female,4897,0.06269144374106596,0.909332244231162,0.38045375218150085,0.9794172062904718,0.020582793709528216,0.6195462478184991
207,DI Remover,7,Male,9756,0.24466994669946698,0.7964329643296433,0.5683600409137401,0.8944745713029459,0.10552542869705409,0.4316399590862598
234,DI Remover,8,Female,4834,0.058543649151841126,0.9133223003723624,0.37218045112781956,0.9802417480241749,0.019758251975825196,0.6278195488721805
235,DI Remover,8,Male,9819,0.23536001629493838,0.7941745595274468,0.5487558843308675,0.9008035062089116,0.09919649379108839,0.4512441156691325
262,DI Remover,9,Female,4844,0.061932287365813375,0.9155656482246077,0.39250493096646943,0.9767120129121513,0.023287987087848742,0.6074950690335306
263,DI Remover,9,Male,9809,0.23621164236925274,0.7950861453766949,0.5511837279093031,0.902496328928047,0.09750367107195301,0.4488162720906969
20,DI Score LR,0,Female,4828,0.05136702568351284,0.9049295774647887,0.3112701252236136,0.9826657296790817,0.01733427032091825,0.6887298747763864
21,DI Score LR,0,Male,9825,0.2650381679389313,0.7940966921119593,0.5985748218527316,0.8778714742657749,0.12212852573422507,0.4014251781472684
48,DI Score LR,1,Female,4908,0.1328443357783211,0.8942542787286064,0.6252354048964218,0.9268905643134567,0.0731094356865433,0.3747645951035782
49,DI Score LR,1,Male,9745,0.20441251924063622,0.7907644946126219,0.49210084033613444,0.9220088626292466,0.07799113737075332,0.5078991596638656
76,DI Score LR,2,Female,4828,0.11971830985915492,0.9005799502899752,0.5924528301886792,0.9385760818985575,0.06142391810144253,0.4075471698113208
77,DI Score LR,2,Male,9825,0.21272264631043258,0.7917557251908397,0.5073924731182796,0.9153161045408089,0.08468389545919112,0.49260752688172044
104,DI Score LR,3,Female,4803,0.04538829897980429,0.9160941078492609,0.31968810916179335,0.9874125874125874,0.012587412587412588,0.6803118908382066
105,DI Score LR,3,Male,9850,0.2504568527918782,0.7971573604060914,0.5783494821249582,0.8926644305089689,0.10733556949103107,0.42165051787504176
132,DI Score LR,4,Female,4891,0.04641177673277448,0.9077898180331221,0.29411764705882354,0.9845870715435933,0.015412928456406717,0.7058823529411765
133,DI Score LR,4,Male,9762,0.2624462200368777,0.7953288260602336,0.5952059419311276,0.8825,0.1175,0.40479405806887236
160,DI Score LR,5,Female,4865,0.12271325796505653,0.904830421377184,0.6259398496240601,0.9390722363258712,0.060927763674128776,0.37406015037593987
161,DI Score LR,5,Male,9788,0.20913363302002452,0.7974049856967715,0.5107599193006053,0.9225124743175814,0.07748752568241855,0.48924008069939473
188,DI Score LR,6,Female,4916,0.1242880390561432,0.8993083807973963,0.6098484848484849,0.9341385597082954,0.06586144029170465,0.39015151515151514
189,DI Score LR,6,Male,9737,0.20119133203245354,0.7883331621649379,0.4828744123572868,0.9229175913596686,0.0770824086403314,0.5171255876427132
