,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.820105097932164,0.49857387335995434,0.9212344128465058,0.07876558715349422,0.5014261266400456,0.06092796262683117,0.6942710761958037,0.13896792044060458,0.7741771292840176
18,Corr. Remover,1,0.8263154302873131,0.50656018254421,0.9268861577105948,0.07311384228940522,0.4934398174557901,0.07103134828091895,0.6459332537096905,0.13763788001076133,0.7791972378075097
32,Corr. Remover,2,0.8265201665188016,0.513405590416429,0.9250022427558985,0.07499775724410156,0.48659440958357103,0.09098296409199096,0.5664851492707027,0.07978798945019272,0.7436482084690554
46,Corr. Remover,3,0.8274073568552515,0.5,0.9303848569121737,0.06961514308782632,0.5,0.07029618755621223,0.6406759484023402,0.1564150008238847,0.7531049371610682
60,Corr. Remover,4,0.8293864737596397,0.5068454078722191,0.9308334080918633,0.06916659190813672,0.49315459212778096,0.07871634410312818,0.6067405572493668,0.10286546252532075,0.8267529052205124
74,Corr. Remover,5,0.8326622534634546,0.5191100969766115,0.9312819592715529,0.06871804072844712,0.48088990302338847,0.08111018336944666,0.60125239838265,0.11486011599273904,0.8137024947922648
88,Corr. Remover,6,0.8263154302873131,0.49515116942384485,0.9304745671481116,0.0695254328518884,0.5048488305761551,0.07635406387336002,0.6123777268326869,0.12834396686814414,0.7875686065630717
102,Corr. Remover,7,0.827202620623763,0.5048488305761551,0.9285906521934153,0.07140934780658473,0.49515116942384485,0.06703142128419445,0.66063386297426,0.13084661572084882,0.7870025261135046
116,Corr. Remover,8,0.8287040196546782,0.5019965772960638,0.9314613797434287,0.06853862025657127,0.4980034227039361,0.07923489634877844,0.600612193404181,0.12838712450258127,0.7785014087468269
130,Corr. Remover,9,0.8269296389817785,0.5122646891043925,0.9258993451152776,0.07410065488472235,0.4877353108956075,0.07610488320311848,0.627116483846459,0.13899965340189002,0.7797724241413805
5,DI Remover,0,0.8327304988739507,0.5328009127210497,0.9270655781824706,0.07293442181752938,0.4671990872789504,0.17649656056380192,0.268012364905296,0.16990930408595983,0.2106371548156959
