,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-NB,Female,3232.0,0.7831064356435642,0.3115717821782179,0.9421965317919077,0.23596673596673595,0.764033264033264,0.05780346820809247
1,Unmitigated-NB,Male,6537.0,0.8225485696802812,0.4500535413798378,0.9472891566265063,0.23212321232123218,0.7678767876787679,0.05271084337349398
2,Massaging,Female,3232.0,0.8233292079207921,0.27196782178217827,0.9450867052023122,0.19126819126819128,0.8087318087318087,0.05491329479768786
3,Massaging,Male,6537.0,0.7983784610677682,0.46994033960532355,0.9402610441767069,0.2638063806380639,0.7361936193619362,0.05973895582329317
4,Pref. Sampling,Female,3232.0,0.8270420792079209,0.2682549504950495,0.9450867052023122,0.1871101871101871,0.8128898128898128,0.05491329479768786
5,Pref. Sampling,Male,6537.0,0.7763500076487686,0.4876854826372954,0.9332329317269077,0.29240924092409243,0.7075907590759076,0.06676706827309235
6,Reweighing,Female,3232.0,0.8202351485148516,0.27568069306930687,0.9479768786127167,0.1950796950796951,0.8049203049203049,0.05202312138728325
7,Reweighing,Male,6537.0,0.8162765794707052,0.45724338381520574,0.9487951807228916,0.2418041804180418,0.7581958195819583,0.05120481927710842
8,Corr. Remover,Female,3232.0,0.5662128712871287,0.514851485148515,0.8786127167630058,0.4712404712404713,0.5287595287595287,0.12138728323699421
9,Corr. Remover,Male,6537.0,0.7195961450206517,0.5245525470399265,0.9006024096385541,0.35973597359735976,0.6402640264026402,0.09939759036144578
10,DI Remover,Female,3232.0,0.7363861386138614,0.35581683168316836,0.930635838150289,0.28690228690228686,0.713097713097713,0.06936416184971096
11,DI Remover,Male,6537.0,0.7899648156646781,0.4780480342664831,0.9397590361445782,0.2756875687568757,0.7243124312431243,0.06024096385542167
12,Grid Search DP,Female,3232.0,0.3094059405940594,0.6714108910891089,0.4104046242774567,0.7027027027027027,0.2972972972972973,0.5895953757225435
13,Grid Search DP,Male,6537.0,0.1678139819489062,0.7039926571821936,0.28965863453815255,0.8855885588558856,0.11441144114411442,0.7103413654618472
14,Grid Search EO,Female,3232.0,0.06559405940594058,0.8582920792079209,0.14450867052023122,0.9438669438669438,0.05613305613305615,0.8554913294797688
15,Grid Search EO,Male,6537.0,0.12452195196573349,0.7188312681658253,0.24297188755020077,0.9273927392739274,0.07260726072607261,0.7570281124497991
16,Exp. Grad. DP,Female,3232.0,0.7370358910891088,0.34124381188118813,0.8656069364161849,0.27837837837837837,0.7216216216216218,0.13439306358381503
17,Exp. Grad. DP,Male,6537.0,0.7420988220896436,0.46145020651675084,0.8339859437751004,0.2981738173817382,0.7018261826182618,0.1660140562248996
18,Exp. Grad. EO,Female,3232.0,0.20730198019801976,0.7542079207920791,0.3202312138728324,0.8062370062370064,0.19376299376299375,0.6797687861271676
19,Exp. Grad. EO,Male,6537.0,0.2253939115802356,0.6629952577635001,0.3168674698795181,0.8146974697469748,0.1853025302530253,0.6831325301204819
20,DI Score,,3232.0,0.2469678217821782,0.7981435643564356,0.710693641618497,0.8086278586278588,0.1913721413721414,0.28930635838150287
21,DI Score,,6537.0,0.2913415940033654,0.7765488756310235,0.6113955823293173,0.8489328932893289,0.15106710671067108,0.3886044176706827
22,Equal. Oppor. DP,,3232.0,0.0,0.8929455445544556,0.0,1.0,0.0,1.0
23,Equal. Oppor. DP,,6537.0,0.0,0.695273061037173,0.0,1.0,0.0,1.0
24,Equal. Oppor. EO,,3232.0,0.0,0.8929455445544556,0.0,1.0,0.0,1.0
25,Equal. Oppor. EO,,6537.0,0.0,0.695273061037173,0.0,1.0,0.0,1.0
