,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-NB,0.4042378953833555,0.9465355004277158,0.2336159332525905,0.7663840667474097,0.05346449957228401,0.03944213403671715,0.9520488692211233,0.0050926248345984915,0.9946240017644301
1,Massaging,0.4044426246289282,0.9409751924721983,0.23563450410442738,0.7643654958955725,0.05902480752780152,0.02495074685302401,0.9696952973209421,0.07253818936987255,0.9103062491339108
2,Pref. Sampling,0.4150885453987102,0.9349871685201026,0.25151392813887774,0.7484860718611223,0.06501283147989735,0.05069207155915223,0.938706780666225,0.10529905381390525,0.8704633123158863
3,Reweighing,0.3971747364110963,0.9486740804106073,0.22365765038352853,0.7763423496164715,0.05132591958939264,0.003958569044146265,0.9951738607504035,0.04672448533834683,0.941951414254641
4,Corr. Remover,0.521343023850957,0.8973481608212148,0.4030413134167675,0.5969586865832323,0.10265183917878529,0.153383273733523,0.7868481164124066,0.11150449764311143,0.8258460681141095
5,DI Remover,0.43760876241171054,0.9384088964927286,0.2800430628448392,0.7199569371551607,0.061591103507271164,0.05357867705081665,0.9321758691167334,0.011214718145411195,0.9845167393770067
6,Grid Search DP,0.6932132255092639,0.3075278015397776,0.8145606244112502,0.18543937558874982,0.6924721984602226,0.14159195864515314,0.542374789658865,0.18288585615318292,0.38483848384838476
7,Grid Search EO,0.7649708260825058,0.2284003421727973,0.9337908760597495,0.06620912394025029,0.7715996578272027,0.058927892559792916,0.5267670348115894,0.09846321702996956,0.5947546935460757
8,Exp. Grad. DP,0.4216808271061521,0.8386655260906757,0.2904858027183421,0.7095141972816579,0.1613344739093242,0.005987144578386228,0.9919605295577603,0.031620992641084575,0.9625304116056979
9,Exp. Grad. EO,0.6931722796601495,0.3173652694610779,0.8114116538823846,0.1885883461176154,0.6826347305389222,0.01809193138221579,0.9201148954169236,0.01859040381066791,0.9349607025459326
10,DI Score,0.7836933155901322,0.6260906757912746,0.8332795047772844,0.16672049522271565,0.3739093242087254,0.044373772221187234,0.847692735996277,0.09929805928917983,0.7893975402437527
11,Equal. Oppor. DP,0.7606715119254784,0.0,1.0,0.0,1.0,0.0,,0.0,
12,Equal. Oppor. EO,0.7606715119254784,0.0,1.0,0.0,1.0,0.0,,0.0,
