,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
9,Corr. Remover,0,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
34,Corr. Remover,1,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
35,Corr. Remover,1,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
60,Corr. Remover,2,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
61,Corr. Remover,2,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
86,Corr. Remover,3,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
87,Corr. Remover,3,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
112,Corr. Remover,4,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
113,Corr. Remover,4,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
138,Corr. Remover,5,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
139,Corr. Remover,5,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
164,Corr. Remover,6,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
165,Corr. Remover,6,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
190,Corr. Remover,7,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
191,Corr. Remover,7,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
216,Corr. Remover,8,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
217,Corr. Remover,8,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
242,Corr. Remover,9,Female,3232,0.5662128712871287,0.5148514851485149,0.8786127167630058,0.47124047124047125,0.5287595287595288,0.12138728323699421
243,Corr. Remover,9,Male,6537,0.7195961450206517,0.5245525470399266,0.9006024096385542,0.35973597359735976,0.6402640264026402,0.09939759036144578
10,DI Remover,0,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
11,DI Remover,0,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
36,DI Remover,1,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
37,DI Remover,1,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
62,DI Remover,2,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
63,DI Remover,2,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
88,DI Remover,3,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
89,DI Remover,3,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
114,DI Remover,4,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
115,DI Remover,4,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
140,DI Remover,5,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
141,DI Remover,5,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
166,DI Remover,6,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
167,DI Remover,6,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
192,DI Remover,7,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
193,DI Remover,7,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
218,DI Remover,8,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
219,DI Remover,8,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
244,DI Remover,9,Female,3232,0.7363861386138614,0.3558168316831683,0.930635838150289,0.2869022869022869,0.7130977130977131,0.06936416184971098
245,DI Remover,9,Male,6537,0.789964815664678,0.4780480342664831,0.9397590361445783,0.27568756875687567,0.7243124312431243,0.060240963855421686
20,DI Score,0,Female,3232,0.24721534653465346,0.7979579207920792,0.7109826589595376,0.8083853083853084,0.1916146916146916,0.28901734104046245
21,DI Score,0,Male,6537,0.2912651063178828,0.7766559583906991,0.6114457831325302,0.849064906490649,0.15093509350935094,0.3885542168674699
46,DI Score,1,Female,3232,0.24721534653465346,0.7979579207920792,0.7109826589595376,0.8083853083853084,0.1916146916146916,0.28901734104046245
47,DI Score,1,Male,6537,0.2912651063178828,0.7766559583906991,0.6114457831325302,0.849064906490649,0.15093509350935094,0.3885542168674699
72,DI Score,2,Female,3232,0.24721534653465346,0.7979579207920792,0.7109826589595376,0.8083853083853084,0.1916146916146916,0.28901734104046245
73,DI Score,2,Male,6537,0.2912651063178828,0.7766559583906991,0.6114457831325302,0.849064906490649,0.15093509350935094,0.3885542168674699
98,DI Score,3,Female,3232,0.24721534653465346,0.7979579207920792,0.7109826589595376,0.8083853083853084,0.1916146916146916,0.28901734104046245
99,DI Score,3,Male,6537,0.2912651063178828,0.7766559583906991,0.6114457831325302,0.849064906490649,0.15093509350935094,0.3885542168674699
