,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
17,Corr. Remover,1,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
30,Corr. Remover,2,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
43,Corr. Remover,3,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
56,Corr. Remover,4,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
69,Corr. Remover,5,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
82,Corr. Remover,6,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
95,Corr. Remover,7,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
108,Corr. Remover,8,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
121,Corr. Remover,9,0.5213430238509571,0.8973481608212147,0.4030413134167676,0.5969586865832324,0.10265183917878529,0.153383273733523,0.7868481164124065,0.11150449764311143,0.8258460681141094
5,DI Remover,0,0.43760876241171054,0.9384088964927289,0.2800430628448392,0.7199569371551608,0.06159110350727117,0.05357867705081665,0.9321758691167334,0.011214718145411195,0.9845167393770067
18,DI Remover,1,0.43760876241171054,0.9384088964927289,0.2800430628448392,0.7199569371551608,0.06159110350727117,0.05357867705081665,0.9321758691167334,0.011214718145411195,0.9845167393770067
