,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,African-American,941.4,0.5531326107766131,0.9647123459750994,0.9937159692882069,0.9326626354653413,0.06733736453465866,0.006284030711793009
1,Unmitigated-LR,Other,909.6,0.40397402086126527,0.9755952733320127,0.9939773008811418,0.9641310502333612,0.035868949766638666,0.006022699118858308
2,Massaging,African-American,941.4,0.5531326107766131,0.9647123459750994,0.9937159692882069,0.9326626354653413,0.06733736453465866,0.006284030711793009
3,Massaging,Other,909.6,0.40397402086126527,0.9755952733320127,0.9939773008811418,0.9641310502333612,0.035868949766638666,0.006022699118858308
4,Pref. Sampling,African-American,941.4,0.5530256589049554,0.9646053941034417,0.9935135401384093,0.9326626354653413,0.06733736453465866,0.006486459861590581
5,Pref. Sampling,Other,909.6,0.40397402086126527,0.9755952733320127,0.9939773008811418,0.9641310502333612,0.035868949766638666,0.006022699118858308
6,Reweighing,African-American,941.4,0.5518470037813707,0.9640650896746928,0.9918988226267397,0.933331007971111,0.06666899202888907,0.008101177373260214
7,Reweighing,Other,909.6,0.4046302356807606,0.9762514881515081,0.995693077217204,0.9641310502333612,0.035868949766638666,0.004306922782796065
8,Corr. Remover,African-American,941.4,0.5514409198364494,0.959622716341892,0.9872344907617057,0.9291032650046223,0.07089673499537781,0.012765509238294202
9,Corr. Remover,Other,909.6,0.4025459442247567,0.9706276843721288,0.9856592609097523,0.9612619176627553,0.03873808233724495,0.01434073909024763
10,DI Remover,African-American,941.4,0.5557933252591486,0.965453403441131,0.996961757124145,0.9306260259060133,0.06937397409398673,0.0030382428758549294
11,DI Remover,Other,909.6,0.40485962403016673,0.9764808765009141,0.9962823733439242,0.9641310502333612,0.035868949766638666,0.0037176266560759166
12,Grid Search DP,African-American,941.4,0.5354761148642545,0.9334417057213166,0.9468382093692715,0.9183352245980313,0.08166477540196876,0.05316179063072838
13,Grid Search DP,Other,909.6,0.4121313190774517,0.947856436610391,0.9685574997195513,0.9348453061235427,0.0651546938764575,0.031442500280448496
14,Grid Search EO,African-American,941.4,0.5534524066517308,0.965032141850217,0.9943224800706576,0.9326626354653413,0.06733736453465866,0.005677519929342378
15,Grid Search EO,Other,909.6,0.4036417317134958,0.9752629841842433,0.9931189174666063,0.9641310502333612,0.035868949766638666,0.0068810825333938674
16,Exp. Grad. DP,African-American,941.4,0.5231529457958929,0.9111212826746062,0.9139078333737102,0.907848063354009,0.09215193664599089,0.08609216662629002
17,Exp. Grad. DP,Other,909.6,0.4231552346986964,0.9238176226256943,0.9515105987319187,0.9064195333231033,0.0935804666768966,0.048489401268081295
18,Exp. Grad. EO,African-American,941.4,0.5556727603526477,0.9625835453512647,0.99412679342464,0.9277456531711394,0.07225434682886064,0.005873206575359903
19,Exp. Grad. EO,Other,909.6,0.4071688310907403,0.9706394600305815,0.9917040146001062,0.9575072211287331,0.0424927788712669,0.008295985399893794
20,DI Score LR,,941.4,0.5627962635056073,0.9418741896468106,0.9811578042930929,0.8984631266043366,0.10153687339566334,0.01884219570690705
21,DI Score LR,,909.6,0.41322522058157835,0.9524984813062153,0.9759935796071229,0.9378689654068582,0.06213103459314171,0.02400642039287717
22,DI Score SVM,,941.4,0.49874813213178354,0.9071337502818981,0.8869164909331136,0.9292914770977839,0.07070852290221605,0.11308350906688622
23,DI Score SVM,,909.6,0.44292181453042695,0.9340244461702509,0.990538821368467,0.8987157779407353,0.10128422205926484,0.00946117863153277
24,Equal. Oppor. DP,,941.4,0.40319395860619184,0.8338820720242321,0.7258919172485745,0.9527505234288514,0.04724947657114863,0.2741080827514254
25,Equal. Oppor. DP,,909.6,0.40430932850095047,0.9752599656923275,0.9939773008811418,0.9635832784658502,0.036416721534149724,0.006022699118858308
26,Equal. Oppor. EO,,941.4,0.5531340012668189,0.9644970517415782,0.9935135401384093,0.9324316885831243,0.06756831141687575,0.006486459861590581
27,Equal. Oppor. EO,,909.6,0.4245564691303084,0.9541403261094269,0.9928446655037423,0.9300072150274623,0.06999278497253762,0.007155334496257768
