,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Female,946.0,0.5782241014799155,0.9608879492600424,1.0,0.9151376146788992,0.08486238532110092,0.0
1,Unmitigated-LR,Male,905.0,0.38563535911602204,0.9779005524861878,0.9939939939939941,0.9685314685314685,0.031468531468531465,0.006006006006006007
2,Massaging,Female,946.0,0.5782241014799155,0.9608879492600424,1.0,0.9151376146788992,0.08486238532110092,0.0
3,Massaging,Male,905.0,0.38563535911602204,0.9779005524861878,0.9939939939939941,0.9685314685314685,0.031468531468531465,0.006006006006006007
4,Pref. Sampling,Female,946.0,0.5782241014799155,0.9608879492600424,1.0,0.9151376146788992,0.08486238532110092,0.0
5,Pref. Sampling,Male,905.0,0.38563535911602204,0.9779005524861878,0.9939939939939941,0.9685314685314685,0.031468531468531465,0.006006006006006007
6,Reweighing,Female,946.0,0.577167019027484,0.959830866807611,0.9980392156862745,0.9151376146788992,0.08486238532110092,0.00196078431372549
7,Reweighing,Male,905.0,0.3867403314917128,0.9790055248618785,0.996996996996997,0.9685314685314685,0.031468531468531465,0.0030030030030030034
8,Corr. Remover,Female,946.0,0.5761099365750528,0.9587737843551796,0.996078431372549,0.9151376146788992,0.08486238532110092,0.00392156862745098
9,Corr. Remover,Male,905.0,0.3845303867403315,0.974585635359116,0.987987987987988,0.9667832167832169,0.03321678321678322,0.012012012012012014
10,DI Remover,Female,946.0,0.5803382663847781,0.9587737843551796,1.0,0.9105504587155961,0.08944954128440366,0.0
11,DI Remover,Male,905.0,0.3845303867403315,0.9767955801104973,0.9909909909909909,0.9685314685314685,0.031468531468531465,0.00900900900900901
12,Grid Search DP,Female,946.0,0.5708245243128963,0.9534883720930234,0.9862745098039216,0.9151376146788992,0.08486238532110092,0.013725490196078435
13,Grid Search DP,Male,905.0,0.38342541436464084,0.9756906077348066,0.987987987987988,0.9685314685314685,0.031468531468531465,0.012012012012012014
14,Grid Search EO,Female,946.0,0.5782241014799155,0.9608879492600424,1.0,0.9151376146788992,0.08486238532110092,0.0
15,Grid Search EO,Male,905.0,0.3845303867403315,0.9767955801104973,0.9909909909909909,0.9685314685314685,0.031468531468531465,0.00900900900900901
16,Exp. Grad. DP,Female,946.0,0.5486257928118393,0.9245243128964059,0.9388235294117647,0.9077981651376147,0.09220183486238534,0.0611764705882353
17,Exp. Grad. DP,Male,905.0,0.3971270718232044,0.9394475138121546,0.9573573573573574,0.929020979020979,0.07097902097902098,0.04264264264264264
18,Exp. Grad. EO,Female,946.0,0.5783298097251586,0.9605708245243129,0.9998039215686274,0.9146788990825689,0.0853211009174312,0.000196078431372549
19,Exp. Grad. EO,Male,905.0,0.38552486187845303,0.976022099447514,0.9912912912912912,0.9671328671328672,0.03286713286713287,0.008708708708708709
20,DI Score,,946.0,0.5933403805496829,0.9392177589852008,0.993921568627451,0.875229357798165,0.12477064220183484,0.00607843137254902
21,DI Score,,905.0,0.4016574585635359,0.9521546961325967,0.9807807807807807,0.9354895104895105,0.06451048951048952,0.01921921921921922
22,Equal. Oppor. DP,,946.0,0.4369978858350952,0.8340380549682875,0.7513725490196078,0.9307339449541283,0.06926605504587156,0.24862745098039216
23,Equal. Oppor. DP,,905.0,0.3860773480662983,0.9774585635359114,0.9939939939939941,0.9678321678321679,0.032167832167832165,0.006006006006006007
24,Equal. Oppor. EO,,946.0,0.5782241014799155,0.9608879492600424,1.0,0.9151376146788992,0.08486238532110092,0.0
25,Equal. Oppor. EO,,905.0,0.4014364640883977,0.9625414364640884,0.9945945945945945,0.9438811188811187,0.056118881118881116,0.0054054054054054074
