,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9700702323068612,0.9938315539739027,0.9501984126984127,0.049801587301587305,0.006168446026097272,0.14915858991534778,0.7308568946237142,0.031468414768019995,0.5383999317637608
1,Massaging,0.9700702323068612,0.9938315539739027,0.9501984126984127,0.049801587301587305,0.006168446026097272,0.14915858991534778,0.7308568946237142,0.031468414768019995,0.5383999317637608
2,Pref. Sampling,0.9700162074554294,0.9937129300118623,0.9501984126984127,0.049801587301587305,0.006287069988137604,0.14905163804369004,0.7309971577947308,0.031468414768019995,0.5383999317637608
3,Reweighing,0.9700702323068612,0.9934756820877817,0.9504960317460318,0.04950396825396825,0.006524317912218268,0.14721676810061018,0.7337032702087873,0.030800042262250405,0.5440722311463274
4,Corr. Remover,0.9650459211237168,0.9865954922894424,0.9470238095238095,0.052976190476190475,0.01340450771055753,0.1488949756116927,0.7304980220728525,0.03215865265813286,0.5512379458510764
5,DI Remover,0.9708806050783358,0.9966785290628708,0.9493055555555555,0.050694444444444445,0.0033214709371293,0.15093370122898192,0.7289838833385933,0.03350502432734807,0.5220597073764646
6,Grid Search DP,0.9405186385737438,0.9558718861209965,0.9276785714285714,0.07232142857142858,0.04412811387900356,0.12334479578680284,0.7715290751402823,0.03449637678676563,0.7091681687243601
7,Grid Search EO,0.9700702323068612,0.9938315539739028,0.9501984126984127,0.049801587301587305,0.00616844602609727,0.1498106749382348,0.7298283347672052,0.031468414768019995,0.5383999317637608
8,Exp. Grad. DP,0.9173960021609939,0.9295373665480428,0.9072420634920635,0.09275793650793651,0.07046263345195727,0.09999771109719642,0.8103058319732378,0.0403478836022929,0.8627613651442271
9,Exp. Grad. EO,0.9665586169638034,0.9931198102016607,0.9443452380952382,0.05565476190476191,0.006880189798339265,0.14850392926190747,0.7332415868373032,0.02976156795759375,0.5926628733699296
10,DI Score LR,0.9471096704484063,0.9790035587188612,0.9204365079365079,0.07956349206349207,0.02099644128113879,0.14957104292402895,0.7347708250339359,0.03940583880252161,0.618532420299036
11,DI Score SVM,0.9203673689897351,0.9298932384341636,0.9124007936507936,0.08759920634920634,0.07010676156583631,0.05582631760135668,0.8892020868293444,0.10362233043535345,0.6997986292623525
12,Equal. Oppor. DP,0.9033495407887628,0.8370106761565836,0.958829365079365,0.04117063492063492,0.16298932384341638,0.020370784336526133,0.9511653414644726,0.26808538363256706,0.6885683258146991
13,Equal. Oppor. EO,0.9594273365748244,0.9932384341637011,0.9311507936507935,0.06884920634920634,0.006761565836298933,0.12857753213651052,0.7680922399896971,0.014730172949741053,0.8190771119544031
