,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9692058346839547,0.9976275207591934,0.9454365079365079,0.05456349206349208,0.0023724792408066427,0.1925887423638933,0.6669306210671974,0.05339385385256945,0.3708183708183709
1,Massaging,0.9692058346839547,0.9976275207591934,0.9454365079365079,0.05456349206349208,0.0023724792408066427,0.1925887423638933,0.6669306210671974,0.05339385385256945,0.3708183708183709
2,Pref. Sampling,0.9692058346839547,0.9976275207591934,0.9454365079365079,0.05456349206349208,0.0023724792408066427,0.1925887423638933,0.6669306210671974,0.05339385385256945,0.3708183708183709
3,Reweighing,0.9692058346839547,0.9976275207591934,0.9454365079365079,0.05456349206349208,0.0023724792408066427,0.1904266875357714,0.6700665816687916,0.05339385385256945,0.3708183708183709
4,Corr. Remover,0.9665045921123718,0.9928825622775801,0.9444444444444444,0.055555555555555566,0.0071174377224199285,0.19157954983472134,0.6674600841400984,0.05164560210431769,0.39141939141939147
5,DI Remover,0.9675850891410048,0.99644128113879,0.9434523809523812,0.056547619047619055,0.0035587188612099642,0.19580787964444654,0.6625969869878936,0.05798100981587219,0.3518020441097364
6,Grid Search DP,0.9643435980551054,0.9869513641755636,0.9454365079365079,0.05456349206349208,0.013048635824436536,0.1873991099482555,0.6717045222017599,0.05339385385256945,0.3708183708183709
7,Grid Search EO,0.968665586169638,0.99644128113879,0.9454365079365079,0.05456349206349208,0.0035587188612099642,0.193693714739584,0.6650196450756007,0.05339385385256945,0.3708183708183709
8,Exp. Grad. DP,0.9318206374932467,0.9461447212336891,0.9198412698412699,0.08015873015873018,0.0538552787663108,0.1514987209886349,0.7238656967664647,0.021988050908720087,0.7699066177724715
9,Exp. Grad. EO,0.9681253376553215,0.99644128113879,0.9444444444444444,0.055555555555555566,0.0035587188612099642,0.19280494784670554,0.6666182665972785,0.052453968050298325,0.38529329845119326
10,DI Score,0.9455429497568882,0.9887307236061685,0.9094246031746032,0.09057539682539684,0.011269276393831554,0.19168292198614695,0.6769578045945115,0.06026015269134536,0.5180306235727017
11,Equal. Oppor. DP,0.9041599135602377,0.8472123368920522,0.9517857142857142,0.04821428571428571,0.15278766310794784,0.050920537768796806,0.8837046350503789,0.24262144497438612,0.46642119503493246
12,Equal. Oppor. EO,0.9616963803349542,0.997864768683274,0.9314484126984126,0.06855158730158731,0.0021352313167259784,0.17678763739151765,0.694257577747028,0.028743504202219806,0.6612927612927612
