,algorithm,run_id,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,African-American,938,0.5426439232409381,0.9541577825159915,0.983402489626556,0.9232456140350878,0.07675438596491228,0.016597510373443983
9,Corr. Remover,0,Other,913,0.4085432639649507,0.9737130339539978,0.9833795013850416,0.967391304347826,0.03260869565217391,0.01662049861495845
36,Corr. Remover,1,African-American,943,0.5652173913043478,0.953340402969247,0.9860834990059643,0.9159090909090909,0.08409090909090909,0.013916500994035786
37,Corr. Remover,1,Other,908,0.3898678414096916,0.9647577092511013,0.9735294117647059,0.9595070422535211,0.040492957746478875,0.026470588235294117
64,Corr. Remover,2,African-American,922,0.5737527114967462,0.9577006507592191,0.99,0.919431279620853,0.08056872037914692,0.01
65,Corr. Remover,2,Other,929,0.39289558665231433,0.9698600645855759,0.9912536443148688,0.9573378839590444,0.042662116040955635,0.008746355685131196
92,Corr. Remover,3,African-American,923,0.5482123510292525,0.9674972914409534,0.9857142857142858,0.9468822170900693,0.053117782909930716,0.014285714285714285
93,Corr. Remover,3,Other,928,0.3900862068965517,0.9773706896551724,0.9830028328611898,0.9739130434782609,0.02608695652173913,0.0169971671388102
120,Corr. Remover,4,African-American,945,0.5428571428571428,0.9523809523809523,0.9814814814814815,0.9215686274509803,0.0784313725490196,0.018518518518518517
121,Corr. Remover,4,Other,906,0.4116997792494481,0.9735099337748344,0.988795518207283,0.9635701275045537,0.03642987249544627,0.011204481792717087
148,Corr. Remover,5,African-American,975,0.5364102564102564,0.9620512820512821,0.9821428571428571,0.940552016985138,0.059447983014861996,0.017857142857142856
149,Corr. Remover,5,Other,876,0.4052511415525114,0.9680365296803652,0.9823008849557522,0.9590316573556797,0.040968342644320296,0.017699115044247787
176,Corr. Remover,6,African-American,947,0.5501583949313622,0.9672650475184794,0.9919678714859438,0.9398663697104677,0.060133630289532294,0.008032128514056224
177,Corr. Remover,6,Other,904,0.4004424778761062,0.9745575221238938,0.991304347826087,0.964221824686941,0.03577817531305903,0.008695652173913044
204,Corr. Remover,7,African-American,928,0.5657327586206896,0.9568965517241379,0.9959100204498977,0.9134396355353075,0.08656036446469248,0.00408997955010225
205,Corr. Remover,7,Other,923,0.41386782231852653,0.9653304442036836,0.9943502824858758,0.9472759226713533,0.05272407732864675,0.005649717514124294
232,Corr. Remover,8,African-American,958,0.5386221294363257,0.964509394572025,0.9918367346938776,0.9358974358974359,0.0641025641025641,0.00816326530612245
233,Corr. Remover,8,Other,893,0.4143337066069429,0.9675251959686451,0.9830028328611898,0.9574074074074074,0.04259259259259259,0.0169971671388102
260,Corr. Remover,9,African-American,935,0.5508021390374331,0.960427807486631,0.9838056680161943,0.9342403628117913,0.06575963718820861,0.016194331983805668
261,Corr. Remover,9,Other,916,0.39847161572052403,0.9716157205240175,0.9856733524355301,0.9629629629629629,0.037037037037037035,0.014326647564469915
10,DI Remover,0,African-American,938,0.5490405117270789,0.9626865671641791,0.9979253112033195,0.9254385964912281,0.07456140350877193,0.002074688796680498
11,DI Remover,0,Other,913,0.41073384446878425,0.9802847754654983,0.9944598337950139,0.9710144927536232,0.028985507246376812,0.00554016620498615
38,DI Remover,1,African-American,943,0.5673382820784729,0.9597030752916225,0.9940357852882704,0.9204545454545454,0.07954545454545454,0.005964214711729622
39,DI Remover,1,Other,908,0.3931718061674009,0.9768722466960352,0.9941176470588236,0.9665492957746479,0.03345070422535211,0.0058823529411764705
66,DI Remover,2,African-American,922,0.5813449023861171,0.9609544468546638,1.0,0.9146919431279621,0.08530805687203792,0.0
67,DI Remover,2,Other,929,0.39289558665231433,0.9741657696447793,0.9970845481049563,0.9607508532423208,0.03924914675767918,0.0029154518950437317
94,DI Remover,3,African-American,923,0.5536294691224268,0.9729144095341279,0.9959183673469387,0.9468822170900693,0.053117782909930716,0.004081632653061225
95,DI Remover,3,Other,928,0.39439655172413796,0.9816810344827587,0.9943342776203966,0.9739130434782609,0.02608695652173913,0.0056657223796034
122,DI Remover,4,African-American,945,0.5470899470899471,0.9629629629629629,0.9958847736625515,0.9281045751633987,0.0718954248366013,0.00411522633744856
123,DI Remover,4,Other,906,0.41280353200883,0.9790286975717439,0.9971988795518207,0.9672131147540983,0.03278688524590164,0.0028011204481792717
150,DI Remover,5,African-American,975,0.5446153846153846,0.9702564102564103,0.998015873015873,0.940552016985138,0.059447983014861996,0.001984126984126984
151,DI Remover,5,Other,876,0.4063926940639269,0.978310502283105,0.9970501474926253,0.9664804469273743,0.0335195530726257,0.0029498525073746312
178,DI Remover,6,African-American,947,0.5533262935586061,0.9704329461457233,0.9979919678714859,0.9398663697104677,0.060133630289532294,0.002008032128514056
179,DI Remover,6,Other,904,0.4026548672566372,0.9767699115044248,0.9971014492753624,0.964221824686941,0.03577817531305903,0.002898550724637681
206,DI Remover,7,African-American,928,0.5657327586206896,0.9612068965517241,1.0,0.9179954441913439,0.08200455580865604,0.0
207,DI Remover,7,Other,923,0.41386782231852653,0.9674972914409534,0.9971751412429378,0.9490333919156415,0.050966608084358524,0.002824858757062147
234,DI Remover,8,African-American,958,0.5396659707724426,0.9676409185803758,0.9959183673469387,0.938034188034188,0.06196581196581197,0.004081632653061225
235,DI Remover,8,Other,893,0.41993281075027994,0.973124300111982,0.9971671388101983,0.9574074074074074,0.04259259259259259,0.0028328611898017
262,DI Remover,9,African-American,935,0.5561497326203209,0.9657754010695188,0.9939271255060729,0.9342403628117913,0.06575963718820861,0.006072874493927126
263,DI Remover,9,Other,916,0.4017467248908297,0.9770742358078602,0.997134670487106,0.9647266313932981,0.03527336860670194,0.0028653295128939827
20,DI Score LR,0,African-American,938,0.5597014925373134,0.9349680170575693,0.9813278008298755,0.8859649122807017,0.11403508771929824,0.01867219917012448
21,DI Score LR,0,Other,913,0.42059145673603504,0.9529025191675794,0.9722991689750693,0.9402173913043478,0.059782608695652176,0.027700831024930747
48,DI Score LR,1,African-American,943,0.5800636267232238,0.9342523860021209,0.9821073558648111,0.8795454545454545,0.12045454545454545,0.017892644135188866
49,DI Score LR,1,Other,908,0.4041850220264317,0.948237885462555,0.9705882352941176,0.9348591549295775,0.06514084507042253,0.029411764705882353
76,DI Score LR,2,African-American,922,0.586767895878525,0.9425162689804772,0.988,0.8886255924170616,0.11137440758293839,0.012
77,DI Score LR,2,Other,929,0.4058127018299246,0.9547900968783638,0.9883381924198251,0.9351535836177475,0.06484641638225255,0.011661807580174927
104,DI Score LR,3,African-American,923,0.5666305525460456,0.9404117009750813,0.9775510204081632,0.8983833718244804,0.10161662817551963,0.022448979591836733
105,DI Score LR,3,Other,928,0.39762931034482757,0.9547413793103449,0.9631728045325779,0.9495652173913044,0.050434782608695654,0.036827195467422094
132,DI Score LR,4,African-American,945,0.5481481481481482,0.9428571428571428,0.977366255144033,0.906318082788671,0.09368191721132897,0.02263374485596708
133,DI Score LR,4,Other,906,0.41721854304635764,0.9547461368653422,0.9719887955182073,0.9435336976320583,0.056466302367941715,0.028011204481792718
160,DI Score LR,5,African-American,975,0.5517948717948717,0.9384615384615385,0.9742063492063492,0.9002123142250531,0.09978768577494693,0.025793650793650792
161,DI Score LR,5,Other,876,0.4155251141552511,0.9509132420091324,0.9734513274336283,0.9366852886405959,0.0633147113594041,0.02654867256637168
188,DI Score LR,6,African-American,947,0.5596620908130939,0.9535374868004224,0.9879518072289156,0.9153674832962138,0.08463251670378619,0.012048192771084338
189,DI Score LR,6,Other,904,0.413716814159292,0.952433628318584,0.9797101449275363,0.9355992844364938,0.06440071556350627,0.020289855072463767
216,DI Score LR,7,African-American,928,0.5689655172413793,0.9385775862068966,0.9815950920245399,0.8906605922551253,0.10933940774487472,0.018404907975460124
217,DI Score LR,7,Other,923,0.4182015167930661,0.9458288190682557,0.9745762711864406,0.9279437609841827,0.07205623901581722,0.025423728813559324
244,DI Score LR,8,African-American,958,0.5511482254697286,0.9519832985386222,0.9918367346938776,0.9102564102564102,0.08974358974358974,0.00816326530612245
245,DI Score LR,8,Other,893,0.42889137737961924,0.9529675251959686,0.9830028328611898,0.9333333333333333,0.06666666666666667,0.0169971671388102
272,DI Score LR,9,African-American,935,0.5550802139037433,0.9411764705882353,0.9696356275303644,0.909297052154195,0.09070294784580499,0.030364372469635626
273,DI Score LR,9,Other,916,0.4104803493449782,0.9574235807860262,0.9828080229226361,0.9417989417989417,0.0582010582010582,0.017191977077363897
22,DI Score SVM,0,African-American,938,0.4914712153518124,0.9115138592750534,0.8921161825726142,0.9320175438596491,0.06798245614035088,0.1078838174273859
23,DI Score SVM,0,Other,913,0.45454545454545453,0.940854326396495,1.0,0.9021739130434783,0.09782608695652174,0.0
50,DI Score SVM,1,African-American,943,0.5153764581124072,0.9077412513255567,0.8966202783300199,0.9204545454545454,0.07954545454545454,0.10337972166998012
51,DI Score SVM,1,Other,908,0.42951541850220265,0.933920704845815,0.9852941176470589,0.903169014084507,0.09683098591549295,0.014705882352941176
78,DI Score SVM,2,African-American,922,0.5206073752711496,0.9045553145336226,0.892,0.919431279620853,0.08056872037914692,0.108
79,DI Score SVM,2,Other,929,0.4327233584499462,0.9278794402583423,0.9883381924198251,0.8924914675767918,0.1075085324232082,0.011661807580174927
106,DI Score SVM,3,African-American,923,0.4962080173347779,0.9068255687973997,0.8795918367346939,0.9376443418013857,0.06235565819861432,0.12040816326530612
107,DI Score SVM,3,Other,928,0.42995689655172414,0.9482758620689655,0.9971671388101983,0.9182608695652174,0.0817391304347826,0.0028328611898017
134,DI Score SVM,4,African-American,945,0.47513227513227513,0.8846560846560847,0.8497942386831275,0.9215686274509803,0.0784313725490196,0.15020576131687244
135,DI Score SVM,4,Other,906,0.4602649006622517,0.9183222958057395,0.9803921568627451,0.8779599271402551,0.122040072859745,0.0196078431372549
162,DI Score SVM,5,African-American,975,0.48205128205128206,0.9015384615384615,0.871031746031746,0.9341825902335457,0.06581740976645435,0.12896825396825398
163,DI Score SVM,5,Other,876,0.4509132420091324,0.9337899543378996,0.9970501474926253,0.8938547486033519,0.10614525139664804,0.0029498525073746312
190,DI Score SVM,6,African-American,947,0.4941921858500528,0.9155227032734953,0.8895582329317269,0.9443207126948775,0.0556792873051225,0.11044176706827309
191,DI Score SVM,6,Other,904,0.4391592920353982,0.9336283185840708,0.9884057971014493,0.8998211091234347,0.1001788908765653,0.011594202898550725
218,DI Score SVM,7,African-American,928,0.5053879310344828,0.8922413793103449,0.8773006134969326,0.908883826879271,0.09111617312072894,0.12269938650306748
219,DI Score SVM,7,Other,923,0.4485373781148429,0.9263271939328277,0.9887005649717514,0.8875219683655536,0.11247803163444639,0.011299435028248588
246,DI Score SVM,8,African-American,958,0.49582463465553234,0.9258872651356994,0.9122448979591836,0.9401709401709402,0.05982905982905983,0.08775510204081632
247,DI Score SVM,8,Other,893,0.45128779395296753,0.9372900335946248,0.9915014164305949,0.9018518518518519,0.09814814814814815,0.0084985835694051
274,DI Score SVM,9,African-American,935,0.5112299465240642,0.9208556149732621,0.9089068825910931,0.9342403628117913,0.06575963718820861,0.09109311740890688
275,DI Score SVM,9,Other,916,0.43231441048034935,0.9399563318777293,0.9885386819484241,0.91005291005291,0.08994708994708994,0.011461318051575931
24,Equal. Oppor. DP,0,African-American,938,0.4072494669509595,0.8422174840085288,0.7427385892116183,0.9473684210526315,0.05263157894736842,0.2572614107883817
25,Equal. Oppor. DP,0,Other,913,0.40963855421686746,0.9791894852135816,0.9916897506925207,0.9710144927536232,0.028985507246376812,0.008310249307479225
52,Equal. Oppor. DP,1,African-American,943,0.41251325556733826,0.8366914103923648,0.7335984095427436,0.9545454545454546,0.045454545454545456,0.2664015904572565
53,Equal. Oppor. DP,1,Other,908,0.3909691629955947,0.974669603524229,0.9882352941176471,0.9665492957746479,0.03345070422535211,0.011764705882352941
80,Equal. Oppor. DP,2,African-American,922,0.43383947939262474,0.8394793926247288,0.752,0.943127962085308,0.05687203791469194,0.248
81,Equal. Oppor. DP,2,Other,929,0.39289558665231433,0.9741657696447793,0.9970845481049563,0.9607508532423208,0.03924914675767918,0.0029154518950437317
108,Equal. Oppor. DP,3,African-American,923,0.4160346695557963,0.8483206933911159,0.7489795918367347,0.9607390300230947,0.03926096997690531,0.2510204081632653
