,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.9638033495407887,0.9833926453143536,0.9474206349206349,0.05257936507936508,0.0166073546856465,0.1341006592759874,0.7528754058921883,0.04414569031273837,0.42484472049689437
18,Corr. Remover,1,0.9589411129119395,0.9810201660735468,0.9404761904761905,0.05952380952380952,0.018979833926453145,0.17534954989465618,0.6897661809556083,0.043597951344430216,0.4815378759040731
32,Corr. Remover,2,0.9638033495407887,0.9905100830367735,0.941468253968254,0.05853174603174603,0.009489916963226572,0.1808571248444319,0.6847820999875875,0.037906604338191284,0.5295121461553906
46,Corr. Remover,3,0.9724473257698542,0.9845788849347569,0.9623015873015873,0.037698412698412696,0.01542111506524318,0.15812614413270076,0.7115604129753305,0.027030826388191587,0.4911153119092627
60,Corr. Remover,4,0.9627228525121556,0.9845788849347569,0.9444444444444444,0.05555555555555555,0.01542111506524318,0.1311573636076947,0.7583943301963518,0.04200150005357334,0.46448087431693996
74,Corr. Remover,5,0.9648838465694219,0.9822064056939501,0.9503968253968254,0.0496031746031746,0.017793594306049824,0.131159114857745,0.7554873097776265,0.0184796403705417,0.689146049481245
88,Corr. Remover,6,0.9708265802269044,0.9916963226571768,0.9533730158730159,0.04662698412698413,0.00830367734282325,0.149715917055256,0.7278676133371834,0.024355454976473262,0.5949778042801298
102,Corr. Remover,7,0.9611021069692058,0.9952550415183867,0.9325396825396826,0.06746031746031746,0.004744958481613286,0.15186493630216308,0.7315606459268431,0.03383628713604573,0.6091018407177875
116,Corr. Remover,8,0.965964343598055,0.9881376037959668,0.9474206349206349,0.05257936507936508,0.011862396204033215,0.1242884228293828,0.7692474630415722,0.021509971509971505,0.6644444444444445
130,Corr. Remover,9,0.965964343598055,0.9845788849347569,0.9503968253968254,0.0496031746031746,0.01542111506524318,0.1523305233169091,0.7234387586382329,0.028722600151171576,0.5632183908045977
5,DI Remover,0,0.9713668287412209,0.99644128113879,0.9503968253968254,0.0496031746031746,0.0035587188612099642,0.13830666725829466,0.7480938759450866,0.04557589626239511,0.38874680306905374
19,DI Remover,1,0.9681253376553215,0.9940688018979834,0.9464285714285714,0.05357142857142857,0.005931198102016607,0.17416647591107204,0.6930112396558114,0.046094750320102434,0.42052313883299797
33,DI Remover,2,0.9675850891410048,0.9988137603795967,0.941468253968254,0.05853174603174603,0.0011862396204033216,0.1884493157338028,0.6758390501743168,0.04605891011435874,0.46008722032612814
47,DI Remover,3,0.9773095623987034,0.9952550415183867,0.9623015873015873,0.037698412698412696,0.004744958481613286,0.15923291739828888,0.7123835953843041,0.027030826388191587,0.4911153119092627
61,DI Remover,4,0.9708265802269044,0.99644128113879,0.9494047619047619,0.050595238095238096,0.0035587188612099642,0.13428641508111705,0.7545441735944766,0.03910853959069966,0.4560357675111774
75,DI Remover,5,0.9740680713128039,0.9976275207591934,0.9543650793650794,0.04563492063492063,0.002372479240806643,0.1382226905514577,0.7462012744111652,0.0259284299422363,0.5638467677573823
89,DI Remover,6,0.9735278227984873,0.9976275207591934,0.9533730158730159,0.04662698412698413,0.002372479240806643,0.1506714263019689,0.7276987772748769,0.024355454976473262,0.5949778042801298
103,DI Remover,7,0.9643435980551054,0.9988137603795967,0.935515873015873,0.06448412698412699,0.0011862396204033216,0.15186493630216308,0.7315606459268431,0.031037947724297514,0.6215094708064831
117,DI Remover,8,0.9702863317125878,0.99644128113879,0.9484126984126984,0.051587301587301584,0.0035587188612099642,0.11973316002216267,0.7781346860711184,0.019373219373219376,0.6873563218390805
131,DI Remover,9,0.9713668287412209,0.9952550415183867,0.9513888888888888,0.04861111111111111,0.004744958481613286,0.15440300772949117,0.7223715149479342,0.030486268581506673,0.5363984674329502
10,DI Score LR,0,0.9438141545110751,0.9774614472123369,0.9156746031746031,0.08432539682539683,0.022538552787663108,0.13911003580127834,0.7514567360350494,0.054252479023646064,0.524247491638796
24,DI Score LR,1,0.9411129119394922,0.9774614472123369,0.9107142857142857,0.08928571428571429,0.022538552787663108,0.17587860469679206,0.6967942884294791,0.05531370038412292,0.5407919213393568
38,DI Score LR,2,0.9486763911399244,0.9881376037959668,0.9156746031746031,0.08432539682539683,0.011862396204033215,0.18095519404860033,0.6916068596805739,0.046527991200685834,0.5822380364534165
52,DI Score LR,3,0.9475958941112912,0.9715302491103203,0.9275793650793651,0.07242063492063493,0.028469750889679714,0.16900124220121798,0.7017435056372386,0.05118184556682397,0.49632411067193677
66,DI Score LR,4,0.9486763911399244,0.9750889679715302,0.9265873015873016,0.07341269841269842,0.02491103202846975,0.13092960510179052,0.7611419366386254,0.03721561484338726,0.602744948532215
80,DI Score LR,5,0.9443544030253916,0.9739027283511269,0.9196428571428571,0.08035714285714286,0.02609727164887307,0.13626975763962063,0.7530427254672303,0.03647297441554283,0.6344942351123262
94,DI Score LR,6,0.9529983792544571,0.9845788849347569,0.9265873015873016,0.07341269841269842,0.01542111506524318,0.14594527665380191,0.7392260811487728,0.02023180114027992,0.7609452970530083
108,DI Score LR,7,0.9421934089681253,0.9786476868327402,0.9117063492063492,0.0882936507936508,0.021352313167259787,0.15076400044831323,0.735020847696904,0.0372831687290575,0.6590143526654949
122,DI Score LR,8,0.9524581307401405,0.9881376037959668,0.9226190476190477,0.07738095238095238,0.011862396204033215,0.1222568480901094,0.7781779157759,0.023076923076923078,0.7428571428571429
136,DI Score LR,9,0.949216639654241,0.9750889679715302,0.9275793650793651,0.07242063492063493,0.02491103202846975,0.1445998645587651,0.739497353829585,0.03250188964474679,0.6416666666666666
11,DI Score SVM,0,0.9259859535386278,0.9383155397390273,0.9156746031746031,0.08432539682539683,0.06168446026097272,0.036925760806357844,0.9248668901597318,0.10788381742738584,0.6949317738791423
25,DI Score SVM,1,0.9205834683954619,0.9323843416370107,0.9107142857142857,0.08928571428571429,0.06761565836298933,0.08586103961020453,0.8334013161472781,0.08867383931703898,0.8214876033057852
39,DI Score SVM,2,0.9162614802809292,0.9311981020166074,0.9037698412698413,0.09623015873015874,0.06880189798339265,0.08788401682120345,0.831189451022605,0.09633819241982511,0.749416986383811
53,DI Score SVM,3,0.9276066990815776,0.9288256227758007,0.9265873015873016,0.07341269841269842,0.0711743772241993,0.06625112078305373,0.8664851867188677,0.11757530207550437,0.7628617758341114
67,DI Score SVM,4,0.9011345218800648,0.9051008303677343,0.8978174603174603,0.10218253968253968,0.09489916963226572,0.014867374470023453,0.9687089780085253,0.13059791817961752,0.6426690079016681
81,DI Score SVM,5,0.9168017287952458,0.9217081850533808,0.9126984126984127,0.0873015873015873,0.07829181494661921,0.03113804004214965,0.935405129699796,0.12601840146087928,0.6200692814839647
95,DI Score SVM,6,0.924365207995678,0.930011862396204,0.9196428571428571,0.08035714285714286,0.06998813760379596,0.05503289381465459,0.8886407041827395,0.0988475641697224,0.5557986000636335
109,DI Score SVM,7,0.9092382495948136,0.9240806642941874,0.8968253968253969,0.10317460317460317,0.07591933570581258,0.05685055291963986,0.8875110594681753,0.11139995147481885,0.8100797266514808
123,DI Score SVM,8,0.9313884386817937,0.9454329774614472,0.9196428571428571,0.08035714285714286,0.054567022538552785,0.044536840702564806,0.9101762244356693,0.07925651847141124,0.6095791001451379
137,DI Score SVM,9,0.9303079416531604,0.9418742586002372,0.9206349206349206,0.07936507936507936,0.05812574139976275,0.07891553604371482,0.8456359284500558,0.079631799357331,0.7310924369747899
12,Equal. Oppor. DP,0,0.9097784981091303,0.8493475682087782,0.9603174603174603,0.03968253968253968,0.1506524317912218,0.0023890872659079743,0.9941678163802835,0.24895116148090246,0.5507246376811594
26,Equal. Oppor. DP,1,0.9043760129659644,0.8362989323843416,0.9613095238095238,0.03869047619047619,0.16370106761565836,0.021544092571743556,0.9477735750767244,0.2546368845749035,0.7359154929577464
40,Equal. Oppor. DP,2,0.9070772555375473,0.8517200474495848,0.9533730158730159,0.04662698412698413,0.14827995255041518,0.040943892740310406,0.9056243272335845,0.24508454810495628,0.6901308304891923
54,Equal. Oppor. DP,3,0.9141004862236629,0.8493475682087782,0.9682539682539683,0.031746031746031744,0.1506524317912218,0.023793290245451515,0.9428093570402298,0.23968896340405854,0.6644501278772378
68,Equal. Oppor. DP,4,0.9038357644516477,0.8351126927639383,0.9613095238095238,0.03869047619047619,0.16488730723606168,0.022327341532639544,0.945912910618793,0.2811494968357714,0.7166276346604217
82,Equal. Oppor. DP,5,0.9016747703943814,0.830367734282325,0.9613095238095238,0.03869047619047619,0.16963226571767498,0.011404987706357561,0.9718569880823402,0.2689282202556539,0.7286706349206349
96,Equal. Oppor. DP,6,0.8962722852512156,0.8173190984578885,0.9623015873015873,0.037698412698412696,0.1826809015421115,0.019339133360121885,0.9519709435232138,0.304330364938013,0.6947849537685625
110,Equal. Oppor. DP,7,0.8919502971366828,0.8279952550415184,0.9454365079365079,0.054563492063492064,0.17200474495848161,0.014083339559905872,0.9659714072937353,0.29165366885029975,0.707520116790351
124,Equal. Oppor. DP,8,0.9005942733657483,0.830367734282325,0.9593253968253969,0.040674603174603176,0.16963226571767498,0.037886881731490796,0.9097787056367432,0.28208937966121295,0.7163032734461305
138,Equal. Oppor. DP,9,0.9038357644516477,0.8422301304863582,0.9553571428571429,0.044642857142857144,0.15776986951364175,0.009995796651332212,0.9757873837590787,0.2643411482198995,0.6805555555555556
13,Equal. Oppor. EO,0,0.9616423554835224,0.9916963226571768,0.9365079365079365,0.06349206349206349,0.00830367734282325,0.12086959974030642,0.7785631161007668,0.01620900076277651,0.7760210803689064
27,Equal. Oppor. EO,1,0.9594813614262561,0.9916963226571768,0.9325396825396826,0.06746031746031746,0.00830367734282325,0.16095061688023504,0.7163057351064268,0.02144686299615877,0.7303822937625755
41,Equal. Oppor. EO,2,0.9567801188546732,0.9952550415183867,0.9246031746031746,0.07539682539682539,0.004744958481613286,0.1604131982468962,0.7209415683327579,0.004820212542257743,0.938359706277795
55,Equal. Oppor. EO,3,0.9665045921123717,0.9905100830367735,0.9464285714285714,0.05357142857142857,0.009489916963226572,0.14414087308999884,0.7391332826233942,0.008041856969416727,0.9852491991358117
69,Equal. Oppor. EO,4,0.9627228525121556,0.9940688018979834,0.9365079365079365,0.06349206349206349,0.005931198102016607,0.11782122709275028,0.7838037677618466,0.015429122468659587,0.7853949329359167
83,Equal. Oppor. EO,5,0.9594813614262561,0.9916963226571768,0.9325396825396826,0.06746031746031746,0.00830367734282325,0.11014752370916747,0.7962166307088457,0.019025252345538438,0.7508155973279478
97,Equal. Oppor. EO,6,0.9605618584548893,0.99644128113879,0.9305555555555556,0.06944444444444445,0.0035587188612099642,0.12417298221678147,0.7751590551447571,0.020805526891402484,0.7356752379024094
