,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,African-American,946.0,0.5813953488372093,0.9429175475687102,0.9862745098039216,0.8922018348623852,0.10779816513761467,0.013725490196078435
1,Unmitigated-LR,Other,905.0,0.3679558011049724,0.9558011049723756,0.93993993993994,0.965034965034965,0.03496503496503496,0.06006006006006005
2,Massaging,African-American,946.0,0.5813953488372093,0.9429175475687102,0.9862745098039216,0.8922018348623852,0.10779816513761467,0.013725490196078435
3,Massaging,Other,905.0,0.3679558011049724,0.9558011049723756,0.93993993993994,0.965034965034965,0.03496503496503496,0.06006006006006005
4,Pref. Sampling,African-American,946.0,0.5739957716701901,0.9545454545454548,0.9901960784313726,0.9128440366972477,0.08715596330275231,0.009803921568627449
5,Pref. Sampling,Other,905.0,0.38121546961325964,0.9712707182320444,0.9789789789789791,0.9667832167832169,0.03321678321678322,0.021021021021021023
6,Reweighing,African-American,946.0,0.577167019027484,0.938689217758985,0.9784313725490195,0.8922018348623852,0.10779816513761467,0.021568627450980395
7,Reweighing,Other,905.0,0.3679558011049724,0.9558011049723756,0.93993993993994,0.965034965034965,0.03496503496503496,0.06006006006006005
8,Corr. Remover,African-American,946.0,0.879492600422833,0.5687103594080337,0.915686274509804,0.1628440366972477,0.8371559633027523,0.0843137254901961
9,Corr. Remover,Other,905.0,0.8154696132596684,0.47513812154696133,0.8948948948948949,0.23076923076923078,0.7692307692307693,0.1051051051051051
10,DI Remover,African-American,946.0,0.5697674418604651,0.9482029598308668,0.980392156862745,0.9105504587155961,0.08944954128440366,0.019607843137254898
11,DI Remover,Other,905.0,0.37348066298342536,0.9679558011049723,0.9639639639639641,0.9702797202797202,0.02972027972027972,0.03603603603603604
12,Grid Search DP,African-American,946.0,0.562367864693446,0.9281183932346723,0.9549019607843137,0.8967889908256879,0.10321100917431195,0.045098039215686274
13,Grid Search DP,Other,905.0,0.36574585635359114,0.9558011049723756,0.9369369369369369,0.9667832167832169,0.03321678321678322,0.06306306306306307
14,Grid Search EO,African-American,946.0,0.5813953488372093,0.9429175475687102,0.9862745098039216,0.8922018348623852,0.10779816513761467,0.013725490196078435
15,Grid Search EO,Other,905.0,0.3679558011049724,0.9558011049723756,0.93993993993994,0.965034965034965,0.03496503496503496,0.06006006006006005
16,Exp. Grad. DP,African-American,946.0,0.7112050739957717,0.7684989429175476,0.9449019607843138,0.5621559633027522,0.43784403669724775,0.055098039215686276
17,Exp. Grad. DP,Other,905.0,0.6148066298342542,0.7034254143646409,0.9324324324324322,0.570104895104895,0.4298951048951049,0.06756756756756757
18,Exp. Grad. EO,African-American,946.0,0.5701902748414376,0.9334038054968286,0.9670588235294117,0.8940366972477065,0.10596330275229357,0.03294117647058824
19,Exp. Grad. EO,Other,905.0,0.35933701657458567,0.9469613259668508,0.9162162162162163,0.9648601398601399,0.03513986013986013,0.08378378378378377
20,DI Score,,946.0,0.5274841437632134,0.8953488372093024,0.8921568627450982,0.8990825688073395,0.10091743119266058,0.107843137254902
21,DI Score,,905.0,0.42762430939226526,0.9403314917127071,1.0,0.9055944055944056,0.09440559440559439,0.0
22,Equal. Oppor. DP,,946.0,0.4382663847780126,0.8257928118393234,0.7449019607843137,0.9204128440366972,0.07958715596330276,0.25509803921568625
23,Equal. Oppor. DP,,905.0,0.3679558011049724,0.9558011049723756,0.93993993993994,0.965034965034965,0.03496503496503496,0.06006006006006005
24,Equal. Oppor. EO,,946.0,0.5736786469344609,0.9364693446088795,0.9731372549019607,0.8935779816513761,0.10642201834862386,0.02686274509803922
25,Equal. Oppor. EO,,905.0,0.38044198895027626,0.9446408839779006,0.9417417417417416,0.9463286713286714,0.053671328671328664,0.058258258258258255
