,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-NB,0.9492166396542407,0.9679715302491105,0.9335317460317463,0.06646825396825397,0.03202846975088968,0.213439547732237,0.6328839779005524,0.07283313017257974,0.3243564945692605
1,Massaging,0.9492166396542407,0.9679715302491105,0.9335317460317463,0.06646825396825397,0.03202846975088968,0.213439547732237,0.6328839779005524,0.07283313017257974,0.3243564945692605
2,Pref. Sampling,0.9627228525121556,0.98576512455516,0.9434523809523812,0.056547619047619055,0.014234875444839857,0.19278030205693053,0.6641433411678522,0.05393918008596908,0.38111888111888115
3,Reweighing,0.9470556455969745,0.9632265717674968,0.9335317460317463,0.06646825396825397,0.036773428232502965,0.2092112179225118,0.6375204905591645,0.07283313017257974,0.3243564945692605
4,Corr. Remover,0.522960561858455,0.9074733096085408,0.2013888888888889,0.798611111111111,0.09252669039145908,0.06402298716316446,0.9272046323841904,0.06792519407198305,0.9188619599578504
5,DI Remover,0.9578606158833061,0.973902728351127,0.9444444444444444,0.055555555555555566,0.02609727164887307,0.1962867788770397,0.6554966738076445,0.05972926156412396,0.33225748610363987
6,Grid Search DP,0.9416531604538088,0.9478054567022538,0.9365079365079365,0.06349206349206349,0.05219454329774614,0.19662200833985502,0.6503676317866488,0.0699942259575287,0.3218337218337219
7,Grid Search EO,0.9492166396542407,0.9679715302491105,0.9335317460317463,0.06646825396825397,0.03202846975088968,0.213439547732237,0.6328839779005524,0.07283313017257974,0.3243564945692605
8,Exp. Grad. DP,0.7366828741220962,0.9399762752075919,0.5666666666666665,0.4333333333333334,0.06002372479240807,0.09639844416151752,0.8647526532874581,0.030862577732518364,0.9355255892151755
9,Exp. Grad. EO,0.940032414910859,0.9469750889679716,0.9342261904761904,0.06577380952380951,0.053024911032028464,0.21085325826685195,0.6302305962915062,0.07082344261243344,0.33166665947887036
10,DI Score,0.9173419773095624,0.9347568208778172,0.9027777777777779,0.09722222222222222,0.06524317912218268,0.0998598343709483,0.8106865665031722,0.10784313725490191,0.8921568627450982
11,Equal. Oppor. DP,0.8893571042679632,0.8219454329774614,0.9457341269841271,0.054265873015873024,0.17805456702253858,0.0703105836730403,0.840045392175228,0.19503797915562626,0.4401467462296339
12,Equal. Oppor. EO,0.9404646137223122,0.9607354685646502,0.9235119047619047,0.07648809523809523,0.039264531435349935,0.1932366579841846,0.6631739008709806,0.05275068967729518,0.504285816968518
