,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Female,341.0,0.37829912023460416,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363637,0.0
1,Unmitigated-LR,Male,1510.0,0.5079470198675498,0.9675496688741723,0.997229916897507,0.9403553299492385,0.05964467005076142,0.0027700831024930752
2,Massaging,Female,341.0,0.4428152492668621,0.9061583577712609,0.9917355371900827,0.8590909090909091,0.1409090909090909,0.008264462809917356
3,Massaging,Male,1510.0,0.47483443708609274,0.9397350993377482,0.9335180055401662,0.945431472081218,0.05456852791878174,0.06648199445983381
4,Pref. Sampling,Female,341.0,0.372434017595308,0.9706744868035191,0.9834710743801656,0.9636363636363636,0.03636363636363637,0.01652892561983471
5,Pref. Sampling,Male,1510.0,0.4788079470198675,0.9450331125827814,0.943213296398892,0.9467005076142134,0.05329949238578681,0.05678670360110803
6,Reweighing,Female,341.0,0.37829912023460416,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363637,0.0
7,Reweighing,Male,1510.0,0.5066225165562913,0.9662251655629139,0.9944598337950141,0.9403553299492385,0.05964467005076142,0.0055401662049861505
8,Corr. Remover,Female,341.0,0.372434017595308,0.9706744868035191,0.9834710743801656,0.9636363636363636,0.03636363636363637,0.01652892561983471
9,Corr. Remover,Male,1510.0,0.5072847682119204,0.9655629139072845,0.9944598337950141,0.9390862944162437,0.06091370558375635,0.0055401662049861505
10,DI Remover,Female,341.0,0.37829912023460416,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363637,0.0
11,DI Remover,Male,1510.0,0.5105960264900663,0.9675496688741723,1.0,0.9378172588832487,0.062182741116751275,0.0
12,Grid Search DP,Female,341.0,0.38123167155425225,0.9560117302052789,0.975206611570248,0.9454545454545455,0.05454545454545455,0.024793388429752067
13,Grid Search DP,Male,1510.0,0.5112582781456955,0.9443708609271523,0.976454293628809,0.9149746192893401,0.0850253807106599,0.023545706371191136
14,Grid Search EO,Female,341.0,0.372434017595308,0.9706744868035191,0.9834710743801656,0.9636363636363636,0.03636363636363637,0.01652892561983471
15,Grid Search EO,Male,1510.0,0.5046357615894038,0.9642384105960264,0.990304709141274,0.9403553299492385,0.05964467005076142,0.009695290858725763
16,Exp. Grad. DP,Female,341.0,0.450733137829912,0.8806451612903226,0.9669421487603305,0.8331818181818182,0.16681818181818184,0.03305785123966942
17,Exp. Grad. DP,Male,1510.0,0.510066225165563,0.9041059602649005,0.9331024930747922,0.8775380710659897,0.12246192893401013,0.06689750692520777
18,Exp. Grad. EO,Female,341.0,0.3756598240469209,0.9697947214076248,0.9867768595041324,0.9604545454545456,0.03954545454545454,0.013223140495867768
19,Exp. Grad. EO,Male,1510.0,0.5087417218543047,0.9602649006622517,0.9904432132963988,0.9326142131979696,0.06738578680203046,0.009556786703601109
20,DI Score,,341.0,0.4046920821114369,0.9413489736070382,0.9876033057851241,0.9159090909090908,0.08409090909090909,0.012396694214876033
21,DI Score,,1510.0,0.522913907284768,0.9446357615894041,0.9889196675900278,0.9040609137055837,0.09593908629441625,0.0110803324099723
22,Equal. Oppor. DP,,341.0,0.512316715542522,0.8425219941348974,1.0,0.7559090909090909,0.24409090909090908,0.0
23,Equal. Oppor. DP,,1510.0,0.5078807947019868,0.9674834437086093,0.9970914127423823,0.9403553299492385,0.05964467005076142,0.002908587257617729
24,Equal. Oppor. EO,,341.0,0.3956011730205279,0.9580645161290324,0.9983471074380166,0.9359090909090908,0.06409090909090909,0.001652892561983471
25,Equal. Oppor. EO,,1510.0,0.5081456953642384,0.9673509933774834,0.997229916897507,0.9399746192893401,0.060025380710659895,0.0027700831024930752
