,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9692058346839547,0.9976275207591934,0.9454365079365079,0.05456349206349208,0.0023724792408066427,0.12964789963294554,0.744760979862128,0.023281033687125058,0.6096711798839457
1,Massaging,0.9335494327390601,0.9418742586002372,0.9265873015873016,0.0734126984126984,0.05812574139976275,0.03201918781923058,0.9325676797670319,0.08634056299030916,0.3872605207139349
2,Pref. Sampling,0.9497568881685575,0.9489916963226575,0.9503968253968254,0.0496031746031746,0.051008303677342826,0.10637392942455962,0.7778359150330774,0.04025777798127339,0.6822510822510822
3,Reweighing,0.9681253376553214,0.995255041518387,0.9454365079365079,0.05456349206349208,0.004744958481613285,0.12832339632168735,0.7467080673911795,0.023281033687125058,0.6096711798839457
4,Corr. Remover,0.9665045921123718,0.9928825622775801,0.9444444444444444,0.055555555555555566,0.0071174377224199285,0.13485075061661256,0.7341714968262599,0.024550069220119985,0.5969696969696968
5,DI Remover,0.9692058346839547,1.0,0.9434523809523812,0.056547619047619055,0.0,0.13229690625546206,0.7408971096682908,0.025819104753114906,0.584786641929499
6,Grid Search DP,0.9465153970826579,0.9762752075919335,0.921626984126984,0.07837301587301586,0.023724792408066433,0.1300266065914432,0.7456733472110372,0.03047992616520536,0.6415196743554951
7,Grid Search EO,0.9654240950837385,0.98932384341637,0.9454365079365079,0.05456349206349208,0.010676156583629892,0.13220174399409598,0.7380254154447704,0.023281033687125058,0.6096711798839457
8,Exp. Grad. DP,0.8997839005942734,0.9379596678529063,0.8678571428571429,0.13214285714285715,0.06204033214709372,0.0593330873356509,0.8836804371262168,0.044356252884171665,0.7347271921744272
9,Exp. Grad. EO,0.9620205294435438,0.9899169632265717,0.9386904761904761,0.061309523809523814,0.010083036773428231,0.13308189780738383,0.7384145738661803,0.027840332256575916,0.5881850009764449
10,DI Score,0.9440302539168017,0.9887307236061685,0.9066468253968253,0.0933531746031746,0.011269276393831552,0.11822182517333124,0.7739195410663383,0.012243187428189858,0.8769563730814628
11,Equal. Oppor. DP,0.9444624527282549,0.9975088967971532,0.9000992063492064,0.09990079365079364,0.0024911032028469746,0.014766658250956466,0.9716868467427198,0.1844462390401477,0.24723641719525608
12,Equal. Oppor. EO,0.9656401944894653,0.9973902728351127,0.9390873015873018,0.060912698412698404,0.002609727164887307,0.11254452234371055,0.7785207412928333,0.008509587913387281,0.8791350761717431
