,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
9,Corr. Remover,0,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
34,Corr. Remover,1,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
35,Corr. Remover,1,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
60,Corr. Remover,2,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
61,Corr. Remover,2,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
86,Corr. Remover,3,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
87,Corr. Remover,3,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
112,Corr. Remover,4,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
113,Corr. Remover,4,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
138,Corr. Remover,5,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
139,Corr. Remover,5,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
164,Corr. Remover,6,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
165,Corr. Remover,6,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
190,Corr. Remover,7,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
191,Corr. Remover,7,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
216,Corr. Remover,8,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
217,Corr. Remover,8,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
242,Corr. Remover,9,Female,341,0.3724340175953079,0.9706744868035191,0.9834710743801653,0.9636363636363636,0.03636363636363636,0.01652892561983471
243,Corr. Remover,9,Male,1510,0.5072847682119205,0.9655629139072848,0.9944598337950139,0.9390862944162437,0.06091370558375635,0.00554016620498615
10,DI Remover,0,Female,341,0.3782991202346041,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363636,0.0
11,DI Remover,0,Male,1510,0.5105960264900662,0.9675496688741722,1.0,0.9378172588832487,0.06218274111675127,0.0
36,DI Remover,1,Female,341,0.3782991202346041,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363636,0.0
