,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Female,341.0,0.3607038123167156,0.9530791788856305,0.9421487603305785,0.9590909090909092,0.0409090909090909,0.0578512396694215
1,Unmitigated-LR,Male,1510.0,0.5033112582781457,0.9483443708609272,0.9722991689750693,0.9263959390862944,0.0736040609137056,0.027700831024930754
2,Massaging,Female,341.0,0.9442815249266865,0.3636363636363637,0.9338842975206612,0.049999999999999996,0.95,0.06611570247933884
3,Massaging,Male,1510.0,0.9529801324503311,0.49205298013245036,0.9653739612188368,0.05837563451776649,0.9416243654822336,0.03462603878116344
4,Pref. Sampling,Female,341.0,0.3636363636363637,0.9560117302052789,0.9504132231404958,0.9590909090909092,0.0409090909090909,0.049586776859504134
5,Pref. Sampling,Male,1510.0,0.49403973509933774,0.9390728476821193,0.9529085872576177,0.9263959390862944,0.0736040609137056,0.04709141274238227
6,Reweighing,Female,341.0,0.3577712609970675,0.9501466275659822,0.9338842975206612,0.9590909090909092,0.0409090909090909,0.06611570247933884
7,Reweighing,Male,1510.0,0.5,0.9450331125827814,0.9653739612188368,0.9263959390862944,0.0736040609137056,0.03462603878116344
8,Corr. Remover,Female,341.0,0.8387096774193548,0.43401759530791784,0.8842975206611572,0.18636363636363634,0.8136363636363637,0.115702479338843
9,Corr. Remover,Male,1510.0,0.8503311258278146,0.5430463576158939,0.9113573407202218,0.20558375634517767,0.7944162436548224,0.08864265927977841
10,DI Remover,Female,341.0,0.3607038123167156,0.9589442815249267,0.9504132231404958,0.9636363636363636,0.03636363636363637,0.049586776859504134
11,DI Remover,Male,1510.0,0.5,0.9582781456953644,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
12,Grid Search DP,Female,341.0,0.3607038123167156,0.9530791788856305,0.9421487603305785,0.9590909090909092,0.0409090909090909,0.0578512396694215
13,Grid Search DP,Male,1510.0,0.5,0.9450331125827814,0.9653739612188368,0.9263959390862944,0.0736040609137056,0.03462603878116344
14,Grid Search EO,Female,341.0,0.3695014662756599,0.9560117302052789,0.9586776859504132,0.9545454545454548,0.04545454545454546,0.04132231404958677
15,Grid Search EO,Male,1510.0,0.5052980132450332,0.9503311258278144,0.976454293628809,0.9263959390862944,0.0736040609137056,0.023545706371191136
16,Exp. Grad. DP,Female,341.0,0.6454545454545455,0.6636363636363637,0.9355371900826448,0.514090909090909,0.48590909090909085,0.06446280991735537
17,Exp. Grad. DP,Male,1510.0,0.7072185430463576,0.7171523178807947,0.9437673130193905,0.5095177664974619,0.490482233502538,0.05623268698060942
18,Exp. Grad. EO,Female,341.0,0.38123167155425225,0.9231671554252199,0.9289256198347109,0.9199999999999999,0.07999999999999999,0.07107438016528925
19,Exp. Grad. EO,Male,1510.0,0.5194701986754966,0.919205298013245,0.9587257617728531,0.8829949238578679,0.11700507614213199,0.04127423822714681
20,DI Score,,341.0,0.4750733137829911,0.8563049853372433,0.9669421487603305,0.7954545454545453,0.20454545454545453,0.03305785123966942
21,DI Score,,1510.0,0.4682119205298013,0.8602649006622516,0.8434903047091413,0.8756345177664977,0.12436548223350255,0.1565096952908587
22,Equal. Oppor. DP,,341.0,0.5035190615835777,0.8190615835777126,0.9545454545454545,0.7445454545454546,0.2554545454545455,0.045454545454545456
23,Equal. Oppor. DP,,1510.0,0.5034437086092715,0.9482119205298012,0.9722991689750693,0.9261421319796954,0.07385786802030456,0.027700831024930754
24,Equal. Oppor. EO,,341.0,0.38328445747800594,0.9322580645161291,0.9446280991735538,0.9254545454545454,0.07454545454545454,0.05537190082644629
25,Equal. Oppor. EO,,1510.0,0.5039072847682119,0.9478807947019868,0.9724376731301939,0.9253807106598984,0.07461928934010154,0.027562326869806097
