,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-NB,0.9492166396542407,0.9679715302491105,0.9335317460317463,0.06646825396825397,0.03202846975088968,0.14260744596143016,0.7166615218397901,0.03269497000461468,0.5557993730407523
1,Massaging,0.4683954619124798,0.9608540925266904,0.056547619047619055,0.9434523809523812,0.0391459074733096,0.008698607523644819,0.9908722047528118,0.03148966369817541,0.9673808648635831
2,Pref. Sampling,0.9421934089681253,0.9525504151838671,0.9335317460317463,0.06646825396825397,0.047449584816132866,0.13040337146297407,0.7360467950280283,0.03269497000461468,0.5557993730407523
3,Reweighing,0.9459751485683412,0.9608540925266904,0.9335317460317463,0.06646825396825397,0.0391459074733096,0.1422287390029325,0.715542521994135,0.03269497000461468,0.5557993730407523
4,Corr. Remover,0.522960561858455,0.9074733096085408,0.2013888888888889,0.798611111111111,0.09252669039145908,0.01162144840845969,0.986333031856095,0.027059820059064488,0.9703082217588987
5,DI Remover,0.958400864397623,0.9750889679715302,0.9444444444444444,0.055555555555555566,0.02491103202846975,0.13929618768328442,0.7214076246334312,0.028811153590805993,0.5969696969696968
6,Grid Search DP,0.9465153970826579,0.9620403321470936,0.9335317460317463,0.06646825396825397,0.03795966785290628,0.13929618768328442,0.7214076246334312,0.03269497000461468,0.5557993730407523
7,Grid Search EO,0.9513776337115074,0.973902728351127,0.9325396825396826,0.06746031746031746,0.02609727164887307,0.1357965469693733,0.7312545400737173,0.02814951545916012,0.6175548589341693
8,Exp. Grad. DP,0.707293354943274,0.9425860023724792,0.510515873015873,0.48948412698412697,0.057413997627520766,0.06176399759181217,0.9130401604754697,0.03244500884760147,0.9388499013706764
9,Exp. Grad. EO,0.9199351701782819,0.9544483985765126,0.8910714285714285,0.10892857142857142,0.045551601423487555,0.13823852712124451,0.7339444915749198,0.041020965102670406,0.6869999368680508
10,DI Score,0.859535386277688,0.8612099644128113,0.8581349206349207,0.14186507936507933,0.13879003558718858,0.006861393253189907,0.9855571907448286,0.12345184405118922,0.608009024252679
11,Equal. Oppor. DP,0.9244192328471097,0.9697508896797153,0.8865079365079366,0.11349206349206349,0.0302491103202847,0.014218018682876605,0.9721410402911829,0.18159667743424088,0.29264230438760264
12,Equal. Oppor. EO,0.9450027012425716,0.9684460260972718,0.9253968253968254,0.0746031746031746,0.031553973902728356,0.12062282729020606,0.7606166642878028,0.027809573956640223,0.8654186323924217
