,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
9,Corr. Remover,0,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
34,Corr. Remover,1,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
35,Corr. Remover,1,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
60,Corr. Remover,2,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
61,Corr. Remover,2,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
86,Corr. Remover,3,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
87,Corr. Remover,3,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
112,Corr. Remover,4,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
113,Corr. Remover,4,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
138,Corr. Remover,5,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
139,Corr. Remover,5,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
164,Corr. Remover,6,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
165,Corr. Remover,6,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
190,Corr. Remover,7,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
191,Corr. Remover,7,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
216,Corr. Remover,8,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
217,Corr. Remover,8,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
242,Corr. Remover,9,Female,341,0.8387096774193549,0.4340175953079179,0.8842975206611571,0.18636363636363637,0.8136363636363636,0.11570247933884298
243,Corr. Remover,9,Male,1510,0.8503311258278146,0.543046357615894,0.9113573407202216,0.20558375634517767,0.7944162436548223,0.0886426592797784
10,DI Remover,0,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
11,DI Remover,0,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
36,DI Remover,1,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
37,DI Remover,1,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
62,DI Remover,2,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
63,DI Remover,2,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
88,DI Remover,3,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
89,DI Remover,3,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
114,DI Remover,4,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
115,DI Remover,4,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
140,DI Remover,5,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
141,DI Remover,5,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
166,DI Remover,6,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
167,DI Remover,6,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
192,DI Remover,7,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
193,DI Remover,7,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
218,DI Remover,8,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
219,DI Remover,8,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
244,DI Remover,9,Female,341,0.36070381231671556,0.9589442815249267,0.9504132231404959,0.9636363636363636,0.03636363636363636,0.049586776859504134
245,DI Remover,9,Male,1510,0.5,0.9582781456953643,0.9792243767313019,0.9390862944162437,0.06091370558375635,0.02077562326869806
20,DI Score,0,Female,341,0.4750733137829912,0.8563049853372434,0.9669421487603306,0.7954545454545454,0.20454545454545456,0.03305785123966942
21,DI Score,0,Male,1510,0.4682119205298013,0.8602649006622517,0.8434903047091413,0.8756345177664975,0.12436548223350254,0.15650969529085873
46,DI Score,1,Female,341,0.4750733137829912,0.8563049853372434,0.9669421487603306,0.7954545454545454,0.20454545454545456,0.03305785123966942
47,DI Score,1,Male,1510,0.4682119205298013,0.8602649006622517,0.8434903047091413,0.8756345177664975,0.12436548223350254,0.15650969529085873
72,DI Score,2,Female,341,0.4750733137829912,0.8563049853372434,0.9669421487603306,0.7954545454545454,0.20454545454545456,0.03305785123966942
