,algorithm,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,aged,255.6,0.7745010969869438,0.773503939801929,0.8816354289992907,0.4975672375411045,0.5024327624588956,0.11836457100070925
1,Unmitigated-LR,young,44.4,0.5982559515447331,0.6637016619078543,0.7231037844144073,0.5823354769062469,0.4176645230937532,0.27689621558559263
2,Massaging,aged,255.6,0.7342173991662594,0.7583537044583727,0.8430487325453914,0.5421043947078399,0.45789560529216,0.1569512674546086
3,Massaging,young,44.4,0.7410880121267492,0.6669618130342826,0.8432575617127898,0.40801710424825915,0.5919828957517408,0.15674243828721027
4,Pref. Sampling,aged,255.6,0.6411140243993148,0.7277443212496938,0.756918371647741,0.6531975697385736,0.34680243026142643,0.24308162835225894
5,Pref. Sampling,young,44.4,0.7954011567234222,0.6596546006419002,0.8836115614805825,0.33050910257314214,0.6694908974268577,0.11638843851941738
6,Reweighing,aged,255.6,0.7615336616932422,0.7699781598069781,0.8701189692980964,0.514349781048885,0.48565021895111504,0.12988103070190346
7,Reweighing,young,44.4,0.7188960099054434,0.6719093323808532,0.8301752302408587,0.44484776786381985,0.5551522321361803,0.16982476975914126
8,Corr. Remover,aged,255.6,0.7564532397932647,0.7703720750300749,0.8668275990871838,0.5239731807909994,0.4760268192090006,0.1331724009128163
9,Corr. Remover,young,44.4,0.7701026530495011,0.6674371282284165,0.8697199301131449,0.37416499475457615,0.6258350052454238,0.1302800698868552
10,DI Remover,aged,255.6,0.873234939123843,0.7723530846895715,0.9496984527302468,0.32203672742744976,0.6779632725725502,0.05030154726975324
11,DI Remover,young,44.4,0.7627009599814764,0.6679831893101917,0.8621757812646299,0.3816010961974416,0.6183989038025585,0.13782421873537004
12,Grid Search DP,aged,255.6,0.7803905325010241,0.762995412662341,0.8783685220748264,0.46883780149699084,0.5311621985030092,0.12163147792517366
13,Grid Search DP,young,44.4,0.7467983060290989,0.6688639480141485,0.8516685098107513,0.4039945478572817,0.5960054521427184,0.14833149018924882
14,Grid Search EO,aged,255.6,0.7666142523696459,0.7712111183271759,0.8745225828592418,0.5076125757757592,0.4923874242242407,0.12547741714075822
15,Grid Search EO,young,44.4,0.652027801216673,0.6594481578282805,0.7635242389598619,0.5096078858698323,0.49039211413016764,0.2364757610401381
16,Exp. Grad. DP,aged,255.6,0.7753326737205923,0.7627023683963149,0.874652798030659,0.477169305543865,0.522830694456135,0.1253472019693409
17,Exp. Grad. DP,young,44.4,0.723789638794089,0.6619306694786024,0.8257305821470171,0.4262115486927036,0.5737884513072965,0.17426941785298292
18,Exp. Grad. EO,aged,255.6,0.7713157850936396,0.7688339414153005,0.8761562672260066,0.4952907403663687,0.5047092596336313,0.12384373277399341
19,Exp. Grad. EO,young,44.4,0.6774424310488454,0.6600293360878708,0.7855140349546634,0.4795286730252742,0.5204713269747259,0.21448596504533657
20,DI Score LR,,255.6,0.7521566451959666,0.7691987498967805,0.8630151445355582,0.5295921433224067,0.4704078566775932,0.1369848554644418
21,DI Score LR,,44.4,0.7903341365536435,0.6648127528402996,0.8837366050194193,0.34561236317562877,0.6543876368243712,0.11626339498058073
22,DI Score SVM,,255.6,0.652152274842892,0.7481749310263478,0.7788231400166219,0.6697613584450268,0.3302386415549733,0.2211768599833781
23,DI Score SVM,,44.4,0.6810396371834269,0.6833415104995664,0.8070847719875806,0.5058251660694789,0.4941748339305211,0.19291522801241934
24,Equal. Oppor. DP,,255.6,0.7745010969869438,0.773503939801929,0.8816354289992907,0.4975672375411045,0.5024327624588956,0.11836457100070925
25,Equal. Oppor. DP,,44.4,0.7703997883384794,0.6338624689011934,0.8412131090287375,0.32886333747839336,0.6711366625216066,0.1587868909712625
26,Equal. Oppor. EO,,255.6,0.8054367901719974,0.7183037357901164,0.8650831640707247,0.34696313334787937,0.6530368666521207,0.13491683592927523
27,Equal. Oppor. EO,,44.4,0.773714791820127,0.6251093501478409,0.8348153082549633,0.30350377755984165,0.6964962224401583,0.16518469174503658
