,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7573333333333333,0.8614285714285715,0.5144444444444445,0.4855555555555555,0.1385714285714286,0.17624514544221065,0.7741554568935793,0.18072692336042134,0.7373326716464048
1,Massaging,0.7446666666666666,0.8428571428571427,0.5155555555555555,0.4844444444444445,0.15714285714285714,0.05141531146892582,0.9339224395878407,0.1674782692131703,0.7315706020181924
2,Pref. Sampling,0.7173333333333333,0.7723809523809523,0.5888888888888888,0.4111111111111111,0.2276190476190476,0.15428713232410746,0.8097338884342765,0.3226884671654314,0.5291049174025901
3,Reweighing,0.7553333333333334,0.8647619047619048,0.5,0.5,0.13523809523809524,0.061809709190436046,0.9210768626963821,0.13744914436453723,0.7819758145022949
4,Corr. Remover,0.755,0.8666666666666668,0.49444444444444446,0.5055555555555555,0.13333333333333336,0.04085777862087821,0.9488392904965876,0.15249587372411097,0.7772170742577917
5,DI Remover,0.757,0.9380952380952381,0.3344444444444445,0.6655555555555556,0.06190476190476191,0.11380686724497595,0.8670027767126598,0.12362697211367331,0.849112567992106
6,Grid Search DP,0.749,0.8742857142857143,0.4566666666666667,0.5433333333333332,0.12571428571428572,0.0641119767645171,0.9206109291574516,0.15036500023437976,0.7866775867110986
7,Grid Search EO,0.7546666666666666,0.86,0.5088888888888888,0.49111111111111116,0.13999999999999999,0.1145864511529729,0.8516025149156553,0.12773659104931726,0.8109768608349046
8,Exp. Grad. DP,0.7476666666666667,0.8680952380952383,0.4666666666666667,0.5333333333333332,0.1319047619047619,0.06507741226206384,0.9177776148853901,0.12239277592975126,0.8140924729370237
9,Exp. Grad. EO,0.7529999999999999,0.8647619047619047,0.4922222222222222,0.5077777777777778,0.13523809523809524,0.09917459804837192,0.8726031884193958,0.13644499062995924,0.8019545399045273
10,DI Score LR,0.7536666666666667,0.8652380952380954,0.49333333333333335,0.5066666666666666,0.13476190476190478,0.06686705240937031,0.9192718860924428,0.19334876570921092,0.7258175376885132
11,DI Score SVM,0.7386666666666667,0.7823809523809524,0.6366666666666665,0.3633333333333334,0.21761904761904766,0.037532545792703674,0.9460260508049805,0.17230298774234323,0.670070714319883
12,Equal. Oppor. DP,0.7526666666666666,0.8761904761904764,0.46444444444444455,0.5355555555555555,0.12380952380952379,0.05844256775550335,0.9288028699702149,0.18156104291985398,0.7414238074944163
13,Equal. Oppor. EO,0.7043333333333334,0.8609523809523809,0.3388888888888889,0.6611111111111112,0.13904761904761903,0.035341580290156396,0.9482541987999211,0.08590856174396544,0.8666835283961636
