,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,aged,251,0.7091633466135459,0.749003984063745,0.8212290502793296,0.5694444444444444,0.4305555555555556,0.1787709497206704
9,Corr. Remover,0,young,49,0.7959183673469388,0.7551020408163265,0.9354838709677419,0.4444444444444444,0.5555555555555556,0.06451612903225806
36,Corr. Remover,1,aged,248,0.7701612903225806,0.7903225806451613,0.8839779005524862,0.5373134328358209,0.4626865671641791,0.11602209944751381
37,Corr. Remover,1,young,52,0.8076923076923077,0.5961538461538461,0.8620689655172413,0.2608695652173913,0.7391304347826086,0.13793103448275862
64,Corr. Remover,2,aged,266,0.7781954887218046,0.7781954887218046,0.8894736842105263,0.5,0.5,0.11052631578947368
65,Corr. Remover,2,young,34,0.8823529411764706,0.6470588235294118,0.95,0.21428571428571427,0.7857142857142857,0.05
92,Corr. Remover,3,aged,254,0.7362204724409449,0.7755905511811023,0.8611111111111112,0.5675675675675675,0.43243243243243246,0.1388888888888889
93,Corr. Remover,3,young,46,0.6739130434782609,0.6739130434782609,0.7666666666666667,0.5,0.5,0.23333333333333334
120,Corr. Remover,4,aged,256,0.765625,0.76953125,0.8743169398907104,0.5068493150684932,0.4931506849315068,0.12568306010928962
121,Corr. Remover,4,young,44,0.75,0.7272727272727273,0.8888888888888888,0.47058823529411764,0.5294117647058824,0.1111111111111111
148,Corr. Remover,5,aged,252,0.7301587301587301,0.7777777777777778,0.8595505617977528,0.581081081081081,0.4189189189189189,0.1404494382022472
149,Corr. Remover,5,young,48,0.75,0.5833333333333334,0.75,0.25,0.75,0.25
176,Corr. Remover,6,aged,257,0.7509727626459144,0.7626459143968871,0.8548387096774194,0.5211267605633803,0.4788732394366197,0.14516129032258066
177,Corr. Remover,6,young,43,0.7209302325581395,0.6976744186046512,0.875,0.47368421052631576,0.5263157894736842,0.125
204,Corr. Remover,7,aged,257,0.7431906614785992,0.7821011673151751,0.8648648648648649,0.5694444444444444,0.4305555555555556,0.13513513513513514
205,Corr. Remover,7,young,43,0.7674418604651163,0.6744186046511628,0.88,0.3888888888888889,0.6111111111111112,0.12
232,Corr. Remover,8,aged,260,0.7769230769230769,0.7538461538461538,0.8670212765957447,0.4583333333333333,0.5416666666666666,0.13297872340425532
233,Corr. Remover,8,young,40,0.775,0.675,0.9090909090909091,0.3888888888888889,0.6111111111111112,0.09090909090909091
260,Corr. Remover,9,aged,255,0.803921568627451,0.7647058823529411,0.8918918918918919,0.42857142857142855,0.5714285714285714,0.10810810810810811
261,Corr. Remover,9,young,45,0.7777777777777778,0.6444444444444445,0.88,0.35,0.65,0.12
10,DI Remover,0,aged,251,0.8804780876494024,0.7768924302788844,0.9608938547486033,0.3194444444444444,0.6805555555555556,0.03910614525139665
11,DI Remover,0,young,49,0.8163265306122449,0.7755102040816326,0.967741935483871,0.4444444444444444,0.5555555555555556,0.03225806451612903
38,DI Remover,1,aged,248,0.7983870967741935,0.8024193548387096,0.9116022099447514,0.5074626865671642,0.4925373134328358,0.08839779005524862
39,DI Remover,1,young,52,0.6153846153846154,0.6346153846153846,0.7241379310344828,0.5217391304347826,0.4782608695652174,0.27586206896551724
66,DI Remover,2,aged,266,0.924812030075188,0.7669172932330827,0.9842105263157894,0.2236842105263158,0.7763157894736842,0.015789473684210527
67,DI Remover,2,young,34,0.9411764705882353,0.6470588235294118,1.0,0.14285714285714285,0.8571428571428571,0.0
94,DI Remover,3,aged,254,0.8307086614173228,0.7834645669291339,0.9333333333333333,0.4189189189189189,0.581081081081081,0.06666666666666667
95,DI Remover,3,young,46,0.717391304347826,0.6739130434782609,0.8,0.4375,0.5625,0.2
122,DI Remover,4,aged,256,0.859375,0.77734375,0.9453551912568307,0.3561643835616438,0.6438356164383562,0.0546448087431694
123,DI Remover,4,young,44,0.6136363636363636,0.6363636363636364,0.7037037037037037,0.5294117647058824,0.47058823529411764,0.2962962962962963
150,DI Remover,5,aged,252,0.9047619047619048,0.7380952380952381,0.9550561797752809,0.21621621621621623,0.7837837837837838,0.0449438202247191
151,DI Remover,5,young,48,0.8125,0.6458333333333334,0.84375,0.25,0.75,0.15625
178,DI Remover,6,aged,257,0.7859922178988327,0.77431906614786,0.8870967741935484,0.4788732394366197,0.5211267605633803,0.11290322580645161
179,DI Remover,6,young,43,0.6511627906976745,0.7209302325581395,0.8333333333333334,0.5789473684210527,0.42105263157894735,0.16666666666666666
206,DI Remover,7,aged,257,0.9299610894941635,0.7587548638132295,0.9783783783783784,0.19444444444444445,0.8055555555555556,0.021621621621621623
207,DI Remover,7,young,43,0.8372093023255814,0.6511627906976745,0.92,0.2777777777777778,0.7222222222222222,0.08
234,DI Remover,8,aged,260,0.8884615384615384,0.7884615384615384,0.9680851063829787,0.3194444444444444,0.6805555555555556,0.031914893617021274
235,DI Remover,8,young,40,0.8,0.65,0.9090909090909091,0.3333333333333333,0.6666666666666666,0.09090909090909091
262,DI Remover,9,aged,255,0.9294117647058824,0.7568627450980392,0.972972972972973,0.18571428571428572,0.8142857142857143,0.02702702702702703
263,DI Remover,9,young,45,0.8222222222222222,0.6444444444444445,0.92,0.3,0.7,0.08
20,DI Score LR,0,aged,251,0.701195219123506,0.749003984063745,0.8156424581005587,0.5833333333333334,0.4166666666666667,0.18435754189944134
21,DI Score LR,0,young,49,0.8163265306122449,0.7755102040816326,0.967741935483871,0.4444444444444444,0.5555555555555556,0.03225806451612903
48,DI Score LR,1,aged,248,0.7580645161290323,0.7862903225806451,0.8729281767955801,0.5522388059701493,0.44776119402985076,0.1270718232044199
49,DI Score LR,1,young,52,0.8269230769230769,0.6153846153846154,0.896551724137931,0.2608695652173913,0.7391304347826086,0.10344827586206896
76,DI Score LR,2,aged,266,0.7706766917293233,0.7706766917293233,0.8789473684210526,0.5,0.5,0.12105263157894737
77,DI Score LR,2,young,34,0.9117647058823529,0.6764705882352942,1.0,0.21428571428571427,0.7857142857142857,0.0
104,DI Score LR,3,aged,254,0.7283464566929134,0.7755905511811023,0.8555555555555555,0.581081081081081,0.4189189189189189,0.14444444444444443
105,DI Score LR,3,young,46,0.7391304347826086,0.6521739130434783,0.8,0.375,0.625,0.2
