,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.75,0.8380952380952381,0.5444444444444444,0.45555555555555555,0.1619047619047619,0.08675502073339292,0.8910001021554806,0.125,0.775
18,Corr. Remover,1,0.7566666666666667,0.8809523809523809,0.4666666666666667,0.5333333333333333,0.11904761904761904,0.03753101736972708,0.9535330261136712,0.27644386761842954,0.6259877085162424
32,Corr. Remover,2,0.7633333333333333,0.8952380952380953,0.45555555555555555,0.5444444444444444,0.10476190476190476,0.10415745245466601,0.8819548872180452,0.2857142857142857,0.6363636363636364
46,Corr. Remover,3,0.76,0.8476190476190476,0.5555555555555556,0.4444444444444444,0.1523809523809524,0.06230742896268404,0.9153685189490816,0.09444444444444444,0.8648648648648649
60,Corr. Remover,4,0.7633333333333333,0.8761904761904762,0.5,0.5,0.12380952380952381,0.015625,0.9795918367346939,0.03626107977437554,0.9315068493150684
74,Corr. Remover,5,0.7466666666666667,0.8428571428571429,0.5222222222222223,0.4777777777777778,0.15714285714285714,0.019841269841269882,0.9735449735449735,0.3310810810810811,0.5585585585585585
88,Corr. Remover,6,0.7533333333333333,0.8571428571428571,0.5111111111111111,0.4888888888888889,0.14285714285714285,0.03004253008777491,0.9599951801421858,0.04744255003706449,0.9098591549295775
102,Corr. Remover,7,0.7666666666666667,0.8666666666666667,0.5333333333333333,0.4666666666666667,0.13333333333333333,0.024251198986517064,0.9683999528357505,0.18055555555555558,0.7045454545454545
116,Corr. Remover,8,0.7433333333333333,0.8714285714285714,0.4444444444444444,0.5555555555555556,0.12857142857142856,0.0019230769230769162,0.9975247524752475,0.06944444444444453,0.8863636363636362
130,Corr. Remover,9,0.7466666666666667,0.8904761904761904,0.4111111111111111,0.5888888888888889,0.10952380952380952,0.02614379084967322,0.9674796747967479,0.07857142857142863,0.879120879120879
5,DI Remover,0,0.7766666666666666,0.9619047619047619,0.34444444444444444,0.6555555555555556,0.0380952380952381,0.06415155703715747,0.9271400868039523,0.125,0.8163265306122449
19,DI Remover,1,0.7733333333333333,0.8857142857142857,0.5111111111111111,0.4888888888888889,0.11428571428571428,0.1830024813895781,0.7707847707847709,0.18746427891026862,0.7943573667711599
33,DI Remover,2,0.7533333333333333,0.9857142857142858,0.2111111111111111,0.7888888888888889,0.014285714285714285,0.016364440513047307,0.9826127819548872,0.08082706766917291,0.9057017543859649
47,DI Remover,3,0.7666666666666667,0.9142857142857143,0.4222222222222222,0.5777777777777777,0.08571428571428572,0.11331735706949675,0.863589532248094,0.1333333333333333,0.8571428571428572
61,DI Remover,4,0.7566666666666667,0.9142857142857143,0.3888888888888889,0.6111111111111112,0.08571428571428572,0.24573863636363635,0.7140495867768595,0.24165148755312693,0.7309136420525657
75,DI Remover,5,0.7233333333333334,0.9380952380952381,0.2222222222222222,0.7777777777777778,0.06190476190476191,0.09226190476190477,0.8980263157894737,0.1113061797752809,0.8834558823529411
89,DI Remover,6,0.7666666666666667,0.8809523809523809,0.5,0.5,0.11904761904761904,0.1348294272011582,0.8284595901450611,0.10007412898443291,0.8079658605974396
103,DI Remover,7,0.7433333333333333,0.9714285714285714,0.2111111111111111,0.7888888888888889,0.02857142857142857,0.09275178716858201,0.9002627225844119,0.08333333333333337,0.8965517241379309
117,DI Remover,8,0.77,0.9619047619047619,0.32222222222222224,0.6777777777777778,0.0380952380952381,0.08846153846153837,0.9004329004329006,0.05899419729206967,0.939060939060939
131,DI Remover,9,0.74,0.9666666666666667,0.2111111111111111,0.7888888888888889,0.03333333333333333,0.1071895424836602,0.8846694796061884,0.11428571428571432,0.8596491228070174
10,DI Score LR,0,0.7533333333333333,0.8380952380952381,0.5555555555555556,0.4444444444444444,0.1619047619047619,0.1151313114887389,0.8589641434262949,0.1520994773833123,0.75
24,DI Score LR,1,0.7566666666666667,0.8761904761904762,0.4777777777777778,0.5222222222222223,0.12380952380952381,0.06885856079404462,0.916729182295574,0.2913692407527579,0.6057945566286217
38,DI Score LR,2,0.76,0.8904761904761904,0.45555555555555555,0.5444444444444444,0.10952380952380952,0.14108801415302963,0.8452583070579675,0.2857142857142857,0.6363636363636364
52,DI Score LR,3,0.7566666666666667,0.8476190476190476,0.5444444444444444,0.45555555555555555,0.1523809523809524,0.010783978089695223,0.9854099119962947,0.20608108108108109,0.6702702702702703
66,DI Score LR,4,0.7533333333333333,0.861904761904762,0.5,0.5,0.1380952380952381,0.057173295454545414,0.924941724941725,0.05403764420157864,0.9315068493150684
80,DI Score LR,5,0.75,0.8523809523809524,0.5111111111111111,0.4888888888888889,0.14761904761904762,0.05753968253968256,0.9273182957393483,0.31756756756756754,0.5765765765765766
94,DI Score LR,6,0.7433333333333333,0.8523809523809524,0.4888888888888889,0.5111111111111111,0.14761904761904762,0.10180074201429734,0.8784046692607004,0.28613787991104517,0.6116700201207244
