,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.5786666666666667,0.49190476190476196,0.7811111111111111,0.2188888888888889,0.508095238095238,0.152666329598359,0.6285089428821242,0.1714718749161385,0.42901255938839145
1,Massaging,0.472,0.3,0.8733333333333333,0.12666666666666665,0.7,0.06797582484039119,0.7316627867925185,0.09396014367688174,0.49208709768492376
2,Pref. Sampling,0.41500000000000004,0.19571428571428573,0.9266666666666667,0.07333333333333332,0.8042857142857143,0.03996795329654576,0.786624474391972,0.08081677202000624,0.3311906177874063
3,Reweighing,0.5736666666666668,0.48904761904761906,0.7711111111111111,0.22888888888888886,0.5109523809523809,0.06865013384350441,0.8371331496140829,0.10012728462216954,0.6130633677391711
4,Corr. Remover,0.6666666666666667,0.6542857142857142,0.6955555555555556,0.3044444444444444,0.3457142857142857,0.08601935075233981,0.8473588479038356,0.16089476167481281,0.5972868815448399
5,DI Remover,0.67,0.7499999999999999,0.4833333333333334,0.5166666666666667,0.25,0.05478074717463327,0.8836608505118744,0.07562783045309895,0.7686843430228494
6,Grid Search DP,0.6039999999999999,0.540952380952381,0.7511111111111111,0.24888888888888888,0.45904761904761904,0.1077151824414461,0.7525282817608306,0.18489461722170883,0.4755697677882539
7,Grid Search EO,0.6083333333333333,0.5447619047619048,0.7566666666666666,0.24333333333333326,0.4552380952380952,0.12966923294662783,0.712347782899718,0.1534293347924445,0.5181145670151845
8,Exp. Grad. DP,0.63,0.6590476190476191,0.5622222222222222,0.4377777777777777,0.340952380952381,0.09669135651263377,0.8520912472221939,0.15257115005254807,0.7549295071068691
9,Exp. Grad. EO,0.6536666666666666,0.7790476190476191,0.3611111111111111,0.6388888888888888,0.22095238095238096,0.031467321976634634,0.9590913574304537,0.11946958850375258,0.8215798317512986
10,DI Score,0.7323333333333334,0.7857142857142857,0.6077777777777778,0.3922222222222222,0.21428571428571427,0.07548432998643614,0.8988273938016326,0.19891149487057416,0.6671858861961837
11,Equal. Oppor. DP,0.6986666666666667,0.8423809523809525,0.36333333333333334,0.6366666666666666,0.15761904761904763,0.04781599692265962,0.9334810230171169,0.14252642514773328,0.772300638027298
12,Equal. Oppor. EO,0.7000000000000001,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
