,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,aged,250,0.588,0.708,0.7055555555555556,0.7142857142857143,0.2857142857142857,0.29444444444444445
9,Corr. Remover,0,young,50,0.58,0.58,0.6333333333333333,0.5,0.5,0.36666666666666664
34,Corr. Remover,1,aged,250,0.432,0.608,0.5280898876404494,0.8055555555555556,0.19444444444444445,0.47191011235955055
35,Corr. Remover,1,young,50,0.54,0.58,0.59375,0.5555555555555556,0.4444444444444444,0.40625
60,Corr. Remover,2,aged,248,0.625,0.7580645161290323,0.7653631284916201,0.7391304347826086,0.2608695652173913,0.2346368715083799
61,Corr. Remover,2,young,52,0.5961538461538461,0.6923076923076923,0.7419354838709677,0.6190476190476191,0.38095238095238093,0.25806451612903225
86,Corr. Remover,3,aged,247,0.5991902834008097,0.6518218623481782,0.6741573033707865,0.5942028985507246,0.4057971014492754,0.3258426966292135
87,Corr. Remover,3,young,53,0.5849056603773585,0.6037735849056604,0.65625,0.5238095238095238,0.47619047619047616,0.34375
112,Corr. Remover,4,aged,254,0.5078740157480315,0.6338582677165354,0.5978260869565217,0.7285714285714285,0.2714285714285714,0.40217391304347827
113,Corr. Remover,4,young,46,0.5652173913043478,0.6521739130434783,0.6923076923076923,0.6,0.4,0.3076923076923077
138,Corr. Remover,5,aged,259,0.5907335907335908,0.6872586872586872,0.6978021978021978,0.6623376623376623,0.33766233766233766,0.3021978021978022
139,Corr. Remover,5,young,41,0.3902439024390244,0.6097560975609756,0.5,0.8461538461538461,0.15384615384615385,0.5
164,Corr. Remover,6,aged,258,0.6395348837209303,0.6976744186046512,0.732620320855615,0.6056338028169014,0.39436619718309857,0.26737967914438504
165,Corr. Remover,6,young,42,0.5476190476190477,0.6190476190476191,0.6521739130434783,0.5789473684210527,0.42105263157894735,0.34782608695652173
190,Corr. Remover,7,aged,250,0.396,0.584,0.4861878453038674,0.8405797101449275,0.15942028985507245,0.5138121546961326
191,Corr. Remover,7,young,50,0.26,0.64,0.41379310344827586,0.9523809523809523,0.047619047619047616,0.5862068965517241
216,Corr. Remover,8,aged,262,0.5267175572519084,0.6793893129770993,0.640625,0.7857142857142857,0.21428571428571427,0.359375
