,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.6866666666666666,0.6952380952380952,0.6666666666666666,0.3333333333333333,0.3047619047619048,0.008000000000000007,0.9863945578231292,0.2142857142857143,0.5714285714285714
17,Corr. Remover,1,0.6033333333333334,0.5380952380952381,0.7555555555555555,0.24444444444444444,0.46190476190476193,0.10800000000000004,0.7999999999999999,0.24999999999999997,0.43750000000000006
30,Corr. Remover,2,0.7466666666666667,0.7619047619047619,0.7111111111111111,0.28888888888888886,0.23809523809523808,0.028846153846153855,0.9538461538461538,0.12008281573498963,0.6847826086956522
43,Corr. Remover,3,0.6433333333333333,0.6714285714285714,0.5777777777777777,0.4222222222222222,0.32857142857142857,0.014284623023451237,0.9761601223865375,0.07039337474120078,0.8521739130434783
56,Corr. Remover,4,0.6366666666666667,0.6095238095238096,0.7,0.3,0.3904761904761905,0.0573433755563163,0.8985463355542096,0.12857142857142861,0.6785714285714285
69,Corr. Remover,5,0.6766666666666666,0.6714285714285714,0.6888888888888889,0.3111111111111111,0.32857142857142857,0.20048968829456637,0.6606089590307668,0.19780219780219777,0.455621301775148
82,Corr. Remover,6,0.6866666666666666,0.7238095238095238,0.6,0.4,0.2761904761904762,0.09191583610188259,0.8562770562770563,0.08044640781213674,0.8901935893367184
95,Corr. Remover,7,0.5933333333333334,0.47619047619047616,0.8666666666666667,0.13333333333333333,0.5238095238095238,0.136,0.6565656565656566,0.11180124223602483,0.2987012987012987
108,Corr. Remover,8,0.67,0.6476190476190476,0.7222222222222222,0.2777777777777778,0.3523809523809524,0.07854560064282845,0.8702290076335878,0.2857142857142857,0.42857142857142855
121,Corr. Remover,9,0.7233333333333334,0.7476190476190476,0.6666666666666666,0.3333333333333333,0.2523809523809524,0.13676823005819916,0.81496062992126,0.14985014985014988,0.6753246753246752
5,DI Remover,0,0.6733333333333333,0.6476190476190476,0.7333333333333333,0.26666666666666666,0.3523809523809524,0.06400000000000006,0.8823529411764705,0.10714285714285712,0.6938775510204082
18,DI Remover,1,0.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
31,DI Remover,2,0.74,0.7761904761904762,0.6555555555555556,0.34444444444444444,0.22380952380952382,0.13089330024813894,0.8044485634847081,0.11587673454676528,0.8539300318037255
44,DI Remover,3,0.67,0.7,0.6,0.4,0.3,0.09922847758001685,0.8418746195982958,0.08695652173913043,0.7931034482758621
57,DI Remover,4,0.6866666666666666,0.6952380952380952,0.6666666666666666,0.3333333333333333,0.3047619047619048,0.12803834303320782,0.7888198757763975,0.09113712374581939,0.8710059171597633
70,DI Remover,5,0.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
83,DI Remover,6,0.7033333333333334,1.0,0.011111111111111112,0.9888888888888889,0.0,0.003875968992248069,0.9961240310077519,0.014084507042253502,0.9859154929577465
96,DI Remover,7,0.33,0.06190476190476191,0.9555555555555556,0.044444444444444446,0.9380952380952381,0.019999999999999997,0.6666666666666667,0.057971014492753624,0.0
109,DI Remover,8,0.75,0.8285714285714286,0.5666666666666667,0.43333333333333335,0.17142857142857143,0.05966251506629161,0.9168533034714447,0.21428571428571425,0.6428571428571429
122,DI Remover,9,0.7466666666666667,0.7904761904761904,0.6444444444444445,0.35555555555555557,0.20952380952380953,0.042108866826429336,0.9394685039370079,0.06882383153569593,0.8461538461538461
10,DI Score,0,0.72,0.7666666666666667,0.6111111111111112,0.3888888888888889,0.23333333333333334,0.10399999999999998,0.8594594594594595,0.33571428571428574,0.48351648351648346
23,DI Score,1,0.7266666666666667,0.8,0.5555555555555556,0.4444444444444444,0.2,0.05599999999999994,0.9243243243243244,0.27777777777777773,0.5833333333333334
36,DI Score,2,0.7766666666666666,0.8142857142857143,0.6888888888888889,0.3111111111111111,0.18571428571428572,0.03504962779156329,0.9493727598566308,0.27743271221532095,0.47035573122529645
49,DI Score,3,0.7133333333333334,0.780952380952381,0.5555555555555556,0.4444444444444444,0.21904761904761905,0.09074936979604309,0.879757085020243,0.165631469979296,0.7101449275362319
62,DI Score,4,0.7166666666666667,0.7571428571428571,0.6222222222222222,0.37777777777777777,0.24285714285714285,0.06179390619650804,0.9111712598425197,0.22142857142857147,0.5974025974025974
75,DI Score,5,0.7466666666666667,0.7952380952380952,0.6333333333333333,0.36666666666666664,0.20476190476190476,0.018834165175628637,0.9724214009928295,0.030219780219780223,0.9454545454545454
88,DI Score,6,0.7566666666666667,0.8095238095238095,0.6333333333333333,0.36666666666666664,0.19047619047619047,0.09468438538205981,0.862760834670947,0.030225528946756564,0.9628146453089245
101,DI Score,7,0.72,0.7666666666666667,0.6111111111111112,0.3888888888888889,0.23333333333333334,0.016000000000000014,0.975609756097561,0.11387163561076602,0.7608695652173914
114,DI Score,8,0.7166666666666667,0.7571428571428571,0.6222222222222222,0.37777777777777777,0.24285714285714285,0.10707111289674565,0.8546892039258451,0.35000000000000003,0.4615384615384615
127,DI Score,9,0.73,0.8095238095238095,0.5444444444444444,0.45555555555555555,0.19047619047619047,0.17066073262581305,0.7987078538259641,0.18681318681318687,0.6964285714285714
11,Equal. Oppor. DP,0,0.6933333333333334,0.7285714285714285,0.6111111111111112,0.3888888888888889,0.2714285714285714,0.18400000000000005,0.764102564102564,0.4642857142857143,0.38095238095238093
24,Equal. Oppor. DP,1,0.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
37,Equal. Oppor. DP,2,0.73,0.7761904761904762,0.6222222222222222,0.37777777777777777,0.22380952380952382,0.049937965260545836,0.924941724941725,0.19047619047619052,0.6363636363636362
50,Equal. Oppor. DP,3,0.6533333333333333,0.6857142857142857,0.5777777777777777,0.4222222222222222,0.3142857142857143,0.07226338705981206,0.8833394993217413,0.108497191011236,0.8454999999999999
