,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,90.5,0.6735151461991923,0.7331716589827302,0.8151467214228495,0.5837014482242022,0.4162985517757978,0.18485327857715067
1,Unmitigated-LR,male,209.5,0.7824477999369288,0.7532005544696301,0.8701117605092088,0.44704585958633813,0.552954140413662,0.12988823949079134
2,Massaging,female,90.5,0.7228805427918084,0.7298457850540327,0.8503784746080664,0.5092244320007194,0.4907755679992807,0.14962152539193369
3,Massaging,male,209.5,0.7254097374067557,0.7337108026777219,0.8169505981848018,0.51408758887886,0.48591241112114003,0.1830494018151982
4,Pref. Sampling,female,90.5,0.7661774451817729,0.7156574951744437,0.8729660247549,0.4284477738000443,0.5715522261999557,0.12703397524509996
5,Pref. Sampling,male,209.5,0.6278572025958249,0.6972739937641288,0.724508889628855,0.6259314162161181,0.37406858378388186,0.2754911103711451
6,Reweighing,female,90.5,0.7206467479348946,0.7339771624925239,0.851557573287165,0.5189171374528062,0.4810828625471939,0.148442426712835
7,Reweighing,male,209.5,0.7645722293495922,0.74880534254997,0.8545567235013557,0.47121747293149846,0.5287825270685016,0.1454432764986442
8,Corr. Remover,female,90.5,0.7627475190855615,0.733125869431318,0.884874851167122,0.4599890149565852,0.5400109850434149,0.11512514883287799
9,Corr. Remover,male,209.5,0.7618995259821213,0.7526238904247717,0.8554365407624702,0.48434132201308666,0.5156586779869133,0.14456345923752986
10,DI Remover,female,90.5,0.7097874100678332,0.7319754368145269,0.8418283559349968,0.5305970526621331,0.4694029473378669,0.15817164406500323
11,DI Remover,male,209.5,0.7781093776815752,0.7593257731145567,0.8712115376295287,0.4661244445559797,0.5338755554440203,0.12878846237047134
12,Grid Search DP,female,90.5,0.7524474668275009,0.7232299636316284,0.8681386216040673,0.45646501745688745,0.5435349825431125,0.13186137839593265
13,Grid Search DP,male,209.5,0.75325214614852,0.741286916713684,0.841507031715604,0.47827050513210523,0.5217294948678948,0.1584929682843959
14,Grid Search EO,female,90.5,0.7176266050585738,0.7285618093427745,0.8451694801632179,0.5154528572333078,0.4845471427666923,0.15483051983678217
15,Grid Search EO,male,209.5,0.7636578207335505,0.7488299915908161,0.8539662771633093,0.4732140079569639,0.526785992043036,0.14603372283669072
16,Exp. Grad. DP,female,90.5,0.7418630106744398,0.7219140729716097,0.8584992667053815,0.4703012089800923,0.5296987910199076,0.14150073329461846
17,Exp. Grad. DP,male,209.5,0.7569938566762522,0.7450468768183114,0.8466862872967083,0.47908022604954875,0.5209197739504513,0.15331371270329175
18,Exp. Grad. EO,female,90.5,0.7243892881379368,0.7264183843291099,0.8489482939420316,0.5028024202256601,0.49719757977433987,0.15105170605796842
19,Exp. Grad. EO,male,209.5,0.7597932958195053,0.7487669927050342,0.8511768814551124,0.4801439387160652,0.5198560612839349,0.1488231185448876
20,DI Score LR,,90.5,0.7458650059821346,0.7333935168583317,0.8707588224247468,0.480710402492039,0.5192895975079611,0.12924117757525314
21,DI Score LR,,209.5,0.7555219449073428,0.7473982805614172,0.8473378094385524,0.4853773754650715,0.5146226245349286,0.15266219056144759
22,DI Score SVM,,90.5,0.6472387033598028,0.7114450152937465,0.7789912080661197,0.5897496804152483,0.41025031958475167,0.2210087919338803
23,DI Score SVM,,209.5,0.6587370139104263,0.7215229021086358,0.7624220252476137,0.6139081202713381,0.38609187972866177,0.2375779747523863
24,Equal. Oppor. DP,,90.5,0.7900178219950292,0.7037479313096267,0.8825704542482772,0.37499188876765277,0.6250081112323473,0.11742954575172282
25,Equal. Oppor. DP,,209.5,0.7824477999369288,0.7532005544696301,0.8701117605092088,0.44704585958633813,0.552954140413662,0.12988823949079134
26,Equal. Oppor. EO,,90.5,0.7317840380028178,0.7229437121844243,0.8519906106513024,0.4862905982960946,0.5137094017039054,0.1480093893486974
27,Equal. Oppor. EO,,209.5,0.7551809993402687,0.7384352274791006,0.8410131827672467,0.4692681779407895,0.5307318220592107,0.15898681723275332
