,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7473333333333333,0.8552380952380952,0.4955555555555556,0.5044444444444445,0.14476190476190476,0.10893265373773642,0.8612987888014384,0.1542928390321574,0.7452575293608422
1,Massaging,0.7326666666666667,0.8271428571428571,0.5122222222222221,0.48777777777777775,0.17285714285714288,0.058503457402044955,0.9242003067412641,0.1497810490093177,0.7648581751981363
2,Pref. Sampling,0.7030000000000001,0.7666666666666666,0.5544444444444443,0.4455555555555556,0.23333333333333334,0.138320242585948,0.8251305055723659,0.2485017575876259,0.6329752696584754
3,Reweighing,0.7446666666666666,0.8547619047619047,0.4877777777777778,0.5122222222222221,0.14523809523809522,0.06696016729250127,0.9145501676402242,0.1385898208530295,0.7776752203260708
4,Corr. Remover,0.747,0.8638095238095238,0.47444444444444456,0.5255555555555554,0.1361904761904762,0.030406223928194955,0.9609795045555479,0.10789846077413574,0.8319376053699117
5,DI Remover,0.7513333333333334,0.8638095238095238,0.48888888888888893,0.5111111111111111,0.1361904761904762,0.08060184917833596,0.8982671514829967,0.1549848019650474,0.7535829439240697
6,Grid Search DP,0.736,0.8495238095238096,0.4711111111111112,0.5288888888888889,0.15047619047619049,0.05307444865901654,0.932792468717567,0.12400541656463729,0.8102072426312322
7,Grid Search EO,0.743,0.8523809523809524,0.4877777777777778,0.5122222222222221,0.1476190476190476,0.059888974047862274,0.9226556200953606,0.1187381157263268,0.8020207134692641
8,Exp. Grad. DP,0.7383333333333333,0.8509523809523809,0.4755555555555556,0.5244444444444444,0.14904761904761904,0.05050063619919436,0.9359773866137246,0.1339613946993373,0.7925602533611076
9,Exp. Grad. EO,0.7423333333333334,0.8514285714285716,0.4877777777777778,0.5122222222222221,0.14857142857142855,0.05686293289224692,0.9271319150142057,0.12064719656900855,0.7983180828116058
10,DI Score LR,0.7433333333333334,0.8547619047619047,0.4833333333333334,0.5166666666666666,0.14523809523809522,0.051028597071523185,0.9362263918381268,0.1340522900446769,0.78988053200502
11,DI Score SVM,0.7186666666666667,0.7676190476190475,0.6044444444444442,0.39555555555555555,0.23238095238095235,0.057077654462139804,0.9173920503412007,0.11606773877242922,0.7662652671448165
12,Equal. Oppor. DP,0.7383333333333333,0.873809523809524,0.4222222222222222,0.5777777777777777,0.1261904761904762,0.043506241923777035,0.9465848907053255,0.12151049882850615,0.8208041662592447
13,Equal. Oppor. EO,0.7339999999999999,0.8447619047619048,0.4755555555555556,0.5244444444444444,0.15523809523809523,0.04238711687686686,0.9452433645558352,0.0886463100295292,0.8585108220679155
