,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,86,0.7441860465116279,0.6744186046511628,0.8461538461538461,0.4117647058823529,0.5882352941176471,0.15384615384615385
9,Corr. Remover,0,male,214,0.7897196261682243,0.7429906542056075,0.8607594936708861,0.4107142857142857,0.5892857142857143,0.13924050632911392
36,Corr. Remover,1,female,94,0.7659574468085106,0.776595744680851,0.9473684210526315,0.5135135135135135,0.4864864864864865,0.05263157894736842
37,Corr. Remover,1,male,206,0.7864077669902912,0.7912621359223301,0.8888888888888888,0.5094339622641509,0.49056603773584906,0.1111111111111111
64,Corr. Remover,2,female,85,0.7176470588235294,0.7647058823529411,0.8727272727272727,0.5666666666666667,0.43333333333333335,0.12727272727272726
65,Corr. Remover,2,male,215,0.7534883720930232,0.772093023255814,0.864516129032258,0.5333333333333333,0.4666666666666667,0.13548387096774195
92,Corr. Remover,3,female,90,0.7666666666666667,0.7777777777777778,0.9016393442622951,0.5172413793103449,0.4827586206896552,0.09836065573770492
93,Corr. Remover,3,male,210,0.7714285714285715,0.7571428571428571,0.87248322147651,0.47540983606557374,0.5245901639344263,0.12751677852348994
120,Corr. Remover,4,female,88,0.7840909090909091,0.6818181818181818,0.8727272727272727,0.36363636363636365,0.6363636363636364,0.12727272727272726
121,Corr. Remover,4,male,212,0.7452830188679245,0.7877358490566038,0.864516129032258,0.5789473684210527,0.42105263157894735,0.13548387096774195
148,Corr. Remover,5,female,85,0.7529411764705882,0.8,0.9272727272727272,0.5666666666666667,0.43333333333333335,0.07272727272727272
149,Corr. Remover,5,male,215,0.7627906976744186,0.7069767441860465,0.8258064516129032,0.4,0.6,0.17419354838709677
176,Corr. Remover,6,female,104,0.7980769230769231,0.7788461538461539,0.9166666666666666,0.46875,0.53125,0.08333333333333333
177,Corr. Remover,6,male,196,0.7755102040816326,0.7346938775510204,0.8623188405797102,0.43103448275862066,0.5689655172413793,0.13768115942028986
204,Corr. Remover,7,female,92,0.7282608695652174,0.7608695652173914,0.8688524590163934,0.5483870967741935,0.45161290322580644,0.13114754098360656
