,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.7233333333333334,0.8571428571428571,0.4111111111111111,0.5888888888888889,0.14285714285714285,0.045533579656596435,0.9423420943993395,0.014605647517039966,0.9830316742081447
18,Corr. Remover,1,0.7866666666666666,0.9047619047619048,0.5111111111111111,0.4888888888888889,0.09523809523809523,0.020450320181780612,0.9739952718676123,0.05847953216374269,0.9382716049382716
32,Corr. Remover,2,0.77,0.8666666666666667,0.5444444444444444,0.45555555555555555,0.13333333333333333,0.0358413132694938,0.9524328249818447,0.033333333333333326,0.9285714285714286
46,Corr. Remover,3,0.7633333333333333,0.8809523809523809,0.4888888888888889,0.5111111111111111,0.11904761904761904,0.004761904761904745,0.9938271604938271,0.04183154324477106,0.9202586206896551
60,Corr. Remover,4,0.7566666666666667,0.8666666666666667,0.5,0.5,0.13333333333333333,0.03880789022298459,0.9505058791359037,0.215311004784689,0.6616541353383458
74,Corr. Remover,5,0.7333333333333333,0.8523809523809524,0.45555555555555555,0.5444444444444444,0.14761904761904762,0.009849521203830425,0.9870875179340028,0.16666666666666663,0.7222222222222223
88,Corr. Remover,6,0.75,0.8809523809523809,0.4444444444444444,0.5555555555555556,0.11904761904761904,0.022566718995290502,0.9717236292107203,0.05434782608695643,0.9337121212121212
102,Corr. Remover,7,0.7433333333333333,0.8523809523809524,0.4888888888888889,0.5111111111111111,0.14761904761904762,0.031354515050167175,0.9587231700605394,0.09075997813012576,0.8326612903225806
116,Corr. Remover,8,0.76,0.8714285714285714,0.5,0.5,0.12857142857142856,0.05017152658662094,0.9369272237196765,0.2363445378151261,0.6347402597402597
130,Corr. Remover,9,0.6833333333333333,0.8047619047619048,0.4,0.6,0.19523809523809524,0.04472494935328031,0.942230273752013,0.16730453799890654,0.7642526964560863
5,DI Remover,0,0.73,0.8476190476190476,0.45555555555555555,0.5444444444444444,0.1523809523809524,0.14790262986307323,0.814905480756154,0.21323529411764708,0.6588235294117647
19,DI Remover,1,0.7733333333333333,0.9047619047619048,0.4666666666666667,0.5333333333333333,0.09523809523809523,0.13282379673621147,0.8409203364670955,0.125446200917899,0.7855274629468179
33,DI Remover,2,0.7666666666666667,0.8571428571428571,0.5555555555555556,0.4444444444444444,0.14285714285714285,0.07113543091655261,0.9055918663761802,0.05278592375366564,0.9393939393939394
47,DI Remover,3,0.77,0.8904761904761904,0.4888888888888889,0.5111111111111111,0.10952380952380952,0.06190476190476191,0.9221556886227544,0.14358394573205197,0.7423935091277891
61,DI Remover,4,0.77,0.8857142857142857,0.5,0.5,0.11428571428571428,0.12478559176672388,0.8452950558213715,0.1407624633431085,0.8474253019707565
75,DI Remover,5,0.7333333333333333,0.8428571428571429,0.4777777777777778,0.5222222222222223,0.15714285714285714,0.10615595075239403,0.8633321592109897,0.2833333333333334,0.5405405405405405
89,DI Remover,6,0.7566666666666667,0.8809523809523809,0.4666666666666667,0.5333333333333333,0.11904761904761904,0.011381475667189944,0.9854198089492208,0.10021551724137934,0.8238636363636364
103,DI Remover,7,0.75,0.8476190476190476,0.5222222222222223,0.4777777777777778,0.1523809523809524,0.05915551839464883,0.9216283577956245,0.138326954620011,0.7367325702393339
117,DI Remover,8,0.7633333333333333,0.8571428571428571,0.5444444444444444,0.45555555555555555,0.14285714285714285,0.029373927958833534,0.9605868814729576,0.11869747899159666,0.7757936507936507
131,DI Remover,9,0.7,0.8238095238095238,0.4111111111111111,0.5888888888888889,0.1761904761904762,0.06139940782297015,0.9228358793576186,0.23346090759978133,0.6853352984524687
10,DI Score LR,0,0.7166666666666667,0.8333333333333334,0.4444444444444444,0.5555555555555556,0.16666666666666666,0.1548576396435557,0.805061559507524,0.23109243697478998,0.6405228758169934
24,DI Score LR,1,0.7633333333333333,0.8809523809523809,0.4888888888888889,0.5111111111111111,0.11904761904761904,0.03687254699442266,0.9528214616096207,0.04997450280469151,0.9075471698113207
38,DI Score LR,2,0.7533333333333333,0.8523809523809524,0.5222222222222223,0.4777777777777778,0.14761904761904762,0.0016415868673050893,0.9977851605758582,0.08333333333333331,0.84375
52,DI Score LR,3,0.7633333333333333,0.8666666666666667,0.5222222222222223,0.4777777777777778,0.13333333333333333,0.007936507936507908,0.989451476793249,0.09440361786319956,0.814238042269188
66,DI Score LR,4,0.7666666666666667,0.8666666666666667,0.5333333333333333,0.4666666666666667,0.13333333333333333,0.027444253859348233,0.9636363636363636,0.07655502392344499,0.8513931888544891
80,DI Score LR,5,0.7366666666666667,0.8476190476190476,0.4777777777777778,0.5222222222222223,0.1523809523809524,0.045143638850889234,0.9408177905308465,0.23333333333333334,0.611111111111111
94,DI Score LR,6,0.7466666666666667,0.8761904761904762,0.4444444444444444,0.5555555555555556,0.12380952380952381,0.07182103610675039,0.9131466540104414,0.10386473429951693,0.8900255754475703
108,DI Score LR,7,0.7366666666666667,0.8428571428571429,0.4888888888888889,0.5111111111111111,0.15714285714285714,0.021739130434782594,0.9710144927536232,0.04155276107162387,0.9209157127991675
122,DI Score LR,8,0.7566666666666667,0.8666666666666667,0.5,0.5,0.13333333333333333,0.009433962264150941,0.9875776397515528,0.09453781512605042,0.8308270676691729
136,DI Score LR,9,0.6933333333333334,0.8142857142857143,0.4111111111111111,0.5888888888888889,0.18571428571428572,0.1333956677575191,0.8409513192121888,0.33187534171678507,0.5884745762711865
11,DI Score SVM,0,0.7466666666666667,0.8047619047619048,0.6111111111111112,0.3888888888888889,0.19523809523809524,0.15453162356009564,0.7866466616654163,0.19957983193277312,0.5701357466063348
25,DI Score SVM,1,0.74,0.7857142857142857,0.6333333333333333,0.36666666666666664,0.21428571428571427,0.04585829374096262,0.9336818521284541,0.1116777154513004,0.7417452830188679
39,DI Score SVM,2,0.7066666666666667,0.7428571428571429,0.6222222222222222,0.37777777777777777,0.2571428571428571,0.019151846785225746,0.9704016913319239,0.05278592375366575,0.9166666666666665
53,DI Score SVM,3,0.73,0.7714285714285715,0.6333333333333333,0.36666666666666664,0.22857142857142856,0.03968253968253965,0.9400479616306955,0.08309779536461276,0.7887931034482759
67,DI Score SVM,4,0.72,0.7857142857142857,0.5666666666666667,0.43333333333333335,0.21428571428571427,0.045668953687821645,0.9341372912801483,0.08133971291866032,0.832236842105263
81,DI Score SVM,5,0.7033333333333334,0.7571428571428571,0.5777777777777777,0.4222222222222222,0.24285714285714285,0.06265389876880978,0.9070993914807304,0.13333333333333336,0.7142857142857142
95,DI Score SVM,6,0.7166666666666667,0.7619047619047619,0.6111111111111112,0.3888888888888889,0.23809523809523808,0.06475667189952905,0.9064625850340136,0.0875603864734299,0.8931466470154754
109,DI Score SVM,7,0.7033333333333334,0.7428571428571429,0.6111111111111112,0.3888888888888889,0.2571428571428571,0.04034280936454848,0.937842190016103,0.05347122895808121,0.8891786179921773
123,DI Score SVM,8,0.76,0.8142857142857143,0.6333333333333333,0.36666666666666664,0.18571428571428572,0.018653516295025763,0.9730900092793071,0.1670168067226891,0.6450892857142857
137,DI Score SVM,9,0.66,0.7095238095238096,0.5444444444444444,0.45555555555555555,0.2904761904761905,0.07947639083683966,0.8845108695652174,0.19081465281574633,0.6713747645951036
12,Equal. Oppor. DP,0,0.71,0.8523809523809524,0.37777777777777777,0.6222222222222222,0.14761904761904762,0.08748098239513158,0.8917865304476407,0.10189075630252098,0.8457869634340223
26,Equal. Oppor. DP,1,0.77,0.8952380952380953,0.4777777777777778,0.5222222222222223,0.10476190476190476,0.08727535633133643,0.8923429736272137,0.06068332483426819,0.8890959925442685
40,Equal. Oppor. DP,2,0.7433333333333333,0.861904761904762,0.4666666666666667,0.5333333333333333,0.1380952380952381,0.018331053351573257,0.9763918252290344,0.19999999999999996,0.7000000000000001
54,Equal. Oppor. DP,3,0.7633333333333333,0.9047619047619048,0.43333333333333335,0.5666666666666667,0.09523809523809523,0.04285714285714293,0.9485714285714285,0.06491363186269106,0.9317287664892387
68,Equal. Oppor. DP,4,0.76,0.8857142857142857,0.4666666666666667,0.5333333333333333,0.11428571428571428,0.037950257289879885,0.9529630613871911,0.21052631578947367,0.6842105263157895
82,Equal. Oppor. DP,5,0.7333333333333333,0.8666666666666667,0.4222222222222222,0.5777777777777777,0.13333333333333333,0.004924760601915157,0.9936974789915967,0.06666666666666665,0.888888888888889
96,Equal. Oppor. DP,6,0.73,0.8904761904761904,0.35555555555555557,0.6444444444444445,0.10952380952380952,0.059850863422291956,0.9300619124054117,0.1637931034482759,0.7816091954022988
110,Equal. Oppor. DP,7,0.73,0.8666666666666667,0.4111111111111111,0.5888888888888889,0.13333333333333333,0.04598662207357851,0.9435897435897437,0.08583925642427559,0.8669491525423728
124,Equal. Oppor. DP,8,0.74,0.8809523809523809,0.4111111111111111,0.5888888888888889,0.11904761904761904,0.019082332761578003,0.9763486579856498,0.0934873949579832,0.8555194805194806
138,Equal. Oppor. DP,9,0.7033333333333334,0.8333333333333334,0.4,0.6,0.16666666666666666,0.031323048153342636,0.9600952948183443,0.16730453799890654,0.7642526964560863
13,Equal. Oppor. EO,0,0.73,0.8380952380952381,0.4777777777777778,0.5222222222222223,0.1619047619047619,0.1781134535970441,0.7757865937072503,0.27205882352941174,0.5647058823529412
27,Equal. Oppor. EO,1,0.75,0.8809523809523809,0.4444444444444444,0.5555555555555556,0.11904761904761904,0.025304689113819445,0.9680198407518601,0.020397756246812837,0.9640610961365679
41,Equal. Oppor. EO,2,0.7533333333333333,0.8523809523809524,0.5222222222222223,0.4777777777777778,0.14761904761904762,0.03119015047879614,0.95834855681403,0.033333333333333326,0.9333333333333333
55,Equal. Oppor. EO,3,0.7466666666666667,0.8714285714285714,0.45555555555555555,0.5444444444444444,0.12857142857142856,0.03809523809523818,0.9523809523809523,0.06568379359665533,0.9284515819750718
69,Equal. Oppor. EO,4,0.7433333333333333,0.8285714285714286,0.5444444444444444,0.45555555555555555,0.17142857142857143,0.04931389365351635,0.9325513196480938,0.04625199362041471,0.9046052631578947
83,Equal. Oppor. EO,5,0.7066666666666667,0.8,0.4888888888888889,0.5111111111111111,0.2,0.026812585499315977,0.9628083491461101,0.1166666666666667,0.7878787878787878
97,Equal. Oppor. EO,6,0.75,0.8666666666666667,0.4777777777777778,0.5222222222222223,0.13333333333333333,0.038461538461538436,0.951219512195122,0.07608695652173914,0.9169960474308301
111,Equal. Oppor. EO,7,0.7366666666666667,0.8333333333333334,0.5111111111111111,0.4888888888888889,0.16666666666666666,0.018185618729097075,0.9752770673486785,0.05686167304537998,0.8881720430107527
125,Equal. Oppor. EO,8,0.72,0.8476190476190476,0.4222222222222222,0.5777777777777777,0.1523809523809524,0.00857632933104624,0.9889012208657049,0.06407563025210083,0.8962585034013606
139,Equal. Oppor. EO,9,0.7033333333333334,0.8285714285714286,0.4111111111111111,0.5888888888888889,0.17142857142857143,0.009817671809256634,0.9871402327005512,0.13504647348277743,0.8006456820016142
8,Exp. Grad. DP,0,0.7266666666666667,0.8428571428571429,0.45555555555555555,0.5444444444444444,0.15714285714285714,0.15953053683981744,0.8003535971712227,0.21323529411764708,0.6588235294117647
22,Exp. Grad. DP,1,0.77,0.8809523809523809,0.5111111111111111,0.4888888888888889,0.11904761904761904,0.042656475934724214,0.9450797872340426,0.04181540030596631,0.9185700099304867
36,Exp. Grad. DP,2,0.7433333333333333,0.8380952380952381,0.5222222222222223,0.4777777777777778,0.1619047619047619,0.01559507523939807,0.9789590254706534,0.08333333333333331,0.84375
50,Exp. Grad. DP,3,0.74,0.861904761904762,0.45555555555555555,0.5444444444444444,0.1380952380952381,0.0793650793650793,0.9034749034749036,0.12531631642644947,0.8682018051376997
64,Exp. Grad. DP,4,0.7466666666666667,0.8523809523809524,0.5,0.5,0.14761904761904762,0.004716981132075526,0.9937106918238993,0.215311004784689,0.6616541353383458
78,Exp. Grad. DP,5,0.7333333333333333,0.8428571428571429,0.4777777777777778,0.5222222222222223,0.15714285714285714,0.0733242134062928,0.9044563279857397,0.23333333333333334,0.611111111111111
