,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.6176666666666668,0.5680952380952381,0.7333333333333336,0.26666666666666666,0.4319047619047619,0.08716228805475387,0.8066017762282588,0.11940525376752027,0.5804708275320246
1,Massaging,0.5766666666666665,0.5366666666666667,0.67,0.33,0.4633333333333334,0.05445790340402993,0.8404618646947141,0.08465341613458058,0.7163975929832447
2,Pref. Sampling,0.5806666666666668,0.5133333333333334,0.7377777777777778,0.26222222222222225,0.48666666666666664,0.03513214353358695,0.8811699700730372,0.06711623190280014,0.6775487348439557
3,Reweighing,0.6163333333333333,0.5695238095238095,0.7255555555555555,0.27444444444444444,0.43047619047619046,0.06346180129239869,0.8680824027397487,0.10253687513280844,0.6456938310796159
4,Corr. Remover,0.6753333333333333,0.68,0.6644444444444444,0.33555555555555555,0.31999999999999995,0.05483384023618517,0.9078588923183849,0.11220470850752355,0.7118269434178643
5,DI Remover,0.62,0.5704761904761905,0.7355555555555557,0.2644444444444444,0.42952380952380953,0.0697515689106317,0.8433293728040505,0.10440482618636386,0.6321913258138503
6,Grid Search DP,0.687,0.7104761904761905,0.6322222222222222,0.36777777777777776,0.28952380952380957,0.10498294632347438,0.8341226105817448,0.1537822002933121,0.695730883626531
7,Grid Search EO,0.6869999999999999,0.6928571428571428,0.6733333333333333,0.3266666666666666,0.3071428571428571,0.09831335021504276,0.8377063839333845,0.14243257161640335,0.7032413461751987
8,Exp. Grad. DP,0.6293333333333333,0.6190476190476191,0.6533333333333334,0.3466666666666667,0.38095238095238093,0.0751346299502583,0.8585567153566988,0.12772786381639153,0.7182590903281405
9,Exp. Grad. EO,0.6486666666666667,0.6709523809523811,0.5966666666666667,0.4033333333333333,0.3290476190476191,0.06139203482042582,0.8964172303532421,0.1283572543038674,0.7541204208739054
10,DI Score,0.7363333333333333,0.7738095238095237,0.6488888888888888,0.3511111111111111,0.22619047619047614,0.04857161407640702,0.928510599312656,0.10569387877878995,0.7861438420783159
11,Equal. Oppor. DP,0.7043333333333333,0.8247619047619048,0.42333333333333323,0.5766666666666667,0.17523809523809525,0.03952740766554128,0.9419228538281729,0.08180666850077387,0.8407398645235453
12,Equal. Oppor. EO,0.6973333333333334,0.8414285714285714,0.36111111111111116,0.638888888888889,0.15857142857142859,0.040297616487540384,0.9395951556653298,0.08788577560541425,0.8220614809683852
