,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,81,0.41975308641975306,0.6790123456790124,0.5740740740740741,0.8888888888888888,0.1111111111111111,0.42592592592592593
9,Corr. Remover,0,male,219,0.4931506849315068,0.6438356164383562,0.5961538461538461,0.7619047619047619,0.23809523809523808,0.40384615384615385
34,Corr. Remover,1,female,93,0.6666666666666666,0.6559139784946236,0.7419354838709677,0.4838709677419355,0.5161290322580645,0.25806451612903225
35,Corr. Remover,1,male,207,0.714975845410628,0.6714975845410628,0.7702702702702703,0.423728813559322,0.576271186440678,0.22972972972972974
60,Corr. Remover,2,female,95,0.5368421052631579,0.631578947368421,0.6212121212121212,0.6551724137931034,0.3448275862068966,0.3787878787878788
61,Corr. Remover,2,male,205,0.4682926829268293,0.6390243902439025,0.5763888888888888,0.7868852459016393,0.21311475409836064,0.4236111111111111
86,Corr. Remover,3,female,90,0.5333333333333333,0.6777777777777778,0.6557377049180327,0.7241379310344828,0.27586206896551724,0.3442622950819672
87,Corr. Remover,3,male,210,0.6571428571428571,0.7380952380952381,0.7785234899328859,0.639344262295082,0.36065573770491804,0.2214765100671141
112,Corr. Remover,4,female,93,0.4731182795698925,0.6989247311827957,0.6333333333333333,0.8181818181818182,0.18181818181818182,0.36666666666666664
113,Corr. Remover,4,male,207,0.4396135265700483,0.5700483091787439,0.5066666666666667,0.7368421052631579,0.2631578947368421,0.49333333333333335
138,Corr. Remover,5,female,91,0.6263736263736264,0.5934065934065934,0.6666666666666666,0.45161290322580644,0.5483870967741935,0.3333333333333333
139,Corr. Remover,5,male,209,0.6124401913875598,0.69377990430622,0.7133333333333334,0.6440677966101694,0.3559322033898305,0.2866666666666667
164,Corr. Remover,6,female,99,0.5151515151515151,0.7373737373737373,0.7049180327868853,0.7894736842105263,0.21052631578947367,0.29508196721311475
165,Corr. Remover,6,male,201,0.6169154228855721,0.6965174129353234,0.7114093959731543,0.6538461538461539,0.34615384615384615,0.28859060402684567
190,Corr. Remover,7,female,85,0.6588235294117647,0.6823529411764706,0.7636363636363637,0.5333333333333333,0.4666666666666667,0.23636363636363636
191,Corr. Remover,7,male,215,0.6232558139534884,0.6697674418604651,0.7032258064516129,0.5833333333333334,0.4166666666666667,0.2967741935483871
216,Corr. Remover,8,female,91,0.5494505494505495,0.7472527472527473,0.7288135593220338,0.78125,0.21875,0.2711864406779661
217,Corr. Remover,8,male,209,0.5598086124401914,0.6746411483253588,0.6622516556291391,0.7068965517241379,0.29310344827586204,0.33774834437086093
242,Corr. Remover,9,female,94,0.6702127659574468,0.723404255319149,0.8032786885245902,0.5757575757575758,0.42424242424242425,0.19672131147540983
243,Corr. Remover,9,male,206,0.6310679611650486,0.7233009708737864,0.7449664429530202,0.6666666666666666,0.3333333333333333,0.2550335570469799
10,DI Remover,0,female,81,0.1111111111111111,0.4444444444444444,0.16666666666666666,1.0,0.0,0.8333333333333334
11,DI Remover,0,male,219,0.1461187214611872,0.3972602739726027,0.1794871794871795,0.9365079365079365,0.06349206349206349,0.8205128205128205
36,DI Remover,1,female,93,0.5913978494623656,0.7096774193548387,0.7258064516129032,0.6774193548387096,0.3225806451612903,0.27419354838709675
37,DI Remover,1,male,207,0.714975845410628,0.6908212560386473,0.7837837837837838,0.4576271186440678,0.5423728813559322,0.21621621621621623
62,DI Remover,2,female,95,0.14736842105263157,0.43157894736842106,0.19696969696969696,0.9655172413793104,0.034482758620689655,0.803030303030303
