,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.6533333333333333,0.5904761904761905,0.8,0.2,0.4095238095238095,0.07339759851175376,0.8511659807956105,0.12698412698412698,0.4666666666666667
17,Corr. Remover,1,0.6666666666666666,0.7619047619047619,0.4444444444444444,0.5555555555555556,0.23809523809523808,0.048309178743961345,0.9324324324324325,0.06014215418261348,0.8956356736242884
30,Corr. Remover,2,0.6366666666666667,0.5904761904761905,0.7444444444444445,0.25555555555555554,0.4095238095238095,0.0685494223363286,0.8723098995695839,0.13171283210853593,0.6180327868852459
43,Corr. Remover,3,0.72,0.7428571428571429,0.6666666666666666,0.3333333333333333,0.2571428571428571,0.12380952380952381,0.8115942028985507,0.12278578501485315,0.7648902821316614
56,Corr. Remover,4,0.61,0.5428571428571428,0.7666666666666667,0.23333333333333334,0.45714285714285713,0.03350475299984418,0.9291831357048748,0.1266666666666666,0.6909090909090909
69,Corr. Remover,5,0.6633333333333333,0.7,0.5777777777777777,0.4222222222222222,0.3,0.013933434986066584,0.9777553932678587,0.192454893384363,0.6490528414755733
82,Corr. Remover,6,0.71,0.7095238095238096,0.7111111111111111,0.28888888888888886,0.2904761904761905,0.10176390773405697,0.8350439882697948,0.13562753036437247,0.6081871345029239
95,Corr. Remover,7,0.6733333333333333,0.719047619047619,0.5666666666666667,0.43333333333333335,0.28095238095238095,0.035567715458276306,0.9460132890365449,0.060410557184750746,0.8928571428571429
108,Corr. Remover,8,0.6966666666666667,0.680952380952381,0.7333333333333333,0.26666666666666666,0.319047619047619,0.010358062989641925,0.9814971353432892,0.07435344827586204,0.7463235294117647
121,Corr. Remover,9,0.7233333333333334,0.7619047619047619,0.6333333333333333,0.36666666666666664,0.23809523809523808,0.039144804792398236,0.9415934658653106,0.09090909090909094,0.7857142857142857
5,DI Remover,0,0.41,0.1761904761904762,0.9555555555555556,0.044444444444444446,0.8238095238095238,0.0350076103500761,0.7604166666666666,0.06349206349206349,0.0
18,DI Remover,1,0.6966666666666667,0.7666666666666667,0.5333333333333333,0.4666666666666667,0.23333333333333334,0.12357799594826235,0.8271578029642547,0.2197922361946419,0.594758064516129
31,DI Remover,2,0.46,0.2571428571428571,0.9333333333333333,0.06666666666666667,0.7428571428571429,0.07702182284980746,0.6567505720823797,0.08775252525252525,0.4206896551724138
44,DI Remover,3,0.7366666666666667,0.7523809523809524,0.7,0.3,0.24761904761904763,0.11904761904761907,0.8175182481751825,0.11310375178787546,0.7362068965517242
57,DI Remover,4,0.38666666666666666,0.1619047619047619,0.9111111111111111,0.08888888888888889,0.8380952380952381,0.015895278167367938,0.8903225806451612,0.016666666666666663,0.9
70,DI Remover,5,0.69,0.719047619047619,0.6222222222222222,0.37777777777777777,0.28095238095238095,0.001840264998159702,0.9970184853905785,0.11262985237834883,0.7506053268765133
83,DI Remover,6,0.7033333333333334,0.6952380952380952,0.7222222222222222,0.2777777777777778,0.3047619047619048,0.1572440826172169,0.7471515151515152,0.16194331983805668,0.5321637426900585
96,DI Remover,7,0.69,0.7238095238095238,0.6111111111111112,0.3888888888888889,0.2761904761904762,0.0002735978112174964,0.9995612110574814,0.08333333333333337,0.7999999999999999
109,DI Remover,8,0.6933333333333334,0.680952380952381,0.7222222222222222,0.2777777777777778,0.319047619047619,0.06246385193753612,0.8921078921078922,0.0915948275862069,0.704861111111111
122,DI Remover,9,0.7333333333333333,0.7714285714285715,0.6444444444444445,0.35555555555555557,0.22857142857142856,0.1051435653790539,0.8452887537993922,0.09373968533392008,0.8826284612205538
10,DI Score,0,0.7366666666666667,0.7619047619047619,0.6777777777777778,0.32222222222222224,0.23809523809523808,0.06714019956029094,0.9011207970112078,0.1746031746031746,0.6071428571428571
23,DI Score,1,0.7433333333333333,0.8047619047619048,0.6,0.4,0.19523809523809524,0.03973819541841983,0.9428763440860215,0.04337401918047079,0.9295958279009127
36,DI Score,2,0.7266666666666667,0.7428571428571429,0.6888888888888889,0.3111111111111111,0.2571428571428571,0.0729139922978177,0.8900503290747194,0.0877525252525252,0.8557377049180327
49,DI Score,3,0.77,0.8,0.7,0.3,0.2,0.03968253968253965,0.9400479616306955,0.03561334087054835,0.8856624319419237
62,DI Score,4,0.74,0.7428571428571429,0.7333333333333333,0.26666666666666666,0.2571428571428571,0.003116721209287854,0.994824016563147,0.05666666666666664,0.9276595744680851
75,DI Score,5,0.68,0.719047619047619,0.5888888888888889,0.4111111111111111,0.28095238095238095,0.07844786792155212,0.884858774502238,0.2094040459267359,0.6181455633100698
88,DI Score,6,0.7533333333333333,0.7857142857142857,0.6777777777777778,0.32222222222222224,0.21428571428571427,0.12091059852253883,0.82389108476065,0.14777327935222676,0.6157894736842104
101,DI Score,7,0.73,0.7857142857142857,0.6,0.4,0.21428571428571427,0.03365253077975372,0.9515175404020497,0.09325513196480939,0.8908716540837337
