,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,5428.8,0.06232109720290628,0.8210640723698546,0.22003606388459182,0.9791523004464784,0.02084769955352162,0.7799639361154082
1,Unmitigated-LR,male,3571.2,0.09336842023104241,0.7960761986869846,0.2707124655157428,0.962906036503244,0.03709396349675589,0.7292875344842572
2,Massaging,female,5428.8,0.110705905223459,0.8272671991354965,0.35102506542332645,0.9525086227081611,0.04749137729183899,0.6489749345766735
3,Massaging,male,3571.2,0.11323974438899982,0.7988770087533645,0.3177771475480323,0.951664195776479,0.04833580422352104,0.6822228524519678
4,Pref. Sampling,female,5428.8,0.09482867887170268,0.8265677397960836,0.3112596771856142,0.9620957227269239,0.03790427727307609,0.6887403228143857
5,Pref. Sampling,male,3571.2,0.0250188334991145,0.7708442293146788,0.07649312346746237,0.9913020069750658,0.008697993024934297,0.9235068765325376
6,Reweighing,female,5428.8,0.072253597768731,0.8239159132941015,0.25072533363569616,0.974679647490244,0.025320352509756044,0.7492746663643037
7,Reweighing,male,3571.2,0.07624184415295858,0.7910882989852931,0.22478267227013657,0.9708941429123819,0.029105857087618103,0.7752173277298634
8,Corr. Remover,female,5428.8,0.07308564617233973,0.8240086393083603,0.2529415567820278,0.974212965111626,0.025787034888373927,0.7470584432179722
9,Corr. Remover,male,3571.2,0.07445948420651266,0.7904200771983623,0.21968410425391238,0.9716288389769732,0.02837116102302687,0.7803158957460876
10,DI Remover,female,5428.8,0.06546741056000085,0.8210066215188891,0.227356657775002,0.977125853462056,0.0228741465379439,0.7726433422249981
11,DI Remover,male,3571.2,0.07279522916972543,0.7890405055220806,0.21359416167918593,0.9718215543898759,0.028178445610124163,0.7864058383208141
12,Grid Search DP,female,5428.8,0.06026927718788176,0.8197514573675463,0.2118967610567742,0.979615183101496,0.02038481689850392,0.7881032389432259
13,Grid Search DP,male,3571.2,0.06784913219765745,0.7889424562261554,0.202991044397257,0.975016475806949,0.024983524193050964,0.797008955602743
14,Grid Search EO,female,5428.8,0.06691228568624166,0.8224802620924014,0.23440724788191614,0.9771442090360827,0.022855790963917228,0.7655927521180839
15,Grid Search EO,male,3571.2,0.08167645078577632,0.7931604226735519,0.24041772994214838,0.968684290026012,0.031315709973988096,0.7595822700578516
16,Exp. Grad. DP,female,5428.8,0.06770512251358056,0.8224612726315271,0.23628286886360073,0.9766324185052395,0.023367581494760377,0.7637171311363993
17,Exp. Grad. DP,male,3571.2,0.08344299051414301,0.7936381170316225,0.24501353083698416,0.9678310496726713,0.03216895032732874,0.7549864691630158
18,Exp. Grad. EO,female,5428.8,0.06811292818154205,0.8227579053697666,0.2379817652472816,0.9765622410794235,0.023437758920576444,0.7620182347527183
19,Exp. Grad. EO,male,3571.2,0.08402946528771899,0.7937746757716784,0.24651879323300036,0.9675349879131818,0.0324650120868181,0.7534812067669996
20,DI Score LR,,5428.8,0.07365336398949646,0.8238411001483105,0.253893882525439,0.9737485348405688,0.02625146515943133,0.7461061174745611
21,DI Score LR,,3571.2,0.07373274455734828,0.7900851030103777,0.21745450402406963,0.9718861612751063,0.028113838724893665,0.7825454959759304
22,DI Score SVM,,5428.8,0.16826709508886473,0.8113319366425673,0.4510422896950141,0.9060968180482695,0.09390318195173067,0.5489577103049859
23,DI Score SVM,,3571.2,0.17803207590772546,0.7918020778170942,0.43737751698834515,0.9043154752517768,0.09568452474822314,0.5626224830116549
24,Equal. Oppor. DP,,5428.8,0.062430873319921906,0.8208808751798575,0.21985835015975397,0.9789675121370074,0.021032487862992506,0.7801416498402461
25,Equal. Oppor. DP,,3571.2,0.06249719980335209,0.783494661585825,0.18042173175821002,0.9749449435352862,0.025055056464713808,0.8195782682417901
26,Equal. Oppor. EO,,5428.8,0.07315107550957431,0.8136980391952331,0.22834402564169434,0.9676588404507944,0.03234115954920562,0.7716559743583055
27,Equal. Oppor. EO,,3571.2,0.08143099921184052,0.7915763338816895,0.23648436906585543,0.9677997474598126,0.032200252540187504,0.7635156309341445
