,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8111555555555556,0.24188849824208938,0.9728634612640891,0.027136538735910976,0.7581115017579106,0.03104732302813614,0.6685841432231264,0.05067640163115087,0.565615405729635
1,Massaging,0.816011111111111,0.33666499246609743,0.9521757740048509,0.0478242259951491,0.6633350075339026,0.004682884381172474,0.9590907663632567,0.03324791787529417,0.8851797721940263
2,Pref. Sampling,0.8044666666666667,0.20979407332998493,0.9733913539734627,0.026608646026537307,0.790205926670015,0.06980984537258818,0.2639046583063974,0.2347665537181518,0.22084522368165754
3,Reweighing,0.8109,0.23947764942240077,0.9732201455271794,0.026779854472820663,0.7605223505775991,0.00496944955660909,0.9363012847591978,0.026130578699006875,0.8373038876868197
4,Corr. Remover,0.8106888888888889,0.23852335509794073,0.9732201455271794,0.026779854472820656,0.7614766449020592,0.0032755187010908363,0.9568253979491134,0.033257452528115336,0.8480191712343139
5,DI Remover,0.8083333333333333,0.22134605725765946,0.975074903695249,0.024925096304751038,0.7786539427423406,0.015630281452502687,0.7939603505165167,0.034732458805417775,0.7081857522560389
6,Grid Search DP,0.8075333333333333,0.2079859367152185,0.9778427735768298,0.02215722642317021,0.7920140632847816,0.007656477132134553,0.8955314807095048,0.016823057138393556,0.8127612342347549
7,Grid Search EO,0.8108555555555554,0.23696634856855855,0.9738764445712654,0.026123555428734485,0.7630336514314415,0.014764165099534644,0.8239995739852569,0.020128228066365023,0.7340075006211211
8,Exp. Grad. DP,0.8110333333333333,0.2400301356102461,0.9732344128977031,0.02676558710229705,0.7599698643897539,0.01573786800056244,0.8124292027616375,0.014877122325667413,0.7293974479336958
9,Exp. Grad. EO,0.8112666666666666,0.24163736815670522,0.9730774718219433,0.026922528178056782,0.7583626318432949,0.01591653710617693,0.8112242997867962,0.015780719266573352,0.7236722544147226
10,DI Score LR,0.8104555555555557,0.23812154696132598,0.9730346697103724,0.02696533028962762,0.7618784530386741,0.003436654380197858,0.9543931203165504,0.03643937850136933,0.8435487189990575
11,DI Score SVM,0.8035888888888888,0.4451531893520844,0.9054073334284493,0.09459266657155085,0.5548468106479156,0.010227451687299919,0.9433739428499017,0.017768040692806245,0.9400126225953047
12,Equal. Oppor. DP,0.8060555555555556,0.20281265695630335,0.9774147524611216,0.022585247538878583,0.7971873430436967,0.002371059148931734,0.9630096895191903,0.03943661840154393,0.7951038431946543
13,Equal. Oppor. EO,0.8049222222222221,0.23184329482672025,0.9677129405050648,0.032287059494935086,0.7681567051732797,0.008279923702266215,0.8995406930012922,0.017479141970503993,0.8868312019342964
