,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,5374,0.07406029028656494,0.8213621138816524,0.2535087719298246,0.9742560226735947,0.02574397732640529,0.7464912280701754
9,Corr. Remover,0,male,3626,0.07722007722007722,0.7972972972972973,0.23266745005875442,0.9704504504504504,0.02954954954954955,0.7673325499412456
36,Corr. Remover,1,female,5440,0.06948529411764706,0.8272058823529411,0.24684684684684685,0.9759815242494226,0.02401847575057737,0.7531531531531531
37,Corr. Remover,1,male,3560,0.07359550561797752,0.7851123595505618,0.21452894438138478,0.9727510265024263,0.02724897349757372,0.7854710556186152
64,Corr. Remover,2,female,5421,0.07268031728463382,0.8258623870134661,0.2544642857142857,0.9746570564984888,0.025342943501511277,0.7455357142857143
65,Corr. Remover,2,male,3579,0.07627829002514669,0.7932383347303716,0.23191733639494833,0.973781388478582,0.02621861152141802,0.7680826636050516
92,Corr. Remover,3,female,5358,0.07801418439716312,0.8241881298992161,0.26565295169946335,0.9714622641509434,0.028537735849056604,0.7343470483005367
93,Corr. Remover,3,male,3642,0.07468423942888523,0.7910488742449203,0.21993127147766323,0.9711087035030697,0.0288912964969303,0.7800687285223368
120,Corr. Remover,4,female,5437,0.06823615964686408,0.8219606400588559,0.23838737949167396,0.9769553072625698,0.023044692737430168,0.761612620508326
121,Corr. Remover,4,male,3563,0.06651698007297221,0.7892225652539995,0.1976470588235294,0.9745669001105787,0.025433099889421305,0.8023529411764706
148,Corr. Remover,5,female,5447,0.07582155314852213,0.8276115292821736,0.2688927943760984,0.9751682524947783,0.02483174750522163,0.7311072056239016
149,Corr. Remover,5,male,3553,0.07936954686180693,0.7897551365043625,0.22743259085580306,0.9674074074074074,0.03259259259259259,0.772567409144197
176,Corr. Remover,6,female,5480,0.07427007299270073,0.8266423357664233,0.259946949602122,0.9740170154058404,0.025982984594159576,0.7400530503978779
177,Corr. Remover,6,male,3520,0.07386363636363637,0.7818181818181819,0.20465116279069767,0.968421052631579,0.031578947368421054,0.7953488372093023
204,Corr. Remover,7,female,5473,0.07253791339302028,0.8165539923259638,0.23768366464995677,0.9717330861909175,0.028266913809082483,0.7623163353500432
205,Corr. Remover,7,male,3527,0.07513467536149702,0.797278140062376,0.2302158273381295,0.9728926847382102,0.027107315261789826,0.7697841726618705
232,Corr. Remover,8,female,5482,0.07022984312294783,0.826340751550529,0.25022026431718064,0.9767655854612376,0.023234414538762366,0.7497797356828194
233,Corr. Remover,8,male,3518,0.07646389994314952,0.7910744741330301,0.22780373831775702,0.9722013523666416,0.02779864763335838,0.772196261682243
260,Corr. Remover,9,female,5376,0.07552083333333333,0.8223586309523809,0.2538116591928251,0.9711335367284675,0.028866463271532503,0.7461883408071749
261,Corr. Remover,9,male,3624,0.07146799116997793,0.7883554083885209,0.2100456621004566,0.972707423580786,0.027292576419213975,0.7899543378995434
10,DI Remover,0,female,5374,0.06531447711202085,0.8181987346483066,0.22543859649122808,0.9777987718469532,0.022201228153046763,0.7745614035087719
11,DI Remover,0,male,3626,0.07335907335907337,0.7978488692774407,0.2256169212690952,0.9733333333333334,0.02666666666666667,0.7743830787309048
38,DI Remover,1,female,5440,0.057904411764705885,0.8240808823529412,0.21081081081081082,0.9812933025404157,0.018706697459584296,0.7891891891891892
39,DI Remover,1,male,3560,0.022191011235955058,0.7629213483146068,0.06583427922814983,0.9921612541993281,0.007838745800671893,0.9341657207718501
66,DI Remover,2,female,5421,0.07692307692307693,0.8245711123408965,0.26160714285714287,0.9711694954661707,0.02883050453382934,0.7383928571428572
67,DI Remover,2,male,3579,0.08913104219055602,0.7977088572226879,0.2675086107921929,0.9682422451994092,0.03175775480059084,0.7324913892078071
94,DI Remover,3,female,5358,0.06644270250093319,0.8219484882418813,0.23255813953488372,0.9773584905660377,0.022641509433962263,0.7674418604651163
