,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8116666666666666,0.24460070316423907,0.9727493222999001,0.02725067770009987,0.7553992968357609,0.003159786933512279,0.959080759211016,0.020841321871070156,0.8712138668387156
18,Corr. Remover,1,0.8105555555555556,0.23254645906579607,0.9747467541732059,0.025253245826794123,0.7674535409342039,0.00411021150033046,0.9441513246519984,0.03231790246546207,0.8690771104501355
32,Corr. Remover,2,0.8128888888888889,0.24460070316423907,0.9743187330574975,0.025681266942502497,0.7553992968357609,0.003597972740512864,0.9528309727534962,0.022546949319337373,0.9113944447801479
46,Corr. Remover,3,0.8107777777777778,0.245605223505776,0.9713225852475389,0.028677414752461123,0.754394776494224,0.0033299449682778898,0.9573161599520743,0.04572168022180012,0.8278894327004291
60,Corr. Remover,4,0.809,0.22099447513812154,0.976030817520331,0.023969182479668998,0.7790055248618785,0.0017191795738918658,0.9748054465141508,0.040740320668144564,0.8291003460207612
74,Corr. Remover,5,0.8126666666666666,0.25113008538422904,0.9721786274789557,0.02782137252104437,0.748869914615771,0.0035479937132848055,0.9552977955202095,0.04146020352029536,0.7618831620920273
88,Corr. Remover,6,0.8091111111111111,0.2360622802611753,0.9718932800684834,0.028106719931516623,0.7639377197388247,0.00040643662906436617,0.9945275854366763,0.05529578681142433,0.787280493592786
102,Corr. Remover,7,0.809,0.2345554997488699,0.9721786274789557,0.02782137252104437,0.7654445002511301,0.0025967619684767462,0.9654385680648396,0.007467837311827263,0.9589768251629909
116,Corr. Remover,8,0.8125555555555556,0.24058262179809142,0.9750321015836781,0.02496789841632187,0.7594173782019086,0.006234056820201686,0.9184705877566188,0.02241652599942362,0.8358109662457489
130,Corr. Remover,9,0.8086666666666666,0.2345554997488699,0.9717506063632473,0.028249393636752745,0.7654445002511301,0.0040528421633554,0.9463347796300526,0.0437659970923685,0.8275650644593961
5,DI Remover,0,0.81,0.22551481667503767,0.976030817520331,0.023969182479668998,0.7744851833249623,0.008044596247052518,0.8903394511585999,0.004465438513619906,0.8325460557392536
19,DI Remover,1,0.7998888888888889,0.14665996986438976,0.9854472820659153,0.014552717934084749,0.8533400301356102,0.03571340052875083,0.38323524166220796,0.144976531582661,0.31229081172327483
33,DI Remover,2,0.8138888888888889,0.2641888498242089,0.9700385219004137,0.029961478099586245,0.735811150175791,0.012207965267479096,0.863033518205932,0.005901467935050031,0.9078256543908123
47,DI Remover,3,0.8102222222222222,0.23505775991963837,0.9736053645313169,0.026394635468683123,0.7649422400803616,0.015105897169577512,0.8147620286478071,0.009500057918872696,0.7044307822768708
61,DI Remover,4,0.8102222222222222,0.2360622802611753,0.9733200171208446,0.02667998287915537,0.7639377197388247,0.001439756110239554,0.9804301150715689,0.04034541423931537,0.8407123956849175
75,DI Remover,5,0.811,0.23656454043194375,0.9741760593522614,0.025823940647738623,0.7634354595680563,0.007256891124569578,0.9055540873055102,0.026232237301615086,0.7235686105493486
89,DI Remover,6,0.8074444444444444,0.2290306378704169,0.9717506063632473,0.028249393636752745,0.7709693621295831,0.04069135700066357,0.5824093975442106,0.06147780313778711,0.432362572450266
103,DI Remover,7,0.8067777777777778,0.21346057257659468,0.9753174489941504,0.024682551005849623,0.7865394274234053,0.00435915757490013,0.9360384198192268,0.026877374504890472,0.8509771317969564
117,DI Remover,8,0.8095555555555556,0.2240080361627323,0.9758881438150949,0.024111856184905123,0.7759919638372677,0.013348248720967834,0.8254307100358185,0.00665836386841781,0.7861588296370905
131,DI Remover,9,0.8043333333333333,0.20291310899045706,0.9751747752889143,0.024825224711085746,0.797086891009543,0.018135544780826234,0.7583705357142858,0.020889899051948296,0.6909846783115969
10,DI Score LR,0,0.8117777777777778,0.24460070316423907,0.9728919960051362,0.027108003994863746,0.7553992968357609,0.0028840009434405733,0.9625183246562168,0.020841321871070156,0.8819695935898109
24,DI Score LR,1,0.8106666666666666,0.23304871923656453,0.9747467541732059,0.025253245826794123,0.7669512807634354,0.005320555188367479,0.9285238623751387,0.029146854004969802,0.8611728356532052
38,DI Score LR,2,0.8128888888888889,0.245605223505776,0.9740333856470252,0.025966614352974746,0.754394776494224,0.0033239769651813578,0.9565820673051676,0.02229170083647694,0.9127038288921183
52,DI Score LR,3,0.81,0.2430939226519337,0.9710372378370666,0.02896276216293337,0.7569060773480663,0.0018476121250583372,0.976030252382415,0.04124940830766771,0.8420656216165325
66,DI Score LR,4,0.8084444444444444,0.21998995479658462,0.9756027964046227,0.02439720359537737,0.7800100452034153,0.003761453819684679,0.9456089776126979,0.047199051399700986,0.8034521253756977
80,DI Score LR,5,0.8124444444444444,0.24861878453038674,0.9726066485946641,0.027393351405335997,0.7513812154696132,9.874340619074606e-05,0.9987070785251899,0.05142400336247338,0.805622782879687
94,DI Score LR,6,0.8088888888888889,0.23807132094424913,0.9710372378370666,0.02896276216293337,0.7619286790557509,0.0012981088254810924,0.9828587075575027,0.054738552012008335,0.7908469516027654
108,DI Score LR,7,0.8088888888888889,0.23556002009040683,0.9717506063632473,0.028249393636752745,0.7644399799095931,0.0011142671104809043,0.9850529806478873,0.01951317079439302,0.9158134846957722
122,DI Score LR,8,0.8126666666666666,0.24108488196885988,0.9750321015836781,0.02496789841632187,0.7589151180311401,0.00605164164325897,0.9208562256468957,0.02329758326814607,0.8358109662457489
136,DI Score LR,9,0.8078888888888889,0.23154193872425916,0.9716079326580112,0.02839206734198887,0.7684580612757408,0.00866618377483444,0.8871927264563924,0.05469213915678689,0.7860289994392373
11,DI Score SVM,0,0.7995555555555556,0.4439979909593169,0.9005564274504209,0.09944357254957911,0.5560020090406831,0.008790562966755205,0.9514106992111976,0.009937740944605922,0.958795615503638
25,DI Score SVM,1,0.8055555555555556,0.4480160723254646,0.9071194178912826,0.09288058210871736,0.5519839276745354,0.01517680105750166,0.9159729210502241,0.011609452812630983,0.9670336964230509
