,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-NB,female,5426.8,0.3195401454241139,0.7331368376853435,0.626773801978233,0.7609475389779269,0.23905246102207292,0.37322619802176693
1,Unmitigated-NB,male,3573.2,0.4096362091232745,0.6787187248675611,0.6828191140700802,0.6775711365505102,0.32242886344948996,0.3171808859299197
2,Massaging,female,5426.8,0.6815289111049662,0.45595866578826466,0.8311644594864103,0.35765721641421316,0.6423427835857869,0.16883554051358957
3,Massaging,male,3573.2,0.6886256560210706,0.4794231104238385,0.8474540197487856,0.3620529332013839,0.6379470667986162,0.1525459802512143
4,Pref. Sampling,female,5426.8,0.4520199257496027,0.6375947874438308,0.7154003603501641,0.6169104924755517,0.38308950752444837,0.2845996396498359
5,Pref. Sampling,male,3573.2,0.3340593049758231,0.7241355107523405,0.6206746936810217,0.7574322878381581,0.24256771216184184,0.3793253063189784
6,Reweighing,female,5426.8,0.35925401342372026,0.705358506401314,0.6554270783436915,0.7183194247859578,0.2816805752140422,0.3445729216563085
7,Reweighing,male,3573.2,0.38930995673263274,0.6912779208238105,0.6668150273223865,0.6992701440987562,0.3007298559012437,0.33318497267761354
8,Corr. Remover,female,5426.8,0.372601095396663,0.6953063840151742,0.6634488125391313,0.7035763565555694,0.2964236434444305,0.3365511874608686
9,Corr. Remover,male,3573.2,0.34925345399201846,0.7174427038952984,0.6379597532483701,0.742870484289826,0.25712951571017395,0.36204024675162993
10,DI Remover,female,5426.8,0.2790588705854106,0.7603315618372122,0.5949506917232803,0.8037097225028494,0.1962902774971506,0.4050493082767197
11,DI Remover,male,3573.2,0.3065382164466747,0.7426474253595792,0.6017538551048319,0.7876694866390885,0.21233051336091152,0.3982461448951681
12,Grid Search DP,female,5426.8,0.2703074482542385,0.7646054531382467,0.5840420700405731,0.8118926731607324,0.18810732683926773,0.4159579299594268
13,Grid Search DP,male,3573.2,0.3040731596171029,0.7446521029263102,0.6007472537009428,0.7905885243524073,0.20941147564759272,0.3992527462990572
14,Grid Search EO,female,5426.8,0.2256202633946464,0.7836726706350394,0.5227435695772569,0.8521752228530065,0.14782477714699352,0.4772564304227432
15,Grid Search EO,male,3573.2,0.2629126365552056,0.7589684373295323,0.5447484093554695,0.8270822423242391,0.17291775767576084,0.4552515906445305
16,Exp. Grad. DP,female,5426.8,0.3911552740279238,0.6646611138754206,0.6343009217909354,0.6724807033657552,0.32751929663424484,0.36569907820906444
17,Exp. Grad. DP,male,3573.2,0.4035208111829129,0.6609274176902833,0.6333224963100512,0.6699135390793614,0.3300864609206385,0.36667750368994867
18,Exp. Grad. EO,female,5426.8,0.33818097085311755,0.7164660122840504,0.6314606472560174,0.7386508582849276,0.26134914171507256,0.3685393527439825
19,Exp. Grad. EO,male,3573.2,0.356067394497334,0.7079830496443626,0.6325719199790953,0.7321883009801753,0.2678116990198246,0.3674280800209046
20,DI Score,,5426.8,0.1661090510203373,0.810470810372872,0.4435212510608653,0.9065743140423645,0.09342568595763551,0.5564787489391347
21,DI Score,,3573.2,0.17766758268428723,0.7883294639317558,0.4296821287121939,0.9027658870128998,0.09723411298710019,0.570317871287806
22,Equal. Oppor. DP,,5426.8,0.0,0.7924270041869482,0.0,1.0,0.0,1.0
23,Equal. Oppor. DP,,3573.2,0.0,0.7580759233192114,0.0,1.0,0.0,1.0
24,Equal. Oppor. EO,,5426.8,0.0,0.7924270041869482,0.0,1.0,0.0,1.0
25,Equal. Oppor. EO,,3573.2,0.0,0.7580759233192114,0.0,1.0,0.0,1.0
