,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-NB,0.7115333333333334,0.6510798593671521,0.7287059494935082,0.2712940505064917,0.3489201406328478,0.09009606369916061,0.7832454625569116,0.08466599664752808,0.7478591300095484
1,Massaging,0.46528888888888886,0.8381717729784027,0.35936652874875163,0.6406334712512484,0.16182822702159716,0.00837989485911722,0.9877533279969277,0.017941172348685096,0.9777261115208731
2,Pref. Sampling,0.6719555555555556,0.6743345052737317,0.671279783135968,0.32872021686403197,0.3256654947262682,0.11796062077377958,0.7468580650189426,0.1417658983162557,0.6413741807240549
3,Reweighing,0.6997777777777776,0.6603716725263686,0.7109716079326579,0.289028392067342,0.33962832747363136,0.03005594330891253,0.920268371727426,0.025585965054517167,0.9326525784074177
4,Corr. Remover,0.704111111111111,0.6523857358111502,0.7188043943501212,0.28119560564987867,0.3476142641888498,0.043300721553041904,0.8887630922778111,0.05468305763118129,0.8394583387064625
5,DI Remover,0.7533333333333333,0.5977900552486188,0.7975174775288913,0.20248252247110857,0.4022099447513813,0.02747934586126415,0.9122019735834547,0.027363421955524447,0.9107175422433247
6,Grid Search DP,0.7566777777777777,0.5913108990457057,0.8036524468540447,0.1963475531459552,0.4086891009542943,0.03376571136286447,0.8882681376623387,0.02989689372778459,0.881054720591551
7,Grid Search EO,0.7738555555555555,0.5322953289804118,0.8424739620487944,0.1575260379512056,0.4677046710195881,0.03729237316055915,0.85725122273105,0.03286784457979704,0.8523004931712246
8,Exp. Grad. DP,0.6631888888888888,0.6339025615268709,0.6715080610643458,0.3284919389356541,0.3660974384731291,0.014547271735871937,0.9632660245270672,0.016345838345701573,0.9584994044374862
9,Exp. Grad. EO,0.7131000000000001,0.631943746860874,0.7361535169068342,0.26384648309316594,0.3680562531391261,0.021940571518128272,0.9374862248519019,0.02343435850234455,0.93277616970925
10,DI Score,0.8016666666666665,0.4375690607734806,0.9050934512769295,0.09490654872307033,0.5624309392265194,0.011558531663949906,0.9367827138013542,0.020114898429981248,0.9253516915152638
11,Equal. Oppor. DP,0.7787777777777779,0.0,1.0,0.0,1.0,0.0,,0.0,
12,Equal. Oppor. EO,0.7787777777777779,0.0,1.0,0.0,1.0,0.0,,0.0,
