,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,5444,0.3809698750918442,0.692138133725202,0.6773618538324421,0.6959740860712633,0.3040259139287367,0.3226381461675579
9,Corr. Remover,0,male,3556,0.34280089988751405,0.7260967379077615,0.6409666283084005,0.753628582061779,0.24637141793822107,0.35903337169159955
34,Corr. Remover,1,female,5380,0.3550185873605948,0.7115241635687732,0.6621376811594203,0.7242750233863424,0.27572497661365764,0.3378623188405797
35,Corr. Remover,1,male,3620,0.33176795580110496,0.7182320441988951,0.6020293122886133,0.7559458470545188,0.24405415294548116,0.3979706877113867
60,Corr. Remover,2,female,5417,0.29665866715894407,0.7461694664943695,0.6064220183486239,0.7813727755951005,0.21862722440489946,0.39357798165137614
61,Corr. Remover,2,male,3583,0.33324030142338823,0.7306726207089032,0.6270810210876804,0.7654735272184937,0.23452647278150635,0.3729189789123196
86,Corr. Remover,3,female,5397,0.4248656661108023,0.6533259218084121,0.6870567375886525,0.6444132115249473,0.3555867884750527,0.3129432624113475
87,Corr. Remover,3,male,3603,0.36858173744102135,0.701082431307244,0.645422943221321,0.7186131386861314,0.2813868613138686,0.354577056778679
112,Corr. Remover,4,female,5467,0.42985183830254253,0.651362721785257,0.6927083333333334,0.640324449594438,0.359675550405562,0.3072916666666667
113,Corr. Remover,4,male,3533,0.37786583639966037,0.6920464194735353,0.6471990464839095,0.7060133630289532,0.29398663697104677,0.3528009535160906
138,Corr. Remover,5,female,5454,0.42812614594792814,0.662999633296663,0.7181738366988587,0.6484356894553882,0.35156431054461185,0.28182616330114135
139,Corr. Remover,5,male,3546,0.3694303440496334,0.7038917089678511,0.6525821596244131,0.7201187824795843,0.2798812175204157,0.3474178403755869
164,Corr. Remover,6,female,5383,0.38547278469255064,0.6858629017276612,0.6711229946524064,0.6897441915043417,0.3102558084956583,0.32887700534759357
165,Corr. Remover,6,male,3617,0.34503732374896323,0.7293337019629528,0.6547756041426928,0.7529112081513828,0.24708879184861718,0.34522439585730724
190,Corr. Remover,7,female,5421,0.44106253458771444,0.6463752075262866,0.7116071428571429,0.6293885142990002,0.3706114857009998,0.2883928571428571
191,Corr. Remover,7,male,3579,0.3766415199776474,0.7074601844090528,0.6727898966704937,0.7186115214180206,0.2813884785819793,0.32721010332950634
216,Corr. Remover,8,female,5463,0.2835438403807432,0.7624016108365367,0.6075407026563839,0.8044692737430168,0.19553072625698323,0.3924592973436161
217,Corr. Remover,8,male,3537,0.3155216284987277,0.7449816228442183,0.6298543689320388,0.77994839660892,0.22005160339108,0.37014563106796117
242,Corr. Remover,9,female,5442,0.30044101433296583,0.74090407938258,0.6003568242640499,0.7773663503818561,0.22263364961814394,0.39964317573595004
