,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.7055555555555556,0.6614766449020593,0.718076758453417,0.281923241546583,0.33852335509794074,0.03816897520433016,0.8998110409776406,0.057654495990515614,0.8103632179063862
17,Corr. Remover,1,0.7142222222222222,0.6353591160220995,0.7366243401341133,0.26337565986588674,0.36464088397790057,0.02325063155948981,0.9345086922565156,0.06010836887080695,0.8851361815054092
30,Corr. Remover,2,0.74,0.6157709693621296,0.7752889142531032,0.22471108574689685,0.3842290306378704,0.03658163426444416,0.8902244593220239,0.02065900273905652,0.9322070204355172
43,Corr. Remover,3,0.6724444444444444,0.6690105474635861,0.6734198887145099,0.3265801112854901,0.3309894525364139,0.056283928669780936,0.867525354107803,0.07419992716118412,0.7913310348807016
56,Corr. Remover,4,0.6673333333333333,0.6735308890005023,0.6655728349265231,0.334427165073477,0.3264691109994977,0.05198600190288216,0.8790606500412524,0.06568891343451522,0.8173661975064863
69,Corr. Remover,5,0.6791111111111111,0.6901054746358614,0.6759880154087602,0.3240119845912398,0.30989452536413864,0.058695801898294764,0.8629006837030837,0.07168309302419612,0.7961024743576756
82,Corr. Remover,6,0.7033333333333334,0.6639879457559016,0.7145099158225139,0.2854900841774861,0.33601205424409847,0.04043546094358741,0.895101645176226,0.06316701664704114,0.7964034357541284
95,Corr. Remover,7,0.6706666666666666,0.6946258161727775,0.6638607504636895,0.33613924953631047,0.3053741838272225,0.06442101461006705,0.8539413131739132,0.08922300711902048,0.7592546087710746
108,Corr. Remover,8,0.7555555555555555,0.6167754897036665,0.7949778855756884,0.2050221144243116,0.3832245102963335,0.03197778811798452,0.898651042497033,0.024520877134096758,0.8885676052515837
121,Corr. Remover,9,0.7328888888888889,0.6032144650929181,0.7697246397488943,0.23027536025110573,0.39678553490708185,0.031205978359558073,0.9059060415226207,0.019925874191379866,0.9178516106956609
5,DI Remover,0,0.77,0.5750878955298845,0.825367384790983,0.174632615209017,0.4249121044701155,0.005105464866120235,0.9808288985597429,0.028080507231661445,0.9521906993718905
18,DI Remover,1,0.7418888888888889,0.6047212456052236,0.780853188757312,0.21914681124268798,0.3952787543947765,0.011049723756906105,0.9644760213143871,0.03128625230789339,0.9494289567380464
31,DI Remover,2,0.7476666666666667,0.6017076845806127,0.7891282636610073,0.21087173633899273,0.39829231541938726,0.024879655745180695,0.9203361871894705,0.017964748648290896,0.9706238865115969
44,DI Remover,3,0.75,0.6002009040683074,0.7925524325866743,0.20744756741332573,0.3997990959316926,0.026158023770259997,0.9156245661197433,0.02132809441004832,0.9032467240338867
57,DI Remover,4,0.7426666666666667,0.6007031642390759,0.7829932943358539,0.2170067056641461,0.3992968357609242,0.06450141033525858,0.8108850765855032,0.059320097620479295,0.7660199956228825
70,DI Remover,5,0.7421111111111112,0.6192867905575088,0.7770009987159366,0.22299900128406336,0.3807132094424912,0.03088870646793951,0.9062231565622316,0.022454086631723547,0.9051860354453555
83,DI Remover,6,0.7608888888888888,0.5886489201406329,0.8098159509202454,0.1901840490797546,0.41135107985936714,0.019075966480453288,0.9341624324811073,0.021367810645547047,0.9644279167605739
96,DI Remover,7,0.755,0.6197890507282773,0.7934084748180911,0.20659152518190899,0.3802109492717228,0.01691197174441761,0.9451242548746414,0.014620920124651438,0.9767187908069993
109,DI Remover,8,0.7715555555555556,0.5896534404821697,0.8232272792124411,0.17677272078755885,0.4103465595178302,0.04689935858113731,0.8418655564332863,0.040541746374618104,0.7989218319664736
