,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,B,8.8,0.2801695526695527,0.9818181818181818,0.96,1.0,0.0,0.04
1,Unmitigated-LR,O,27.2,0.5488054678399507,0.956046840133047,0.9804166666666667,0.9282217782217783,0.07177822177822177,0.019583333333333335
2,Massaging,B,8.8,0.3541847041847042,0.9441666666666666,1.0,0.9133333333333333,0.08666666666666666,0.0
3,Massaging,O,27.2,0.4909941195458437,0.9202749007059353,0.8945558608058608,0.9495587745587745,0.050441225441225444,0.1054441391941392
4,Pref. Sampling,B,8.8,0.32676046176046175,0.953409090909091,0.9800000000000001,0.9482142857142858,0.05178571428571428,0.02
5,Pref. Sampling,O,27.2,0.4466430816948058,0.9133577252887596,0.8432188644688644,0.9923076923076923,0.007692307692307693,0.15678113553113554
6,Reweighing,B,8.8,0.2975937950937951,0.9825757575757577,0.9800000000000001,0.9875,0.0125,0.02
7,Reweighing,O,27.2,0.5345238586445483,0.950098564270978,0.9608333333333334,0.9373126873126874,0.06268731268731269,0.03916666666666667
8,Corr. Remover,B,8.8,0.45926406926406926,0.8390873015873016,1.0,0.792142857142857,0.20785714285714282,0.0
9,Corr. Remover,O,27.2,0.4631774732291974,0.9309177578487923,0.878470695970696,0.9933333333333334,0.006666666666666666,0.12152930402930402
10,DI Remover,B,8.8,0.4045815295815296,0.8937698412698414,1.0,0.8457142857142855,0.1542857142857143,0.0
11,DI Remover,O,27.2,0.3981137495965082,0.85252070088277,0.7537087912087912,0.9800000000000001,0.02,0.24629120879120875
12,Grid Search DP,B,8.8,0.28092712842712847,0.9825757575757577,0.9550000000000001,1.0,0.0,0.045
13,Grid Search DP,O,27.2,0.5716988337333164,0.9405608816470885,0.9866666666666667,0.8941325341325342,0.10586746586746587,0.013333333333333332
14,Grid Search EO,B,8.8,0.28092712842712847,0.9825757575757577,0.9550000000000001,1.0,0.0,0.045
15,Grid Search EO,O,27.2,0.5664771518392208,0.9524492302078509,0.9933333333333334,0.9042957042957044,0.0957042957042957,0.006666666666666666
16,Exp. Grad. DP,B,8.8,0.34838383838383835,0.8168506493506493,0.765,0.8191666666666668,0.18083333333333332,0.23500000000000001
17,Exp. Grad. DP,O,27.2,0.5276706805327495,0.8186904481214826,0.8262271062271062,0.8073543123543125,0.19264568764568762,0.1737728937728938
18,Exp. Grad. EO,B,8.8,0.2892604617604618,0.9520202020202021,0.8550000000000001,0.975,0.025,0.145
19,Exp. Grad. EO,O,27.2,0.5512881352364111,0.9281567653291791,0.9571153846153846,0.8966033966033965,0.10339660339660339,0.04288461538461538
20,DI Score LR,,8.8,0.4045815295815296,0.8937698412698414,1.0,0.8457142857142855,0.1542857142857143,0.0
21,DI Score LR,,27.2,0.493700328407225,0.9681072796934865,0.9382142857142857,1.0,0.0,0.06178571428571429
22,DI Score SVM,,8.8,0.39446248196248196,0.903888888888889,1.0,0.8573809523809525,0.14261904761904762,0.0
23,DI Score SVM,,27.2,0.5110967468036434,0.8850175431209915,0.8769688644688645,0.8913786213786213,0.10862137862137863,0.12303113553113551
24,Equal. Oppor. DP,,8.8,0.5511435786435788,0.729025974025974,0.9800000000000001,0.6132142857142858,0.38678571428571434,0.02
25,Equal. Oppor. DP,,27.2,0.5529721345066172,0.9518801734663803,0.9804166666666667,0.9191308691308692,0.08086913086913086,0.019583333333333335
26,Equal. Oppor. EO,,8.8,0.31112914862914864,0.9523737373737374,0.9550000000000001,0.9541666666666668,0.04583333333333332,0.045
27,Equal. Oppor. EO,,27.2,0.5529721345066172,0.9518801734663803,0.9804166666666667,0.9191308691308692,0.08086913086913086,0.019583333333333335
