,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.961111111111111,0.9705882352941178,0.9526315789473683,0.047368421052631574,0.029411764705882353,0.268635915170398,0.525741427689957,0.1174192474192474,0.38666666666666666
1,Massaging,0.9249999999999998,0.9058823529411765,0.9421052631578947,0.05789473684210526,0.09411764705882353,0.16347608202780614,0.6798638861138862,0.147767649017649,0.3441246253746254
2,Pref. Sampling,0.9222222222222223,0.8588235294117647,0.9789473684210528,0.021052631578947368,0.1411764705882353,0.15988261993434408,0.660080525535071,0.16190018315018312,0.5220941558441559
3,Reweighing,0.9555555555555555,0.9588235294117646,0.9526315789473683,0.047368421052631574,0.0411764705882353,0.2369300635507532,0.5785132881824058,0.11416167166167165,0.37333333333333335
4,Corr. Remover,0.9111111111111111,0.8941176470588236,0.9263157894736842,0.0736842105263158,0.10588235294117647,0.060246140194416056,0.8790767462422634,0.2315018315018315,0.29635531135531135
5,DI Remover,0.8611111111111113,0.7764705882352941,0.9368421052631579,0.06315789473684211,0.2235294117647059,0.05378091129815267,0.8469642426538979,0.30273809523809525,0.21749999999999997
6,Grid Search DP,0.95,0.9764705882352942,0.9263157894736842,0.07368421052631577,0.023529411764705882,0.29077170530618807,0.4971490641711231,0.12844322344322343,0.3
7,Grid Search EO,0.9583333333333334,0.9823529411764707,0.9368421052631579,0.06315789473684211,0.01764705882352941,0.28555002341209235,0.5178684595847909,0.12918914418914418,0.37333333333333335
8,Exp. Grad. DP,0.8194444444444444,0.8235294117647058,0.8157894736842106,0.18421052631578946,0.17647058823529413,0.29373128659335557,0.5024186720142602,0.33176448551448556,0.257445054945055
9,Exp. Grad. EO,0.9333333333333332,0.9470588235294117,0.9210526315789475,0.07894736842105263,0.052941176470588235,0.2620276734759493,0.5368741103667575,0.17081501831501833,0.36208333333333337
10,DI Score LR,0.95,0.9470588235294117,0.9526315789473685,0.047368421052631574,0.052941176470588235,0.11869455640145295,0.7814291208791209,0.17053571428571432,0.18541666666666665
11,DI Score SVM,0.8888888888888887,0.8941176470588236,0.8842105263157893,0.11578947368421051,0.10588235294117647,0.17830093150782805,0.6908889721389722,0.15356643356643357,0.4488888888888889
12,Equal. Oppor. DP,0.8944444444444445,0.9764705882352942,0.8210526315789473,0.17894736842105266,0.023529411764705882,0.1861608621263794,0.718264053897421,0.3556135531135531,0.2108674658674659
13,Equal. Oppor. EO,0.95,0.9705882352941178,0.9315789473684211,0.06842105263157894,0.029411764705882353,0.24184298587746866,0.5797820929070929,0.10267857142857142,0.547724358974359
