,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.2,0.0
18,Corr. Remover,1,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.014545454545454528,0.9680000000000001,0.08333333333333337,0.9166666666666666
32,Corr. Remover,2,0.8888888888888888,0.8823529411764706,0.8947368421052632,0.10526315789473684,0.11764705882352941,0.041666666666666685,0.9166666666666666,0.25,0.0
46,Corr. Remover,3,0.8611111111111112,0.8823529411764706,0.8421052631578947,0.15789473684210525,0.11764705882352941,0.0,1.0,0.42857142857142855,0.0
60,Corr. Remover,4,0.8888888888888888,0.8823529411764706,0.8947368421052632,0.10526315789473684,0.11764705882352941,0.033333333333333326,0.9333333333333333,0.18333333333333335,0.26666666666666666
74,Corr. Remover,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.2,0.0
88,Corr. Remover,6,0.8611111111111112,0.8235294117647058,0.8947368421052632,0.10526315789473684,0.17647058823529413,0.14814814814814814,0.6923076923076923,0.25,0.0
102,Corr. Remover,7,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.06153846153846154,0.8666666666666667,0.07692307692307687,0.9230769230769231
116,Corr. Remover,8,0.7777777777777778,0.7058823529411765,0.8421052631578947,0.15789473684210525,0.29411764705882354,0.1921182266009852,0.6637931034482759,0.5,0.0
130,Corr. Remover,9,0.9444444444444444,0.8823529411764706,1.0,0.0,0.11764705882352941,0.1111111111111111,0.75,0.1428571428571429,0.8571428571428571
5,DI Remover,0,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.0357142857142857,0.9285714285714286,0.2,0.0
19,DI Remover,1,1.0,1.0,1.0,0.0,0.0,0.025454545454545452,0.946969696969697,0.0,1.0
33,DI Remover,2,0.9166666666666666,0.9411764705882353,0.8947368421052632,0.10526315789473684,0.058823529411764705,0.0,1.0,0.25,0.0
47,DI Remover,3,0.6944444444444444,0.4117647058823529,0.9473684210526315,0.05263157894736842,0.5882352941176471,0.035714285714285726,0.8571428571428571,0.625,0.0
61,DI Remover,4,0.8888888888888888,1.0,0.7894736842105263,0.21052631578947367,0.0,0.09999999999999998,0.8333333333333334,0.04999999999999999,0.8
75,DI Remover,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.2,0.0
89,DI Remover,6,0.7222222222222222,0.4117647058823529,1.0,0.0,0.5882352941176471,0.1111111111111111,0.5,0.625,0.375
103,DI Remover,7,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.07692307692307693,0.8461538461538461,0.16666666666666666,0.0
117,DI Remover,8,0.6944444444444444,0.4117647058823529,0.9473684210526315,0.05263157894736842,0.5882352941176471,0.07881773399014777,0.7241379310344828,0.625,0.0
131,DI Remover,9,0.8611111111111112,0.7647058823529411,0.9473684210526315,0.05263157894736842,0.23529411764705882,0.07407407407407407,0.8333333333333334,0.2857142857142857,0.0
10,DI Score LR,0,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.2,0.0
24,DI Score LR,1,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.014545454545454528,0.9680000000000001,0.08333333333333337,0.9166666666666666
38,DI Score LR,2,0.9444444444444444,1.0,0.8947368421052632,0.10526315789473684,0.0,0.04166666666666663,0.9230769230769231,0.25,0.0
52,DI Score LR,3,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.3214285714285714,0.4375,0.14285714285714285,0.0
66,DI Score LR,4,0.8611111111111112,0.7647058823529411,0.9473684210526315,0.05263157894736842,0.23529411764705882,0.13333333333333336,0.7333333333333333,0.2666666666666667,0.0
80,DI Score LR,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.2,0.0
94,DI Score LR,6,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.4444444444444445,0.19999999999999998,0.0625,0.9375
108,DI Score LR,7,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.16666666666666666,0.0
122,DI Score LR,8,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.23152709359605916,0.5523809523809523,0.16666666666666666,0.0
136,DI Score LR,9,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.0,1.0,0.16666666666666666,0.0
11,DI Score SVM,0,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.0892857142857143,0.8076923076923077,0.0714285714285714,0.9285714285714286
25,DI Score SVM,1,1.0,1.0,1.0,0.0,0.0,0.025454545454545452,0.946969696969697,0.0,1.0
39,DI Score SVM,2,0.8888888888888888,0.8823529411764706,0.8947368421052632,0.10526315789473684,0.11764705882352941,0.041666666666666685,0.9166666666666666,0.25,0.0
53,DI Score SVM,3,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.3928571428571429,0.38888888888888884,0.023809523809523808,0.8571428571428571
67,DI Score SVM,4,0.75,0.7058823529411765,0.7894736842105263,0.21052631578947367,0.29411764705882354,0.2666666666666666,0.6000000000000001,0.3666666666666667,0.26666666666666666
81,DI Score SVM,5,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.15789473684210525,0.058823529411764705,0.0357142857142857,0.9333333333333333,0.0714285714285714,0.7142857142857142
95,DI Score SVM,6,0.8888888888888888,0.8823529411764706,0.8947368421052632,0.10526315789473684,0.11764705882352941,0.48148148148148145,0.1875,0.18181818181818182,0.0
109,DI Score SVM,7,0.8333333333333334,0.8823529411764706,0.7894736842105263,0.21052631578947367,0.11764705882352941,0.038461538461538436,0.9285714285714286,0.15384615384615385,0.7222222222222221
123,DI Score SVM,8,0.8055555555555556,0.7647058823529411,0.8421052631578947,0.15789473684210525,0.23529411764705882,0.374384236453202,0.27619047619047615,0.25,0.0
137,DI Score SVM,9,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.037037037037037035,0.9230769230769231,0.16666666666666666,0.0
12,Equal. Oppor. DP,0,0.8611111111111112,1.0,0.7368421052631579,0.2631578947368421,0.0,0.017857142857142905,0.9714285714285713,0.18571428571428575,0.5357142857142857
26,Equal. Oppor. DP,1,0.8055555555555556,0.9411764705882353,0.6842105263157895,0.3157894736842105,0.058823529411764705,0.2981818181818182,0.6355555555555555,0.7564102564102564,0.09230769230769231
40,Equal. Oppor. DP,2,0.8055555555555556,1.0,0.631578947368421,0.3684210526315789,0.0,0.125,0.8333333333333334,0.4431818181818182,0.2909090909090909
54,Equal. Oppor. DP,3,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.3214285714285714,0.4375,0.14285714285714285,0.0
68,Equal. Oppor. DP,4,0.9444444444444444,0.8823529411764706,1.0,0.0,0.11764705882352941,0.10000000000000003,0.7692307692307692,0.1333333333333333,0.8666666666666667
82,Equal. Oppor. DP,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.2,0.0
96,Equal. Oppor. DP,6,0.9166666666666666,0.9411764705882353,0.8947368421052632,0.10526315789473684,0.058823529411764705,0.5185185185185186,0.1764705882352941,0.18181818181818182,0.0
110,Equal. Oppor. DP,7,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.06153846153846154,0.8974358974358975,0.2564102564102564,0.23076923076923078
124,Equal. Oppor. DP,8,0.8333333333333334,1.0,0.6842105263157895,0.3157894736842105,0.0,0.270935960591133,0.6839080459770115,0.7564102564102564,0.09230769230769231
138,Equal. Oppor. DP,9,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.14814814814814814,0.7777777777777778,0.5,0.0
13,Equal. Oppor. EO,0,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.2321428571428571,0.6176470588235294,0.21428571428571427,0.0
27,Equal. Oppor. EO,1,0.9166666666666666,0.9411764705882353,0.8947368421052632,0.10526315789473684,0.058823529411764705,0.06545454545454549,0.8741258741258741,0.19999999999999996,0.46153846153846156
41,Equal. Oppor. EO,2,0.9166666666666666,0.9411764705882353,0.8947368421052632,0.10526315789473684,0.058823529411764705,0.375,0.4,0.25,0.0
55,Equal. Oppor. EO,3,1.0,1.0,1.0,0.0,0.0,0.4464285714285714,0.21875,0.0,1.0
69,Equal. Oppor. EO,4,0.9444444444444444,0.8823529411764706,1.0,0.0,0.11764705882352941,0.10000000000000003,0.7692307692307692,0.1333333333333333,0.8666666666666667
83,Equal. Oppor. EO,5,1.0,1.0,1.0,0.0,0.0,0.125,0.75,0.0,1.0
97,Equal. Oppor. EO,6,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.15789473684210525,0.058823529411764705,0.40740740740740744,0.3529411764705882,0.0625,0.6875
111,Equal. Oppor. EO,7,0.9444444444444444,1.0,0.8947368421052632,0.10526315789473684,0.0,0.038461538461538436,0.9285714285714286,0.08974358974358973,0.46153846153846156
125,Equal. Oppor. EO,8,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.44334975369458124,0.24369747899159663,0.07692307692307693,0.0
139,Equal. Oppor. EO,9,1.0,1.0,1.0,0.0,0.0,0.18518518518518517,0.6428571428571429,0.0,1.0
8,Exp. Grad. DP,0,0.8611111111111112,0.9411764705882353,0.7894736842105263,0.21052631578947367,0.058823529411764705,0.2321428571428571,0.6176470588235294,0.2857142857142857,0.0
22,Exp. Grad. DP,1,0.7222222222222222,0.6470588235294118,0.7894736842105263,0.21052631578947367,0.35294117647058826,0.20727272727272728,0.5681818181818181,0.35,0.5333333333333333
36,Exp. Grad. DP,2,0.8888888888888888,0.8235294117647058,0.9473684210526315,0.05263157894736842,0.17647058823529413,0.25,0.5,0.09615384615384615,0.0
50,Exp. Grad. DP,3,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.4464285714285714,0.21875,0.08333333333333333,0.0
64,Exp. Grad. DP,4,0.8333333333333334,0.8235294117647058,0.8421052631578947,0.15789473684210525,0.17647058823529413,0.16666666666666669,0.6666666666666666,0.3666666666666667,0.5333333333333333
78,Exp. Grad. DP,5,0.75,0.8235294117647058,0.6842105263157895,0.3157894736842105,0.17647058823529413,0.25,0.6666666666666666,0.3857142857142857,0.35714285714285715
92,Exp. Grad. DP,6,0.8333333333333334,0.8823529411764706,0.7894736842105263,0.21052631578947367,0.11764705882352941,0.40740740740740744,0.3529411764705882,0.1477272727272727,0.45833333333333337
106,Exp. Grad. DP,7,0.7222222222222222,0.7647058823529411,0.6842105263157895,0.3157894736842105,0.23529411764705882,0.09999999999999998,0.8333333333333334,0.3076923076923077,0.6923076923076923
120,Exp. Grad. DP,8,0.8333333333333334,0.8823529411764706,0.7894736842105263,0.21052631578947367,0.11764705882352941,0.6551724137931034,0.0,0.9375,0.0
134,Exp. Grad. DP,9,0.8055555555555556,0.7058823529411765,0.8947368421052632,0.10526315789473684,0.29411764705882354,0.22222222222222227,0.6,0.3571428571428571,0.0
9,Exp. Grad. EO,0,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.2321428571428571,0.6176470588235294,0.21428571428571427,0.0
23,Exp. Grad. EO,1,0.8888888888888888,0.8823529411764706,0.8947368421052632,0.10526315789473684,0.11764705882352941,0.15636363636363637,0.6993006993006993,0.15384615384615385,0.0
37,Exp. Grad. EO,2,0.8333333333333334,0.8235294117647058,0.8421052631578947,0.15789473684210525,0.17647058823529413,0.20833333333333331,0.6153846153846154,0.09615384615384615,0.6875
51,Exp. Grad. EO,3,1.0,1.0,1.0,0.0,0.0,0.4464285714285714,0.21875,0.0,1.0
65,Exp. Grad. EO,4,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.13333333333333336,0.7142857142857142,0.06666666666666665,0.9333333333333333
79,Exp. Grad. EO,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.1607142857142857,0.7000000000000001,0.07142857142857142,0.0
93,Exp. Grad. EO,6,0.8333333333333334,0.8235294117647058,0.8421052631578947,0.15789473684210525,0.17647058823529413,0.48148148148148145,0.1875,0.875,0.0
107,Exp. Grad. EO,7,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.1384615384615384,0.7428571428571429,0.07692307692307693,0.0
121,Exp. Grad. EO,8,0.9444444444444444,1.0,0.8947368421052632,0.10526315789473684,0.0,0.47783251231527096,0.23015873015873015,0.15384615384615385,0.0
135,Exp. Grad. EO,9,1.0,1.0,1.0,0.0,0.0,0.18518518518518517,0.6428571428571429,0.0,1.0
6,Grid Search DP,0,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.2321428571428571,0.6176470588235294,0.21428571428571427,0.0
20,Grid Search DP,1,0.8611111111111112,0.9411764705882353,0.7894736842105263,0.21052631578947367,0.058823529411764705,0.27636363636363637,0.5681818181818182,0.3076923076923077,0.0
34,Grid Search DP,2,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.33333333333333337,0.42857142857142855,0.25,0.0
48,Grid Search DP,3,1.0,1.0,1.0,0.0,0.0,0.4464285714285714,0.21875,0.0,1.0
62,Grid Search DP,4,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.13333333333333336,0.7142857142857142,0.1333333333333333,0.0
76,Grid Search DP,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.1607142857142857,0.7000000000000001,0.07142857142857142,0.0
90,Grid Search DP,6,1.0,1.0,1.0,0.0,0.0,0.48148148148148145,0.1875,0.0,1.0
104,Grid Search DP,7,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.2153846153846154,0.65,0.23076923076923078,0.0
118,Grid Search DP,8,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.44334975369458124,0.24369747899159663,0.07692307692307693,0.0
132,Grid Search DP,9,1.0,1.0,1.0,0.0,0.0,0.18518518518518517,0.6428571428571429,0.0,1.0
7,Grid Search EO,0,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.2321428571428571,0.6176470588235294,0.21428571428571427,0.0
21,Grid Search EO,1,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.11636363636363634,0.7575757575757577,0.19999999999999996,0.8
35,Grid Search EO,2,0.9166666666666666,0.9411764705882353,0.8947368421052632,0.10526315789473684,0.058823529411764705,0.375,0.4,0.25,0.0
49,Grid Search EO,3,1.0,1.0,1.0,0.0,0.0,0.4464285714285714,0.21875,0.0,1.0
63,Grid Search EO,4,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.13333333333333336,0.7142857142857142,0.06666666666666665,0.9333333333333333
77,Grid Search EO,5,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.1607142857142857,0.7000000000000001,0.07142857142857142,0.0
