,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-NB,B,8.1,0.3208946608946609,0.9718181818181819,0.9266666666666665,1.0,0.0,0.07333333333333333
1,Unmitigated-NB,O,27.9,0.5936096477318669,0.9018210228160173,0.985,0.8213540381187441,0.178645961881256,0.015
2,Massaging,B,8.1,0.349076479076479,1.0,1.0,1.0,0.0,0.0
3,Massaging,O,27.9,0.5532058136884332,0.889776977132372,0.9346291208791209,0.8484968952616011,0.15150310473839884,0.0653708791208791
4,Pref. Sampling,B,8.1,0.349076479076479,1.0,1.0,1.0,0.0,0.0
5,Pref. Sampling,O,27.9,0.44868377743461174,0.8756377464921681,0.820673076923077,0.9395906054729583,0.06040939452704158,0.17932692307692305
6,Reweighing,B,8.1,0.349076479076479,1.0,1.0,1.0,0.0,0.0
7,Reweighing,O,27.9,0.5651087090051217,0.9069145541353552,0.961831501831502,0.8546873714520773,0.14531262854792265,0.03816849816849817
8,Corr. Remover,B,8.1,0.5132106782106782,0.835865800865801,1.0,0.7639285714285714,0.23607142857142857,0.0
9,Corr. Remover,O,27.9,0.44181303882847267,0.8572228023902106,0.800819597069597,0.928302090066796,0.07169790993320405,0.1991804029304029
10,DI Remover,B,8.1,0.4932106782106782,0.8558658008658009,1.0,0.7847619047619048,0.21523809523809523,0.0
11,DI Remover,O,27.9,0.49674590939691043,0.8719755654317668,0.870224358974359,0.8921331609566904,0.10786683904330963,0.12977564102564101
12,Grid Search DP,B,8.1,0.3901875901875901,0.9588888888888889,1.0,0.9407142857142858,0.05928571428571429,0.0
13,Grid Search DP,O,27.9,0.5972258972231164,0.8971013250489056,0.9845238095238095,0.8113807760866585,0.18861922391334157,0.015476190476190477
14,Grid Search EO,B,8.1,0.35998556998556996,0.9709090909090909,0.9666666666666668,0.975,0.025,0.03333333333333333
15,Grid Search EO,O,27.9,0.4878010782681249,0.872697364864773,0.8574725274725274,0.8956397524044583,0.10436024759554172,0.1425274725274725
16,Exp. Grad. DP,B,8.1,0.4834199134199134,0.7974747474747474,0.93,0.7314285714285714,0.26857142857142857,0.06999999999999999
17,Exp. Grad. DP,O,27.9,0.6073588567068823,0.8824326512794254,0.9779487179487178,0.7836501733560558,0.2163498266439443,0.02205128205128205
18,Exp. Grad. EO,B,8.1,0.3581673881673881,0.990909090909091,1.0,0.9875,0.0125,0.0
19,Exp. Grad. EO,O,27.9,0.5289461667262001,0.9070339929660008,0.9263553113553114,0.8906397524044584,0.10936024759554172,0.07364468864468865
20,DI Score,,8.1,0.5273015873015873,0.8217748917748917,1.0,0.7222619047619048,0.2777380952380952,0.0
21,DI Score,,27.9,0.4514594184602528,0.890913387517809,0.8354349816849818,0.9513553113553112,0.04864468864468864,0.1645650183150183
22,Equal. Oppor. DP,,8.1,0.5748015873015873,0.7379112554112555,0.96,0.6288095238095238,0.3711904761904762,0.04
23,Equal. Oppor. DP,,27.9,0.5936096477318669,0.9018210228160173,0.985,0.8213540381187441,0.178645961881256,0.015
24,Equal. Oppor. EO,,8.1,0.4165764790764791,0.8761363636363637,0.9266666666666665,0.8416666666666666,0.15833333333333333,0.07333333333333333
25,Equal. Oppor. EO,,27.9,0.5776096477318668,0.8938210228160172,0.96,0.8290463458110517,0.1709536541889483,0.039999999999999994
