,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-NB,0.9138888888888888,0.9705882352941178,0.8631578947368421,0.13684210526315788,0.029411764705882353,0.27271498683720596,0.5383335991493886,0.22762032085561498,0.1
1,Massaging,0.913888888888889,0.9470588235294117,0.8842105263157893,0.11578947368421051,0.052941176470588235,0.20703842552104512,0.6333149026117624,0.18095365418894832,0.08571428571428572
2,Pref. Sampling,0.9055555555555556,0.8529411764705882,0.9526315789473683,0.047368421052631574,0.14705882352941177,0.1256592464100807,0.730136147186147,0.1914350355526826,0.2966666666666667
3,Reweighing,0.9277777777777777,0.9705882352941178,0.8894736842105264,0.11052631578947367,0.029411764705882353,0.21894132083773354,0.6191602262890189,0.16142984466513877,0.09285714285714286
4,Corr. Remover,0.8555555555555555,0.8352941176470589,0.873684210526316,0.12631578947368421,0.16470588235294117,0.09755504678961298,0.8157478225382915,0.30776933850463256,0.08
5,DI Remover,0.8694444444444445,0.8882352941176471,0.8526315789473685,0.14736842105263154,0.11176470588235295,0.03829509201505864,0.9244196340058408,0.22067819435466496,0.15555555555555553
6,Grid Search DP,0.9083333333333332,0.9882352941176471,0.8368421052631578,0.1631578947368421,0.011764705882352941,0.20703830703552617,0.6540991636502473,0.1507537560478737,0.3912987012987013
7,Grid Search EO,0.8972222222222219,0.8764705882352942,0.9157894736842105,0.08421052631578947,0.12352941176470589,0.1450103134773602,0.7236584563011806,0.17650310473839886,0.38992673992674
8,Exp. Grad. DP,0.861111111111111,0.9705882352941178,0.763157894736842,0.2368421052631579,0.02941176470588235,0.17393894328696888,0.7215380999289669,0.1404329004329004,0.6352181152181152
9,Exp. Grad. EO,0.925,0.9411764705882352,0.9105263157894736,0.0894736842105263,0.058823529411764705,0.18168786946790286,0.6707743824802648,0.1609536541889483,0.18
10,DI Score,0.8777777777777779,0.8647058823529411,0.8894736842105264,0.11052631578947367,0.13529411764705884,0.11388279010776228,0.8133788177339902,0.2970238095238095,0.12615384615384614
11,Equal. Oppor. DP,0.8666666666666668,0.9764705882352942,0.7684210526315789,0.23157894736842105,0.023529411764705882,0.12800677837899754,0.8206354099117256,0.3009511077158136,0.33968841615900447
12,Equal. Oppor. EO,0.8888888888888887,0.9529411764705882,0.8315789473684211,0.16842105263157892,0.04705882352941177,0.2191922595644787,0.6314475810738969,0.19904634581105168,0.33842245989304814
