,algorithm,run_id,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,B,5,0.6,0.6,1.0,0.5,0.5,0.0
9,Corr. Remover,0,O,31,0.5483870967741935,0.9032258064516129,0.9375,0.8666666666666667,0.13333333333333333,0.0625
34,Corr. Remover,1,B,6,0.5,0.8333333333333334,1.0,0.75,0.25,0.0
35,Corr. Remover,1,O,30,0.43333333333333335,0.8666666666666667,0.8,0.9333333333333333,0.06666666666666667,0.2
60,Corr. Remover,2,B,11,0.45454545454545453,1.0,1.0,1.0,0.0,0.0
61,Corr. Remover,2,O,25,0.36,0.8,0.6666666666666666,0.9230769230769231,0.07692307692307693,0.3333333333333333
86,Corr. Remover,3,B,10,0.5,0.7,1.0,0.625,0.375,0.0
87,Corr. Remover,3,O,26,0.4230769230769231,0.8461538461538461,0.7333333333333333,1.0,0.0,0.26666666666666666
112,Corr. Remover,4,B,11,0.45454545454545453,0.8181818181818182,1.0,0.75,0.25,0.0
113,Corr. Remover,4,O,25,0.24,0.68,0.42857142857142855,1.0,0.0,0.5714285714285714
138,Corr. Remover,5,B,8,0.75,0.75,1.0,0.5,0.5,0.0
139,Corr. Remover,5,O,28,0.5357142857142857,0.9285714285714286,1.0,0.8666666666666667,0.13333333333333333,0.0
164,Corr. Remover,6,B,7,0.42857142857142855,0.8571428571428571,1.0,0.8,0.2,0.0
165,Corr. Remover,6,O,29,0.3793103448275862,0.8620689655172413,0.7333333333333333,1.0,0.0,0.26666666666666666
190,Corr. Remover,7,B,9,0.4444444444444444,1.0,1.0,1.0,0.0,0.0
191,Corr. Remover,7,O,27,0.48148148148148145,0.9259259259259259,0.9230769230769231,0.9285714285714286,0.07142857142857142,0.07692307692307693
216,Corr. Remover,8,B,4,0.5,1.0,1.0,1.0,0.0,0.0
217,Corr. Remover,8,O,32,0.59375,0.875,1.0,0.7647058823529411,0.23529411764705882,0.0
242,Corr. Remover,9,B,10,0.5,0.8,1.0,0.7142857142857143,0.2857142857142857,0.0
243,Corr. Remover,9,O,26,0.4230769230769231,0.8846153846153846,0.7857142857142857,1.0,0.0,0.21428571428571427
10,DI Remover,0,B,5,0.4,0.8,1.0,0.75,0.25,0.0
11,DI Remover,0,O,31,0.41935483870967744,0.9032258064516129,0.8125,1.0,0.0,0.1875
36,DI Remover,1,B,6,0.5,0.8333333333333334,1.0,0.75,0.25,0.0
37,DI Remover,1,O,30,0.5,1.0,1.0,1.0,0.0,0.0
62,DI Remover,2,B,11,0.5454545454545454,0.9090909090909091,1.0,0.8333333333333334,0.16666666666666666,0.0
63,DI Remover,2,O,25,0.6,0.88,1.0,0.7692307692307693,0.23076923076923078,0.0
88,DI Remover,3,B,10,0.5,0.7,1.0,0.625,0.375,0.0
89,DI Remover,3,O,26,0.38461538461538464,0.8076923076923077,0.6666666666666666,1.0,0.0,0.3333333333333333
114,DI Remover,4,B,11,0.36363636363636365,0.9090909090909091,1.0,0.875,0.125,0.0
115,DI Remover,4,O,25,0.32,0.76,0.5714285714285714,1.0,0.0,0.42857142857142855
140,DI Remover,5,B,8,0.75,0.75,1.0,0.5,0.5,0.0
141,DI Remover,5,O,28,0.7857142857142857,0.6785714285714286,1.0,0.4,0.6,0.0
166,DI Remover,6,B,7,0.42857142857142855,0.8571428571428571,1.0,0.8,0.2,0.0
167,DI Remover,6,O,29,0.41379310344827586,0.896551724137931,0.8,1.0,0.0,0.2
192,DI Remover,7,B,9,0.4444444444444444,1.0,1.0,1.0,0.0,0.0
193,DI Remover,7,O,27,0.48148148148148145,0.9259259259259259,0.9230769230769231,0.9285714285714286,0.07142857142857142,0.07692307692307693
218,DI Remover,8,B,4,0.5,1.0,1.0,1.0,0.0,0.0
219,DI Remover,8,O,32,0.5625,0.90625,1.0,0.8235294117647058,0.17647058823529413,0.0
244,DI Remover,9,B,10,0.5,0.8,1.0,0.7142857142857143,0.2857142857142857,0.0
245,DI Remover,9,O,26,0.5,0.9615384615384616,0.9285714285714286,1.0,0.0,0.07142857142857142
20,DI Score,0,B,5,0.4,0.8,1.0,0.75,0.25,0.0
21,DI Score,0,O,31,0.5161290322580645,0.9354838709677419,0.9375,0.9333333333333333,0.06666666666666667,0.0625
46,DI Score,1,B,6,0.5,0.8333333333333334,1.0,0.75,0.25,0.0
47,DI Score,1,O,30,0.43333333333333335,0.8666666666666667,0.8,0.9333333333333333,0.06666666666666667,0.2
72,DI Score,2,B,11,0.5454545454545454,0.9090909090909091,1.0,0.8333333333333334,0.16666666666666666,0.0
73,DI Score,2,O,25,0.36,0.8,0.6666666666666666,0.9230769230769231,0.07692307692307693,0.3333333333333333
98,DI Score,3,B,10,0.5,0.7,1.0,0.625,0.375,0.0
99,DI Score,3,O,26,0.5,0.9230769230769231,0.8666666666666667,1.0,0.0,0.13333333333333333
124,DI Score,4,B,11,0.45454545454545453,0.8181818181818182,1.0,0.75,0.25,0.0
125,DI Score,4,O,25,0.44,0.88,0.7857142857142857,1.0,0.0,0.21428571428571427
150,DI Score,5,B,8,0.75,0.75,1.0,0.5,0.5,0.0
151,DI Score,5,O,28,0.4642857142857143,0.8571428571428571,0.8461538461538461,0.8666666666666667,0.13333333333333333,0.15384615384615385
176,DI Score,6,B,7,0.42857142857142855,0.8571428571428571,1.0,0.8,0.2,0.0
177,DI Score,6,O,29,0.3448275862068966,0.8275862068965517,0.6666666666666666,1.0,0.0,0.3333333333333333
202,DI Score,7,B,9,0.4444444444444444,1.0,1.0,1.0,0.0,0.0
203,DI Score,7,O,27,0.5185185185185185,0.8888888888888888,0.9230769230769231,0.8571428571428571,0.14285714285714285,0.07692307692307693
228,DI Score,8,B,4,0.75,0.75,1.0,0.5,0.5,0.0
229,DI Score,8,O,32,0.4375,0.96875,0.9333333333333333,1.0,0.0,0.06666666666666667
254,DI Score,9,B,10,0.5,0.8,1.0,0.7142857142857143,0.2857142857142857,0.0
255,DI Score,9,O,26,0.5,0.9615384615384616,0.9285714285714286,1.0,0.0,0.07142857142857142
22,Equal. Oppor. DP,0,B,5,0.6,0.6,1.0,0.5,0.5,0.0
23,Equal. Oppor. DP,0,O,31,0.6129032258064516,0.9032258064516129,1.0,0.8,0.2,0.0
48,Equal. Oppor. DP,1,B,6,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
49,Equal. Oppor. DP,1,O,30,0.6333333333333333,0.8666666666666667,1.0,0.7333333333333333,0.26666666666666666,0.0
74,Equal. Oppor. DP,2,B,11,0.45454545454545453,0.6363636363636364,0.6,0.6666666666666666,0.3333333333333333,0.4
75,Equal. Oppor. DP,2,O,25,0.48,0.92,0.9166666666666666,0.9230769230769231,0.07692307692307693,0.08333333333333333
100,Equal. Oppor. DP,3,B,10,0.3,0.9,1.0,0.875,0.125,0.0
101,Equal. Oppor. DP,3,O,26,0.6153846153846154,0.9615384615384616,1.0,0.9090909090909091,0.09090909090909091,0.0
126,Equal. Oppor. DP,4,B,11,0.5454545454545454,0.7272727272727273,1.0,0.625,0.375,0.0
127,Equal. Oppor. DP,4,O,25,0.56,1.0,1.0,1.0,0.0,0.0
152,Equal. Oppor. DP,5,B,8,0.625,0.875,1.0,0.75,0.25,0.0
153,Equal. Oppor. DP,5,O,28,0.6428571428571429,0.8214285714285714,1.0,0.6666666666666666,0.3333333333333333,0.0
178,Equal. Oppor. DP,6,B,7,0.42857142857142855,0.8571428571428571,1.0,0.8,0.2,0.0
179,Equal. Oppor. DP,6,O,29,0.5172413793103449,0.9310344827586207,0.9333333333333333,0.9285714285714286,0.07142857142857142,0.06666666666666667
204,Equal. Oppor. DP,7,B,9,0.4444444444444444,1.0,1.0,1.0,0.0,0.0
205,Equal. Oppor. DP,7,O,27,0.7037037037037037,0.7777777777777778,1.0,0.5714285714285714,0.42857142857142855,0.0
230,Equal. Oppor. DP,8,B,4,0.75,0.75,1.0,0.5,0.5,0.0
231,Equal. Oppor. DP,8,O,32,0.59375,0.875,1.0,0.7647058823529411,0.23529411764705882,0.0
256,Equal. Oppor. DP,9,B,10,0.6,0.7,1.0,0.5714285714285714,0.42857142857142855,0.0
257,Equal. Oppor. DP,9,O,26,0.5769230769230769,0.9615384615384616,1.0,0.9166666666666666,0.08333333333333333,0.0
24,Equal. Oppor. EO,0,B,5,0.4,0.8,1.0,0.75,0.25,0.0
25,Equal. Oppor. EO,0,O,31,0.6129032258064516,0.9032258064516129,1.0,0.8,0.2,0.0
50,Equal. Oppor. EO,1,B,6,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
51,Equal. Oppor. EO,1,O,30,0.6333333333333333,0.8666666666666667,1.0,0.7333333333333333,0.26666666666666666,0.0
76,Equal. Oppor. EO,2,B,11,0.45454545454545453,0.6363636363636364,0.6,0.6666666666666666,0.3333333333333333,0.4
77,Equal. Oppor. EO,2,O,25,0.32,0.84,0.6666666666666666,1.0,0.0,0.3333333333333333
102,Equal. Oppor. EO,3,B,10,0.4,0.8,1.0,0.75,0.25,0.0
103,Equal. Oppor. EO,3,O,26,0.6153846153846154,0.9615384615384616,1.0,0.9090909090909091,0.09090909090909091,0.0
128,Equal. Oppor. EO,4,B,11,0.2727272727272727,1.0,1.0,1.0,0.0,0.0
129,Equal. Oppor. EO,4,O,25,0.56,1.0,1.0,1.0,0.0,0.0
154,Equal. Oppor. EO,5,B,8,0.625,0.875,1.0,0.75,0.25,0.0
155,Equal. Oppor. EO,5,O,28,0.6428571428571429,0.8214285714285714,1.0,0.6666666666666666,0.3333333333333333,0.0
180,Equal. Oppor. EO,6,B,7,0.2857142857142857,1.0,1.0,1.0,0.0,0.0
181,Equal. Oppor. EO,6,O,29,0.5172413793103449,0.9310344827586207,0.9333333333333333,0.9285714285714286,0.07142857142857142,0.06666666666666667
206,Equal. Oppor. EO,7,B,9,0.4444444444444444,1.0,1.0,1.0,0.0,0.0
207,Equal. Oppor. EO,7,O,27,0.7037037037037037,0.7777777777777778,1.0,0.5714285714285714,0.42857142857142855,0.0
232,Equal. Oppor. EO,8,B,4,0.75,0.75,1.0,0.5,0.5,0.0
233,Equal. Oppor. EO,8,O,32,0.59375,0.875,1.0,0.7647058823529411,0.23529411764705882,0.0
258,Equal. Oppor. EO,9,B,10,0.2,0.9,0.6666666666666666,1.0,0.0,0.3333333333333333
259,Equal. Oppor. EO,9,O,26,0.5769230769230769,0.9615384615384616,1.0,0.9166666666666666,0.08333333333333333,0.0
16,Exp. Grad. DP,0,B,5,0.4,0.8,1.0,0.75,0.25,0.0
17,Exp. Grad. DP,0,O,31,0.6451612903225806,0.8709677419354839,1.0,0.7333333333333333,0.26666666666666666,0.0
42,Exp. Grad. DP,1,B,6,0.5,0.8333333333333334,1.0,0.75,0.25,0.0
43,Exp. Grad. DP,1,O,30,0.6,0.9,1.0,0.8,0.2,0.0
68,Exp. Grad. DP,2,B,11,0.6363636363636364,0.6363636363636364,0.8,0.5,0.5,0.2
69,Exp. Grad. DP,2,O,25,0.64,0.84,1.0,0.6923076923076923,0.3076923076923077,0.0
94,Exp. Grad. DP,3,B,10,0.3,0.9,1.0,0.875,0.125,0.0
95,Exp. Grad. DP,3,O,26,0.6538461538461539,0.9230769230769231,1.0,0.8181818181818182,0.18181818181818182,0.0
120,Exp. Grad. DP,4,B,11,0.5454545454545454,0.7272727272727273,1.0,0.625,0.375,0.0
121,Exp. Grad. DP,4,O,25,0.68,0.88,1.0,0.7272727272727273,0.2727272727272727,0.0
146,Exp. Grad. DP,5,B,8,0.75,0.75,1.0,0.5,0.5,0.0
147,Exp. Grad. DP,5,O,28,0.5,0.8214285714285714,0.8461538461538461,0.8,0.2,0.15384615384615385
172,Exp. Grad. DP,6,B,7,0.2857142857142857,1.0,1.0,1.0,0.0,0.0
173,Exp. Grad. DP,6,O,29,0.5172413793103449,1.0,1.0,1.0,0.0,0.0
198,Exp. Grad. DP,7,B,9,0.6666666666666666,0.7777777777777778,1.0,0.6,0.4,0.0
199,Exp. Grad. DP,7,O,27,0.6666666666666666,0.8148148148148148,1.0,0.6428571428571429,0.35714285714285715,0.0
224,Exp. Grad. DP,8,B,4,0.25,0.75,0.5,1.0,0.0,0.5
225,Exp. Grad. DP,8,O,32,0.59375,0.8125,0.9333333333333333,0.7058823529411765,0.29411764705882354,0.06666666666666667
250,Exp. Grad. DP,9,B,10,0.5,0.8,1.0,0.7142857142857143,0.2857142857142857,0.0
251,Exp. Grad. DP,9,O,26,0.5769230769230769,0.9615384615384616,1.0,0.9166666666666666,0.08333333333333333,0.0
18,Exp. Grad. EO,0,B,5,0.2,1.0,1.0,1.0,0.0,0.0
19,Exp. Grad. EO,0,O,31,0.5806451612903226,0.9354838709677419,1.0,0.8666666666666667,0.13333333333333333,0.0
44,Exp. Grad. EO,1,B,6,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
45,Exp. Grad. EO,1,O,30,0.5333333333333333,0.9666666666666667,1.0,0.9333333333333333,0.06666666666666667,0.0
70,Exp. Grad. EO,2,B,11,0.45454545454545453,1.0,1.0,1.0,0.0,0.0
