,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8611111111111112,0.9411764705882353,0.7894736842105263,0.21052631578947367,0.058823529411764705,0.05161290322580647,0.9139784946236559,0.3666666666666667,0.26666666666666666
17,Corr. Remover,1,0.8611111111111112,0.8235294117647058,0.8947368421052632,0.10526315789473684,0.17647058823529413,0.06666666666666665,0.8666666666666667,0.19999999999999996,0.26666666666666666
30,Corr. Remover,2,0.8611111111111112,0.7647058823529411,0.9473684210526315,0.05263157894736842,0.23529411764705882,0.09454545454545454,0.792,0.33333333333333337,0.0
43,Corr. Remover,3,0.8055555555555556,0.7647058823529411,0.8421052631578947,0.15789473684210525,0.23529411764705882,0.07692307692307693,0.8461538461538461,0.375,0.0
56,Corr. Remover,4,0.7222222222222222,0.5294117647058824,0.8947368421052632,0.10526315789473684,0.47058823529411764,0.21454545454545454,0.528,0.5714285714285714,0.0
69,Corr. Remover,5,0.8888888888888888,1.0,0.7894736842105263,0.21052631578947367,0.0,0.2142857142857143,0.7142857142857143,0.3666666666666667,0.26666666666666666
82,Corr. Remover,6,0.8611111111111112,0.7647058823529411,0.9473684210526315,0.05263157894736842,0.23529411764705882,0.04926108374384236,0.8850574712643678,0.2666666666666667,0.0
95,Corr. Remover,7,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.037037037037037035,0.9230769230769231,0.07692307692307687,0.0
108,Corr. Remover,8,0.8888888888888888,1.0,0.7894736842105263,0.21052631578947367,0.0,0.09375,0.8421052631578947,0.23529411764705882,0.0
121,Corr. Remover,9,0.8611111111111112,0.8235294117647058,0.8947368421052632,0.10526315789473684,0.17647058823529413,0.07692307692307693,0.8461538461538461,0.2857142857142857,0.0
5,DI Remover,0,0.8888888888888888,0.8235294117647058,0.9473684210526315,0.05263157894736842,0.17647058823529413,0.019354838709677413,0.9538461538461539,0.25,0.0
18,DI Remover,1,0.9722222222222222,1.0,0.9473684210526315,0.05263157894736842,0.0,0.0,1.0,0.25,0.0
31,DI Remover,2,0.8888888888888888,1.0,0.7894736842105263,0.21052631578947367,0.0,0.054545454545454564,0.9090909090909091,0.06410256410256412,0.7222222222222221
