,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Female,4844.6,0.04749113876598324,0.910068941911421,0.30774933769154955,0.9847166101859814,0.015283389814018491,0.6922506623084504
1,Unmitigated-LR,Male,9808.4,0.2577564961532805,0.7947827655658263,0.5867094332278812,0.8852442787304703,0.11475572126952974,0.41329056677211884
2,Massaging,Female,4844.6,0.06041320564749403,0.9082182494739636,0.3580656242903294,0.9764168764361203,0.023583123563879673,0.6419343757096707
3,Massaging,Male,9808.4,0.2741547523751126,0.7907056325750674,0.6070309036749798,0.8705570118073632,0.12944298819263672,0.3929690963250202
4,Pref. Sampling,Female,4844.6,0.038472279046973965,0.9016689419054662,0.2285737088186043,0.9850648216154594,0.014935178384540528,0.7714262911813957
5,Pref. Sampling,Male,9808.4,0.1824067640367492,0.7813319735233775,0.44015342990170964,0.9296487646442181,0.07035123535578208,0.5598465700982904
6,Reweighing,Female,4844.6,0.048257375648172146,0.9092262816310347,0.3074243086712224,0.9838121407621057,0.016187859237894352,0.6925756913287776
7,Reweighing,Male,9808.4,0.25532124818066343,0.7948130941446554,0.5827282459461867,0.8870131737634861,0.1129868262365139,0.4172717540538134
8,Corr. Remover,Female,4844.6,0.12814098044851244,0.8971370711255385,0.6148297452663308,0.9321288413780694,0.0678711586219306,0.38517025473366934
9,Corr. Remover,Male,9808.4,0.1972302894360396,0.7899932772104312,0.47889327966678963,0.9252259502171487,0.07477404978285128,0.5211067203332104
10,DI Remover,Female,4844.6,0.04886514256562021,0.9100893405919018,0.31411678293141143,0.9839551273310475,0.01604487266895252,0.6858832170685886
11,DI Remover,Male,9808.4,0.2620786752989378,0.7939664755482913,0.5924685266576297,0.8815534360058775,0.11844656399412261,0.40753147334237017
12,Grid Search DP,Female,4844.6,0.05484203665614571,0.9017691731617978,0.30329890074635113,0.9759201617536701,0.02407983824632986,0.6967010992536489
13,Grid Search DP,Male,9808.4,0.21513766706320325,0.788973504596903,0.5067891372110261,0.9116514440205943,0.08834855597940565,0.49321086278897397
14,Grid Search EO,Female,4844.6,0.057637861579891994,0.9042602750942514,0.3274244632185439,0.9757638931327846,0.02423610686721556,0.6725755367814561
15,Grid Search EO,Male,9808.4,0.23906366509099275,0.7891083225611737,0.5465782703669718,0.8945945277816788,0.10540547221832122,0.4534217296330282
16,Exp. Grad. DP,Female,4844.6,0.07371314234705803,0.8797235025814775,0.2888575974010692,0.9529232732459505,0.04707672675404943,0.7111424025989307
17,Exp. Grad. DP,Male,9808.4,0.17905262020717658,0.7660415650023291,0.4094338435559883,0.9210915943566722,0.07890840564332764,0.5905661564440117
18,Exp. Grad. EO,Female,4844.6,0.05756195693646906,0.9026780580668772,0.3197717837962107,0.9749047754155438,0.02509522458445613,0.6802282162037893
19,Exp. Grad. EO,Male,9808.4,0.23295703382843005,0.7808320801025801,0.5227693070361721,0.8930280555161051,0.10697194448389484,0.47723069296382786
20,DI Score LR,,4844.6,0.048418162995059924,0.9094302499472852,0.3090487254341806,0.9838348252938027,0.016165174706197293,0.6909512745658193
21,DI Score LR,,9808.4,0.2574920443395519,0.7941287358892879,0.5851818817121184,0.8849648614295751,0.115035138570425,0.4148181182878816
22,DI Score SVM,,4844.6,0.11937452418457864,0.8843427239923726,0.5170872217391328,0.9298658589885329,0.070134141011467,0.4829127782608672
23,DI Score SVM,,9808.4,0.38597446366517374,0.7543129715435484,0.7314893175559485,0.7642325511891175,0.23576744881088257,0.26851068244405146
24,Equal. Oppor. DP,,4844.6,0.0676026152914285,0.8913204456672835,0.31393441899440483,0.96287557035567,0.03712442964433014,0.6860655810055952
25,Equal. Oppor. DP,,9808.4,0.26689094321877754,0.7869738093483678,0.5888954058524082,0.8730893574696104,0.12691064253038958,0.41110459414759176
26,Equal. Oppor. EO,,4844.6,0.03856957121013828,0.8996618391536757,0.21972003852109162,0.9838817728916893,0.016118227108310654,0.7802799614789084
27,Equal. Oppor. EO,,9808.4,0.17963220133943336,0.7624388725386548,0.40443591223288716,0.9180919326851733,0.08190806731482655,0.5955640877671128
