,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8329011124001913,0.5441814033086139,0.9237104153583925,0.07628958464160761,0.4558185966913862,0.21026535738729724,0.18424613641118068,0.27896009553633155,0.13325658150396547
1,Massaging,0.82955708728588,0.5690530519110097,0.9114918812236477,0.08850811877635237,0.4309469480889903,0.2137415467276186,0.22034988583777312,0.24896527938465046,0.18244591603398488
2,Pref. Sampling,0.8211219545485566,0.4079292641186537,0.9510810083430516,0.04891899165694806,0.5920707358813463,0.14393448498977526,0.21098194016009425,0.21157972108310527,0.2130964262361675
3,Reweighing,0.8326417798403059,0.5407586993725043,0.9244460392930833,0.07555396070691665,0.4592413006274957,0.2070638725324913,0.18897983429108176,0.27530393727496427,0.14330297898374314
4,Corr. Remover,0.8254214154098136,0.49957216200798626,0.9279088544002869,0.07209114559971293,0.5004278379920137,0.06908930898752716,0.65273547899099,0.13593646559954112,0.7764359705793231
5,DI Remover,0.8323619736572715,0.550028522532801,0.9211626446577554,0.07883735534224455,0.44997147746719907,0.21321353273331764,0.18639726941389245,0.27835174372621824,0.13517378343449382
6,Grid Search DP,0.8262676584999659,0.4757843696520251,0.93650309500314,0.06349690499686014,0.5242156303479748,0.1602956304070575,0.2549381002629045,0.2034902364646749,0.2726743643032426
7,Grid Search EO,0.8271821470006142,0.513063320022818,0.9259800843276217,0.07401991567237821,0.486936679977182,0.18142580351110077,0.2460993631342931,0.21915380714842775,0.24278661001849025
8,Exp. Grad. DP,0.8036306558383949,0.3910439247005134,0.9333991208396878,0.06660087916031218,0.6089560752994867,0.10533947786011855,0.41220781005011,0.12057624615491899,0.5981334657842768
9,Exp. Grad. EO,0.8211151300075071,0.491814033086138,0.9246882569301157,0.07531174306988427,0.508185966913862,0.175395076891961,0.2472653004806275,0.20299752323996145,0.23505794428200275
10,DI Score LR,0.8322527810004777,0.5430975470621792,0.9231990670135464,0.07680093298645375,0.45690245293782084,0.20907388134449198,0.18799046185457485,0.2761331562779378,0.14039213641094989
11,DI Score SVM,0.7972974817443527,0.6988020536223616,0.8282766663676325,0.17172333363236744,0.3011979463776383,0.266599939480595,0.30931254772088107,0.2144020958168158,0.2976513811927219
12,Equal. Oppor. DP,0.8214768306831365,0.5469766115231033,0.9078137615501929,0.09218623844980711,0.4530233884768968,0.19928832792734905,0.2533426247211996,0.27496098685800335,0.2930310216323265
13,Equal. Oppor. EO,0.8078072749607589,0.37629777524244157,0.9435274064770791,0.05647259352292096,0.6237022247575584,0.14106263012929507,0.21493522050558417,0.18471587371179557,0.19711587356490873
