,algorithm,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Black,1404.0,0.06206671821484194,0.9024983364312027,0.3536372607847201,0.9781805032260568,0.02181949677394316,0.6463627392152799
1,Unmitigated-LR,Other,13249.0,0.20252742247860592,0.8275859181688642,0.5597967070713472,0.9176966329757977,0.08230336702420214,0.4402032929286527
2,Massaging,Black,1404.0,0.10031540597396198,0.8763127689662117,0.4035532168812419,0.9415224440856793,0.05847755591432059,0.5964467831187581
3,Massaging,Other,13249.0,0.23102640890832088,0.8071763708171558,0.5758617229801353,0.885014345039138,0.11498565496086206,0.4241382770198646
4,Pref. Sampling,Black,1404.0,0.0808535812405852,0.8714029768697976,0.30293510628193154,0.9498070977142532,0.05019290228574684,0.6970648937180683
5,Pref. Sampling,Other,13249.0,0.1791503151014862,0.8002398681631651,0.4590687213838532,0.9150447821845924,0.08495521781540773,0.5409312786161469
6,Reweighing,Black,1404.0,0.06328534012636886,0.8954212859163183,0.3299522220564265,0.9734692621691057,0.026530737830894206,0.6700477779435736
7,Reweighing,Other,13249.0,0.18989236847021024,0.8235857716150388,0.5267640097137343,0.923467339698299,0.07653266030170094,0.4732359902862656
8,Corr. Remover,Black,1404.0,0.16965112705780389,0.8611600419919629,0.6248569059112696,0.8933801984551065,0.10661980154489356,0.37514309408873037
9,Corr. Remover,Other,13249.0,0.1777244237093178,0.822030486418026,0.49950553709301815,0.9305587563147245,0.06944124368527553,0.5004944629069819
10,DI Remover,Black,1404.0,0.059065200209174384,0.9015040424454961,0.3372426685461396,0.9793199863682908,0.020680013631709085,0.6627573314538604
11,DI Remover,Other,13249.0,0.19645881695183412,0.8276465341261655,0.5478627064839243,0.9217921567597662,0.07820784324023372,0.45213729351607573
12,Grid Search DP,Black,1404.0,0.07733232832114897,0.8765271613351626,0.30959534870474026,0.9546654932579817,0.04533450674201813,0.6904046512952597
13,Grid Search DP,Other,13249.0,0.15440443449208713,0.8040567985604351,0.4174952427688054,0.9341349674286935,0.06586503257130642,0.5825047572311947
14,Grid Search EO,Black,1404.0,0.0848998224950926,0.8769625648447036,0.340183822725831,0.9504607582192879,0.049539241780712014,0.6598161772741691
15,Grid Search EO,Other,13249.0,0.18468828956388467,0.7952352748532884,0.46019491219196357,0.9080091063684461,0.09199089363155392,0.5398050878080365
16,Exp. Grad. DP,Black,1404.0,0.10217253554969659,0.8576504710930779,0.33410076922364773,0.9298460196437824,0.07015398035621752,0.6658992307763524
17,Exp. Grad. DP,Other,13249.0,0.15214899103795057,0.785658244786683,0.3764968422311409,0.9233444133654336,0.07665558663456658,0.623503157768859
18,Exp. Grad. EO,Black,1404.0,0.08723102580086148,0.8835746631928509,0.3797471175690805,0.9530791922153599,0.04692080778463991,0.6202528824309195
19,Exp. Grad. EO,Other,13249.0,0.190197028838913,0.8101802660597549,0.5007424332193001,0.914305329637858,0.08569467036214186,0.49925756678069994
20,DI Score LR,,1404.0,0.06522322629394879,0.9001725376634013,0.3569369393059176,0.9750777326069011,0.024922267393098774,0.6430630606940826
21,DI Score LR,,13249.0,0.19922451745879124,0.8257455532417157,0.5495993350924174,0.9186745487161853,0.0813254512838147,0.45040066490758257
22,DI Score SVM,,1404.0,0.1322581842393151,0.8557586975767281,0.44949326611758134,0.9116276176234017,0.08837238237659842,0.5505067338824187
23,DI Score SVM,,13249.0,0.2926170038358347,0.7760661918616499,0.6363844745491825,0.8230683270813115,0.1769316729186885,0.3636155254508175
24,Equal. Oppor. DP,,1404.0,0.02168665837844056,0.8876127839174875,0.12592410499686402,0.9926857005435451,0.007314299456454928,0.874075895003136
25,Equal. Oppor. DP,,13249.0,0.052615162562752324,0.7686081604122383,0.144970497055842,0.9784635163665459,0.02153648363345402,0.855029502944158
26,Equal. Oppor. EO,,1404.0,0.06636414798993372,0.8703883700107561,0.23980313929797187,0.9574791996155796,0.04252080038442042,0.7601968607020282
27,Equal. Oppor. EO,,13249.0,0.14599927443754837,0.7858933441963,0.36475701613969563,0.9276114699621593,0.07238853003784072,0.6352429838603043
