,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8347642121067358,0.5498003422703935,0.9243922131515205,0.07560778684847941,0.45019965772960635,0.140460704263764,0.3064944256103208,0.20615944628662725,0.26493009896912517
1,Massaging,0.8138060465433699,0.5675128351397604,0.8912711940432402,0.10872880595675967,0.4324871648602396,0.13071100293435892,0.434192333181461,0.17230850609889353,0.5083210845658328
2,Pref. Sampling,0.8070633999863508,0.4515116942384484,0.918892975688526,0.08110702431147394,0.5484883057615516,0.098296733860901,0.4516089599769762,0.15613361510192156,0.5764364629917451
3,Reweighing,0.8304715757865282,0.5171990872789504,0.9290033192787298,0.0709966807212703,0.4828009127210497,0.12660702834384135,0.3331585604649313,0.1968117876573078,0.34686733381105683
4,Corr. Remover,0.8257831160854433,0.5057045065601825,0.9264555485780928,0.07354445142190723,0.4942954934398175,0.05837084442128028,0.7247614951069374,0.12538591320959638,0.7261587394097293
5,DI Remover,0.8347232648604382,0.5376497432972047,0.9281600430609134,0.07183995693908675,0.46235025670279517,0.13739361674265974,0.30073833443395753,0.21062003793778458,0.2642376464395536
6,Grid Search DP,0.8110011601719783,0.41226468910439246,0.9364133847672018,0.06358661523279806,0.5877353108956075,0.07707210617093814,0.4928440706979277,0.11164121024346318,0.47329728472730476
7,Grid Search EO,0.8030573943902273,0.4544209925841415,0.9127119404324032,0.08728805956759667,0.5455790074158585,0.09978846706879205,0.44829921175872184,0.12001108946613262,0.48040484418124174
8,Exp. Grad. DP,0.7925544257148707,0.3744438106103822,0.9240602852785506,0.0759397147214497,0.6255561893896179,0.04997645548825399,0.670856130720775,0.04534030385042578,0.838549923837537
9,Exp. Grad. EO,0.8172114925271275,0.49486594409583573,0.9185969319099311,0.08140306809006907,0.5051340559041644,0.10296600303805152,0.4584487998829957,0.12099531565021963,0.5469508567023355
10,DI Score LR,0.8328806387770424,0.5402452937820879,0.9249215035435544,0.07507849645644568,0.4597547062179122,0.13400129116484247,0.3280837734627835,0.19266239578649996,0.30891255699969405
11,DI Score SVM,0.7837029959735208,0.6273816314888763,0.8328698304476541,0.1671301695523459,0.37261836851112373,0.16035881959651963,0.45190558779328216,0.1868912084316011,0.4997613542501124
12,Equal. Oppor. DP,0.7800109192656793,0.14403879064460925,0.9800394725038128,0.019960527496187312,0.8559612093553908,0.030928504184311773,0.4120142399813712,0.022080547252659777,0.33675621559903846
13,Equal. Oppor. EO,0.7939875793352897,0.3586423274386766,0.9309141473042075,0.0690858526957926,0.6413576725613235,0.07963512644761464,0.45499369270347,0.1249538768417238,0.5683019757641037
