,algorithm,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,African-American,341.0,0.37829912023460416,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363637,0.0
1,Unmitigated-LR,Other,1510.0,0.5079470198675498,0.9675496688741723,0.997229916897507,0.9403553299492385,0.05964467005076142,0.0027700831024930752
2,Massaging,African-American,341.0,0.4428152492668621,0.9061583577712609,0.9917355371900827,0.8590909090909091,0.1409090909090909,0.008264462809917356
3,Massaging,Other,1510.0,0.47483443708609274,0.9397350993377482,0.9335180055401662,0.945431472081218,0.05456852791878174,0.06648199445983381
4,Pref. Sampling,African-American,341.0,0.372434017595308,0.9706744868035191,0.9834710743801656,0.9636363636363636,0.03636363636363637,0.01652892561983471
5,Pref. Sampling,Other,1510.0,0.4788079470198675,0.9450331125827814,0.943213296398892,0.9467005076142134,0.05329949238578681,0.05678670360110803
6,Reweighing,African-American,341.0,0.37829912023460416,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363637,0.0
7,Reweighing,Other,1510.0,0.5066225165562913,0.9662251655629139,0.9944598337950141,0.9403553299492385,0.05964467005076142,0.0055401662049861505
8,Corr. Remover,African-American,341.0,0.372434017595308,0.9706744868035191,0.9834710743801656,0.9636363636363636,0.03636363636363637,0.01652892561983471
9,Corr. Remover,Other,1510.0,0.5072847682119204,0.9655629139072845,0.9944598337950141,0.9390862944162437,0.06091370558375635,0.0055401662049861505
10,DI Remover,African-American,341.0,0.37829912023460416,0.9765395894428153,1.0,0.9636363636363636,0.03636363636363637,0.0
11,DI Remover,Other,1510.0,0.5105960264900663,0.9675496688741723,1.0,0.9378172588832487,0.062182741116751275,0.0
12,Grid Search DP,African-American,341.0,0.38123167155425225,0.9560117302052789,0.975206611570248,0.9454545454545455,0.05454545454545455,0.024793388429752067
13,Grid Search DP,Other,1510.0,0.5112582781456955,0.9443708609271523,0.976454293628809,0.9149746192893401,0.0850253807106599,0.023545706371191136
14,Grid Search EO,African-American,341.0,0.372434017595308,0.9706744868035191,0.9834710743801656,0.9636363636363636,0.03636363636363637,0.01652892561983471
15,Grid Search EO,Other,1510.0,0.5046357615894038,0.9642384105960264,0.990304709141274,0.9403553299492385,0.05964467005076142,0.009695290858725763
16,Exp. Grad. DP,African-American,341.0,0.45043988269794716,0.8809384164222873,0.9669421487603305,0.8336363636363637,0.16636363636363635,0.03305785123966942
17,Exp. Grad. DP,Other,1510.0,0.5096688741721855,0.9042384105960265,0.9328254847645429,0.8780456852791877,0.12195431472081215,0.06717451523545706
18,Exp. Grad. EO,African-American,341.0,0.37507331378299125,0.9686217008797653,0.9842975206611572,0.96,0.04,0.015702479338842976
19,Exp. Grad. EO,Other,1510.0,0.509205298013245,0.9604635761589405,0.991135734072022,0.9323604060913706,0.06763959390862945,0.00886426592797784
20,DI Score,,341.0,0.3988269794721408,0.9472140762463344,0.9876033057851241,0.925,0.075,0.012396694214876033
21,DI Score,,1510.0,0.5224503311258278,0.9436423841059602,0.9873961218836564,0.9035532994923858,0.09644670050761421,0.012603878116343493
22,Equal. Oppor. DP,,341.0,0.5190615835777127,0.8357771260997067,1.0,0.7454545454545454,0.2545454545454546,0.0
23,Equal. Oppor. DP,,1510.0,0.5078145695364238,0.9674172185430464,0.9969529085872576,0.9403553299492385,0.05964467005076142,0.003047091412742383
24,Equal. Oppor. EO,,341.0,0.39941348973607044,0.9542521994134898,0.9983471074380166,0.93,0.06999999999999999,0.001652892561983471
25,Equal. Oppor. EO,,1510.0,0.508476821192053,0.9670198675496688,0.997229916897507,0.9393401015228425,0.06065989847715736,0.0027700831024930752
